Year,Entity,Gini – posttax_dis,Gini – posttax_nat,Gini – pretax,Top 1pc share – posttax_dis,Top 1pc share – posttax_nat,Top 1pc share – pretax,Top 10pc share – posttax_dis,Top 10pc share – posttax_nat,Top 10pc share – pretax,Bottom 50pc share – posttax_dis,Bottom 50pc share – posttax_nat,Bottom 50pc share – pretax,Ratio Top 10 Bottom 50 share – posttax_dis,Ratio Top 10 Bottom 50 share – posttax_nat,Ratio Top 10 Bottom 50 share – pretax
1994,Colombia,,,70.5809471415982,,,19.93,,,58.14,,,7.049999999999999,,,824.6808510638299
1995,Colombia,,,70.5809471415982,,,19.93,,,58.14,,,7.049999999999999,,,824.6808510638299
1996,Colombia,,,70.5809471415982,,,19.93,,,58.14,,,7.049999999999999,,,824.6808510638299
1997,Colombia,,,70.5809471415982,,,19.93,,,58.14,,,7.049999999999999,,,824.6808510638299
1998,Colombia,,,70.5809471415982,,,19.93,,,58.14,,,7.049999999999999,,,824.6808510638299
1999,Colombia,,,70.5809471415982,,,19.93,,,58.14,,,7.049999999999999,,,824.6808510638299
2000,Colombia,,,70.5809471415982,,,19.93,,,58.14,,,7.049999999999999,,,824.6808510638299
2001,Colombia,,,70.5809482824684,,,19.93,,,58.14,,,7.049999999999999,,,824.6808510638299
2002,Colombia,,,70.5809471415982,,,19.93,,,58.14,,,7.049999999999999,,,824.6808510638299
2003,Colombia,,65.2196962320092,69.6075390795166,,17.630000000000003,18.92,,54.97,57.76,,10.44,7.729999999999999,,526.5325670498084,747.2186287192757
2004,Colombia,,64.61829754325011,69.0007512330682,,17.89,19.2,,53.86,56.71000000000001,,10.59,7.9,,508.59301227573184,717.8481012658228
2005,Colombia,,63.697641506160494,68.2005793744254,,16.669999999999998,17.91,,53.15,55.98,,11.18,8.39,,475.4025044722719,667.222884386174
2006,Colombia,,63.830287280861995,68.4468049414898,,16.61,17.88,,53.190000000000005,56.10000000000001,,11.07,8.21,,480.48780487804885,683.3130328867236
2007,Colombia,,63.9629311262211,68.6907688414487,,16.54,17.84,,53.22,56.21000000000001,,10.96,8.03,,485.58394160583936,700.0000000000002
2008,Colombia,,64.0955743556327,68.9325038389564,,16.470000000000002,17.8,,53.26,56.32,,10.85,7.85,,490.87557603686633,717.4522292993631
2009,Colombia,,62.8314858827677,68.61807055960641,,15.79,17.4,,52.35,56.16,,11.58,8.01,,452.07253886010363,701.1235955056179
2010,Colombia,,62.457211121365795,68.0980180324199,,15.27,16.669999999999998,,51.74999999999999,55.3,,11.72,8.200000000000001,,441.5529010238907,674.3902439024389
2011,Colombia,,61.6086169909789,67.5485269198798,,16.93,18.66,,51.370000000000005,55.26,,12.42,8.76,,413.6070853462158,630.8219178082192
2012,Colombia,,59.739216975610596,65.9832217420589,,14.48,16.13,,48.64,52.88,,13.0,9.21,,374.15384615384613,574.158523344191
2013,Colombia,,59.627954913512006,66.36834176327821,,15.06,16.97,,48.95,53.580000000000005,,13.239999999999998,9.15,,369.71299093655597,585.5737704918033
2014,Colombia,,59.5563151637311,66.39263749777349,,15.409999999999998,17.61,,49.1,53.690000000000005,,13.43,9.26,,365.5994043186895,579.8056155507561
2015,Colombia,,58.6374557983174,65.3314617921479,,14.78,16.48,,48.04,52.48,,13.85,9.75,,346.85920577617327,538.2564102564103
2016,Colombia,,58.7005260735134,65.3141724247184,,15.37,17.28,,48.36,52.77,,13.97,9.94,,346.17036506800287,530.8853118712274
2017,Colombia,,58.4801809690283,65.3366480931618,,14.94,16.64,,48.18,52.62,,14.06,9.79,,342.67425320056896,537.4872318692543
2018,Colombia,,59.351191994250094,66.04703932828609,,15.939999999999998,17.669999999999998,,49.13,53.400000000000006,,13.64,9.44,,360.1906158357771,565.677966101695
2019,Colombia,,60.729967183062605,67.75653061624321,,15.77,17.73,,49.87,54.510000000000005,,12.54,8.14,,397.6874003189793,669.6560196560197
1995,Comoros,,,73.9120060235301,,,29.13,,,66.96,,,7.729999999999999,,,866.235446313066
2004,Comoros,,,73.91201281763739,,,29.13,,,66.96,,,7.729999999999999,,,866.235446313066
2014,Comoros,,,62.14410352745951,,,14.15,,,50.260000000000005,,,11.39,,,441.2642669007902
2018,Comoros,,60.9574555938848,,,13.93,,,49.48,,,12.12,,,408.25082508250824,
2019,Comoros,,60.9090408267297,,,13.919999999999998,,,49.46,,,12.15,,,407.0781893004115,
2020,Comoros,,60.909056309967504,,,13.919999999999998,,,49.46,,,12.15,,,407.0781893004115,
2021,Comoros,,60.9090506638243,,,13.919999999999998,,,49.46,,,12.15,,,407.0781893004115,
2005,Congo,,,65.35667769290579,,,18.58,,,54.53,,,10.39,,,524.8315688161694
2011,Congo,,,66.4791726948661,,,20.52,,,55.93,,,9.92,,,563.8104838709677
2018,Congo,,64.9728013040203,,,19.66,,,54.37,,,10.63,,,511.4769520225775,
2019,Congo,,64.9288889424614,,,19.66,,,54.36,,,10.65,,,510.42253521126753,
2020,Congo,,64.9287097836666,,,19.66,,,54.35,,,10.65,,,510.3286384976526,
2021,Congo,,64.92870365912931,,,19.66,,,54.35,,,10.65,,,510.3286384976526,
2011,Costa Rica,,60.265305608376295,66.0962255298255,,16.580000000000002,17.78,,49.4,52.81,,12.8,9.11,,385.93749999999994,579.6926454445666
2012,Costa Rica,,60.922946992117296,66.8336446069572,,16.78,17.95,,50.45,53.87,,12.55,8.780000000000001,,401.99203187251,613.5535307517083
2013,Costa Rica,,61.8922152219015,67.74628475539251,,16.580000000000002,17.79,,50.95,54.290000000000006,,11.8,8.09,,431.77966101694915,671.0754017305316
2014,Costa Rica,,60.8782228111307,66.9353856046525,,13.669999999999998,14.81,,50.07,53.56,,12.3,8.44,,407.07317073170725,634.5971563981044
2015,Costa Rica,,60.851434650510505,67.4201234772266,,15.15,16.37,,50.32,54.2,,12.56,8.39,,400.6369426751593,646.0071513706794
2016,Costa Rica,,60.914294336392906,67.6057649842885,,18.39,19.91,,50.77,54.76,,12.72,8.469999999999999,,399.13522012578613,646.517119244392
2017,Costa Rica,,59.3920367055391,66.4012248322276,,15.28,17.01,,48.74,53.0,,13.19,8.76,,369.5223654283549,605.0228310502283
2018,Costa Rica,,59.935598485196294,67.141537738271,,17.43,19.13,,49.3,53.76,,13.0,8.459999999999999,,379.2307692307692,635.4609929078015
2019,Costa Rica,,59.525393974057394,66.9343008472874,,16.35,18.11,,48.83,53.46,,13.14,8.469999999999999,,371.61339421613394,631.1688311688313
1985,Cote d'Ivoire,,,64.2348560730825,,,21.03,,,54.66,,,11.58,,,472.020725388601
1986,Cote d'Ivoire,,,64.2348560730825,,,21.03,,,54.66,,,11.58,,,472.020725388601
1987,Cote d'Ivoire,,,64.2348560730825,,,21.03,,,54.66,,,11.58,,,472.020725388601
1988,Cote d'Ivoire,,,64.2348560730825,,,21.03,,,54.66,,,11.58,,,472.020725388601
1992,Cote d'Ivoire,,,58.161070709693696,,,16.53,,,47.82,,,14.4,,,332.0833333333333
1993,Cote d'Ivoire,,,56.3906218366676,,,15.22,,,45.83,,,15.22,,,301.11695137976346
1995,Cote d'Ivoire,,,57.974032192246405,,,16.36,,,47.45,,,14.4,,,329.51388888888886
1998,Cote d'Ivoire,,,59.96736631722071,,,17.79,,,49.5,,,13.37,,,370.23186237845925
2002,Cote d'Ivoire,,,64.5110390758186,,,21.18,,,54.010000000000005,,,11.11,,,486.1386138613862
2008,Cote d'Ivoire,,,61.4121253645912,,,18.45,,,50.31,,,12.41,,,405.3988718775181
2015,Cote d'Ivoire,,,60.1206895444214,,,17.21,,,48.65,,,12.8,,,380.07812499999994
2018,Cote d'Ivoire,,58.130730609038295,,,15.78,,,46.61,,,13.73,,,339.47560087399853,
2019,Cote d'Ivoire,,58.075446155075205,,,15.77,,,46.59,,,13.76,,,338.5901162790698,
2020,Cote d'Ivoire,,58.0754457813639,,,15.77,,,46.59,,,13.76,,,338.5901162790698,
2021,Cote d'Ivoire,,58.0754464216481,,,15.77,,,46.59,,,13.76,,,338.5901162790698,
1984,Croatia,37.660506236638504,34.6760733868376,40.8472892201299,3.5900000000000003,3.38,4.17,25.37,24.15,27.46,24.02,26.08,22.02,105.62031640299752,92.59969325153375,124.70481380563126
1985,Croatia,37.9348148209381,34.928682460689195,40.96811360352,3.73,3.52,4.2,25.380000000000003,24.16,27.56,23.76,25.840000000000003,21.91,106.81818181818181,93.4984520123839,125.78731172980373
1986,Croatia,38.0174093966949,35.0047062862104,41.3269469299524,3.65,3.44,4.23,25.27,24.06,27.66,23.7,25.78,21.61,106.62447257383967,93.32816136539952,127.99629801018048
1987,Croatia,35.8028159670645,32.9656458560815,39.4315559267848,3.63,3.42,4.01,24.35,23.21,26.24,25.06,27.04,22.6,97.16679968076618,85.83579881656806,116.10619469026547
1988,Croatia,36.578637366893105,33.679918107575205,39.7871643660489,3.52,3.32,3.99,24.29,23.16,26.25,24.37,26.4,22.21,99.6717275338531,87.72727272727273,118.19000450247637
1989,Croatia,40.6579894865383,37.436045692285504,43.6996091160284,3.85,3.62,4.49,27.49,26.11,29.68,22.53,24.71,20.630000000000003,122.01509098979137,105.6657223796034,143.86815317498787
1998,Croatia,43.2282120694863,39.9554301854268,46.691455899082804,5.57,5.220000000000001,7.26,29.06,27.62,33.08,20.48,22.72,18.78,141.89453125,121.56690140845072,176.1448349307774
1999,Croatia,45.8068463083574,41.8475047935585,47.6125380399769,6.08,5.64,7.380000000000001,30.92,29.110000000000003,33.47,19.05,21.73,18.09,162.30971128608925,133.9622641509434,185.01934770591487
2000,Croatia,43.256040323476604,39.3083930250244,45.8397805333209,6.09,5.62,7.16,29.6,27.81,32.43,20.68,23.36,19.16,143.13346228239848,119.04965753424656,169.258872651357
2001,Croatia,42.850115614240906,39.3295925421631,45.9192831874935,6.09,5.67,7.51,29.13,27.56,32.379999999999995,20.86,23.26,19.14,139.64525407478428,118.48667239896817,169.17450365726225
2002,Croatia,40.858898170782496,37.494593699829196,44.7693039057825,5.86,5.46,7.71,27.77,26.31,31.56,22.08,24.38,19.87,125.76992753623189,107.9163248564397,158.83241066935076
2003,Croatia,40.3144619299626,36.929959439388,44.1364775928751,5.87,5.46,7.53,27.47,26.0,31.05,22.51,24.82,20.33,122.03465126610394,104.75423045930701,152.72995573044764
2004,Croatia,40.5233666818955,37.1554666526541,44.938285842937894,6.05,5.63,8.17,28.14,26.640000000000004,32.01,22.45,24.74,19.94,125.34521158129178,107.67987065481005,160.53159478435305
2005,Croatia,41.8617858147103,38.5443973936662,46.3818174314927,6.859999999999999,6.39,9.19,29.44,27.9,33.31,21.72,23.96,19.16,135.54327808471456,116.4440734557596,173.8517745302714
2006,Croatia,41.4673551274153,38.3376956346416,46.1359583529134,7.109999999999999,6.65,9.54,29.3,27.84,33.44,22.13,24.23,19.45,132.3994577496611,114.89888567891045,171.92802056555269
2007,Croatia,42.219951546025506,38.8598887462875,47.380575266672395,7.3,6.800000000000001,10.03,29.86,28.28,34.28,21.59,23.85,18.68,138.30477072718853,118.57442348008385,183.5117773019272
2008,Croatia,41.8112113169741,38.2684559000943,47.127987365092,7.249999999999999,6.72,10.0,29.46,27.81,34.02,21.81,24.19,18.82,135.07565337001378,114.9648615130219,180.76514346439959
2009,Croatia,41.075861234656,37.313023463754206,46.2378348682055,6.260000000000001,5.779999999999999,8.68,28.44,26.75,32.83,22.01,24.57,19.08,129.21399363925488,108.87260887260888,172.06498951781973
2010,Croatia,41.675502320650196,37.8428848792719,46.0261328420085,6.73,6.2,8.93,28.76,27.04,32.67,21.7,24.3,19.22,132.53456221198158,111.27572016460906,169.9791883454735
2011,Croatia,42.3403601199354,38.513629542032604,46.920024943552505,7.61,7.01,9.88,29.76,27.97,33.86,21.41,24.0,18.9,139.00046707146194,116.54166666666666,179.15343915343917
2012,Croatia,41.670992839811696,37.8524560857753,46.8535656232334,6.75,6.22,9.47,28.88,27.15,33.650000000000006,21.67,24.27,18.84,133.27180433779418,111.8665018541409,178.60934182590236
2013,Croatia,41.825817627282404,38.0984892618567,46.4617482555546,8.08,7.449999999999999,10.13,29.74,27.98,33.900000000000006,22.06,24.55,19.46,134.81414324569357,113.97148676171078,174.20349434737926
2014,Croatia,42.490483499727496,38.6350613430851,47.058785460359,8.24,7.580000000000001,10.23,30.25,28.42,34.300000000000004,21.54,24.12,19.02,140.43639740018568,117.82752902155889,180.33648790746585
2015,Croatia,42.5799712224901,38.837057952043004,46.9601073017547,8.799999999999999,8.110000000000001,10.76,30.49,28.69,34.29,21.59,24.08,19.12,141.22278832792958,119.14451827242527,179.3410041841004
2016,Croatia,41.2483836915364,37.4922059368716,46.0962973060912,7.430000000000001,6.8500000000000005,9.63,28.87,27.15,33.160000000000004,22.13,24.67,19.43,130.4563940352463,110.05269558167814,170.66392177045807
2017,Croatia,42.1643491778566,38.379328964111195,46.3868494565116,8.05,7.41,10.11,29.74,27.97,33.22,21.74,24.28,19.16,136.79852805887765,115.19769357495879,173.38204592901877
2018,Croatia,41.5299374422219,37.8168492166312,47.2079559079372,7.84,7.23,9.83,29.35,27.62,34.93,22.15,24.64,18.99,132.5056433408578,112.09415584415585,183.9389152185361
1990,Cyprus,43.9924931381181,42.2257401718873,49.3386681843919,9.99,9.63,11.57,33.46,32.52,37.17,21.28,22.43,18.19,157.23684210526315,144.98439589835044,204.34304562946673
1996,Cyprus,42.7717980792409,40.920812777944,47.850456653034,9.26,8.9,10.81,31.96,31.01,35.58,21.9,23.11,18.85,145.93607305936075,134.1843357853743,188.75331564986735
2004,Cyprus,39.2472338860036,36.844639031097095,43.2518964934331,6.25,5.93,7.39,27.800000000000004,26.71,30.58,23.37,25.0,20.98,118.9559264013693,106.84,145.7578646329838
2005,Cyprus,41.7003251295268,39.152450603492,42.8386404023398,6.710000000000001,6.36,7.829999999999999,28.67,27.53,30.520000000000003,22.03,23.74,21.45,130.14071720381298,115.96461668070768,142.2843822843823
2006,Cyprus,48.0984975938286,44.9723439376926,44.3709756125703,8.6,8.110000000000001,9.55,31.4,30.0,32.26,18.53,20.58,20.84,169.4549379384781,145.7725947521866,154.79846449136275
2007,Cyprus,64.24781881976381,59.403218003899006,43.3958119534577,8.23,7.689999999999999,7.79,33.53,31.75,30.67,9.09,12.18,20.95,368.8668866886689,260.67323481116586,146.39618138424822
2008,Cyprus,40.3793900248292,38.0404234869621,46.6173473578238,8.16,7.739999999999999,10.57,29.74,28.59,34.67,23.17,24.73,19.71,128.35563228312472,115.60857258390618,175.9005580923389
2009,Cyprus,41.4774555963087,38.9906193805163,47.0974109280975,7.739999999999999,7.340000000000001,10.01,30.520000000000003,29.29,34.95,22.39,24.05,19.27,136.31085305940155,121.78794178794179,181.37000518941363
2010,Cyprus,40.5878808061229,37.999617629105295,45.8084849137025,6.9,6.52,9.1,29.32,28.09,33.53,22.76,24.49,19.92,128.82249560632687,114.69987750102084,168.32329317269074
2011,Cyprus,44.5449974554126,41.820599985917504,49.4102751550027,9.63,9.11,11.66,33.06,31.65,37.330000000000005,20.77,22.56,18.16,159.17188252286954,140.29255319148936,205.5616740088106
2012,Cyprus,45.0836310805386,42.2618787234306,49.9398900231427,10.4,9.81,12.2,33.650000000000006,32.17,37.8,20.61,22.45,17.919999999999998,163.27025715672008,143.29621380846328,210.9375
2013,Cyprus,48.2933938414298,44.9321169452645,53.1167830656614,13.22,12.37,16.89,37.2,35.31,42.22,19.15,21.29,16.91,194.25587467362928,165.8525129168624,249.67474866942635
2014,Cyprus,44.5323355140255,41.606032602027696,50.0493481387252,9.59,9.03,12.05,32.95,31.44,37.65,20.77,22.7,17.75,158.64227250842563,138.5022026431718,212.11267605633802
2015,Cyprus,43.702433063215004,40.964517074071,50.1510000784084,9.29,8.77,11.52,32.31,30.91,37.51,21.18,22.99,17.54,152.54957507082153,134.44976076555025,213.85404789053592
2016,Cyprus,41.8582467615801,39.305733188839596,48.3381593533195,8.5,8.04,11.09,31.1,29.81,36.08,22.35,24.04,18.65,139.14988814317672,124.00166389351082,193.45844504021449
2017,Cyprus,39.176508365173,36.7656738794723,47.2692423497728,7.48,7.08,10.26,29.67,28.46,35.370000000000005,24.1,25.69,19.39,123.11203319502076,110.78240560529389,182.41361526560084
1980,Czechia,17.327546213636,15.3424181954341,27.6608720581909,2.17,2.03,2.56,15.7,15.04,18.17,37.85,39.24,30.92,41.479524438573314,38.3282364933741,58.76455368693403
1985,Czechia,16.1532562472737,14.3026491015733,26.7884945042975,2.1,1.97,2.51,15.37,14.760000000000002,17.93,38.56,39.87,31.380000000000003,39.85995850622406,37.02031602708804,57.13830465264499
1988,Czechia,16.5057564082711,14.614763709943801,27.5696256903748,2.47,2.3,2.98,15.85,15.18,18.5,38.29,39.63,30.880000000000003,41.394620005223295,38.30431491294474,59.90932642487046
1992,Czechia,22.328926958068198,20.6367046228031,34.6841278288188,6.460000000000001,6.04,8.95,21.36,20.5,26.43,35.46,36.56,27.66,60.236886632825716,56.072210065645514,95.5531453362256
1996,Czechia,29.3460197129228,26.7995766296025,38.9628817859055,9.06,8.36,11.11,26.13,24.73,30.0,31.290000000000003,32.910000000000004,24.97,83.50910834132308,75.14433302947432,120.14417300760914
2003,Czechia,27.724990167356,25.066329485668597,37.868587276209794,7.86,7.199999999999999,10.68,24.19,22.83,29.43,32.300000000000004,34.0,25.790000000000003,74.89164086687306,67.1470588235294,114.11399767351686
2004,Czechia,27.949132418468597,25.273436938118397,38.7218930065678,8.03,7.35,10.95,24.6,23.200000000000003,29.880000000000003,32.12,33.83,25.11,76.58779576587797,68.57818504286138,118.99641577060933
2005,Czechia,27.4788755457678,24.933528046158703,38.8345168313322,8.55,7.85,11.69,24.67,23.31,30.25,32.48,34.11,25.2,75.95443349753695,68.33773087071239,120.03968253968253
2006,Czechia,28.5833731335021,25.990968682029703,39.3947587928736,7.979999999999999,7.35,10.69,24.98,23.62,30.28,31.66,33.32,24.62,78.90082122552117,70.88835534213686,122.98943948009749
2007,Czechia,28.634032298442204,26.1161243008551,39.2417549200218,8.62,7.95,11.45,25.06,23.74,30.380000000000003,31.76,33.36,24.86,78.90428211586901,71.1630695443645,122.20434432823815
2008,Czechia,30.783743234090398,28.084809444605703,40.8856409393252,10.84,9.98,13.73,27.16,25.66,32.26,30.67,32.36,24.17,88.55559178350178,79.2954264524104,133.47124534546958
2009,Czechia,28.7417556433525,25.913388972436003,38.4842385693844,8.469999999999999,7.729999999999999,11.54,24.85,23.39,29.93,31.62,33.43,25.44,78.58950031625554,69.96709542327251,117.64937106918238
2010,Czechia,29.440960111134,26.6543889650183,38.7948468182337,7.88,7.22,10.87,24.85,23.44,29.87,31.04,32.84,25.040000000000003,80.05798969072166,71.37637028014616,119.28913738019169
2011,Czechia,27.652310674681203,24.9634763623423,37.4475237710527,7.090000000000001,6.5,10.39,23.73,22.39,29.08,32.24,33.96,26.01,73.60421836228288,65.93050647820967,111.80315263360245
2012,Czechia,28.2089026392265,25.490420663963796,38.8259137035583,6.950000000000001,6.38,11.26,24.12,22.76,30.4,31.879999999999995,33.62,25.290000000000003,75.65872020075284,67.69779892920882,120.20561486753655
2013,Czechia,27.9590428145852,24.9884070022649,37.6789683441182,8.08,7.32,10.55,24.83,23.25,29.75,32.379999999999995,34.25,26.08,76.68313773934527,67.88321167883211,114.07208588957056
2014,Czechia,29.035589716771398,26.020809256584,38.9912260318198,7.76,7.06,10.74,25.06,23.5,30.39,31.44,33.37,25.03,79.70737913486005,70.42253521126761,121.4143028365961
2015,Czechia,30.054976609057597,27.059534320974198,39.7588696059607,9.19,8.38,11.39,26.22,24.6,30.83,30.92,32.83,24.51,84.79948253557566,74.93146512336278,125.78539371685025
2016,Czechia,29.2599657316089,26.3727252098274,38.5161054017544,8.7,7.939999999999999,10.93,25.44,23.92,29.89,31.26,33.11,25.36,81.38195777351248,72.24403503473272,117.8627760252366
2017,Czechia,29.689447941395,26.7789257568346,38.5990131528722,8.959999999999999,8.18,10.88,25.82,24.27,29.64,30.930000000000003,32.800000000000004,25.130000000000003,83.47882314904622,73.99390243902438,117.9466772781536
2018,Czechia,29.1402077829645,26.102529097351002,38.0284032005967,8.59,7.8,10.32,25.32,23.72,28.860000000000003,31.19,33.15,25.34,81.1798653414556,71.55354449472097,113.89108129439623
2004,Democratic Republic of Congo,,,60.604284350374506,,,14.41,,,49.33,,,12.509999999999998,,,394.3245403677059
2005,Democratic Republic of Congo,,,60.5721091768766,,,14.44,,,49.27,,,12.53,,,393.21628092577816
2008,Democratic Republic of Congo,,,60.4756195833968,,,14.52,,,49.08,,,12.58,,,390.1430842607313
2012,Democratic Republic of Congo,,,60.347038737569704,,,14.63,,,48.84,,,12.64,,,386.39240506329116
2018,Democratic Republic of Congo,,58.6360493875199,,,14.05,,,47.29,,,13.53,,,349.51958610495194,
2019,Democratic Republic of Congo,,58.5769317412089,,,14.04,,,47.27,,,13.57,,,348.3419307295505,
2020,Democratic Republic of Congo,,58.57674972711509,,,14.04,,,47.27,,,13.57,,,348.3419307295505,
2021,Democratic Republic of Congo,,58.5769305814212,,,14.04,,,47.27,,,13.57,,,348.3419307295505,
1980,Denmark,29.2086513628455,26.2898935341253,37.027254870232404,5.73,5.26,6.9,22.86,21.58,26.1,30.2,32.18,25.09,75.6953642384106,67.0602858918583,104.0255081705859
1981,Denmark,30.191916090139497,27.2813979482802,37.1814903168719,5.66,5.21,6.74,23.1,21.83,25.91,29.360000000000003,31.35,24.64,78.67847411444141,69.63317384370015,105.1542207792208
1982,Denmark,30.1124764303296,27.391565799658903,37.0849411142121,5.800000000000001,5.36,6.94,22.69,21.54,25.81,29.37,31.230000000000004,24.72,77.25570309839974,68.97214217098943,104.4093851132686
1983,Denmark,30.204530633986998,27.456500521663003,37.9278373018714,7.28,6.710000000000001,8.34,24.15,22.86,27.15,29.68,31.52,24.610000000000003,81.36792452830188,72.52538071065989,110.32100772043883
1984,Denmark,30.9070127790605,28.0858320593708,38.2253231069647,7.7,7.090000000000001,9.1,24.58,23.25,27.76,29.45,31.32,24.65,83.4634974533107,74.23371647509579,112.61663286004058
1985,Denmark,32.3878942617689,29.258256246993902,38.8250620601511,8.73,7.979999999999999,9.66,26.0,24.46,28.35,28.68,30.74,24.34,90.65550906555092,79.57059206245934,116.47493837304847
1986,Denmark,29.6892889978292,26.5582366649838,37.7517522314662,7.21,6.550000000000001,8.690000000000001,23.86,22.39,27.34,30.12,32.22,24.97,79.21646746347942,69.49099937926754,109.49138966760113
1987,Denmark,30.0663467589544,26.772315299781003,37.9447127412718,7.430000000000001,6.72,8.53,24.09,22.55,27.27,29.98,32.17,24.84,80.35356904603069,70.09636307118433,109.78260869565217
1988,Denmark,29.9951818851618,26.711369239126597,37.6475313151541,6.93,6.279999999999999,8.05,23.54,22.06,26.97,29.880000000000003,32.09,24.95,78.7817938420348,68.74415705827359,108.09619238476952
1989,Denmark,30.539823817262203,27.3346707728216,37.931674787991895,7.53,6.84,8.37,24.22,22.72,27.32,29.69,31.82,24.84,81.57628831256315,71.40163419233187,109.98389694041867
1990,Denmark,30.9979639939456,27.8144654696533,38.0378956814663,7.42,6.76,8.39,24.55,23.06,27.42,29.41,31.52,24.77,83.47500850051003,73.15989847715736,110.69842551473556
1991,Denmark,29.896223266820897,26.937048922198397,37.7315718157359,7.66,7.000000000000001,8.35,24.34,22.92,27.31,30.1,32.07,24.96,80.86378737541527,71.46866230121609,109.4150641025641
1992,Denmark,30.866808964403,27.7097068641304,37.9463067808643,7.5,6.83,8.43,24.54,23.05,27.43,29.46,31.56,24.81,83.29938900203665,73.03548795944234,110.5602579604998
1993,Denmark,30.2433119811646,27.130147218526503,37.8675340699917,7.199999999999999,6.5600000000000005,8.43,23.94,22.5,27.42,29.83,31.91,24.92,80.2547770700637,70.51081165778753,110.03210272873194
1994,Denmark,31.3829000275192,28.2433379256879,38.4717225108034,8.469999999999999,7.720000000000001,9.38,25.49,23.94,28.33,29.44,31.5,24.75,86.5828804347826,76.0,114.46464646464645
1995,Denmark,30.5431220306282,27.4576732516351,38.4267643750569,8.27,7.53,9.52,25.14,23.61,28.45,29.93,31.96,24.82,83.99599064483796,73.87359198998749,114.62530217566479
1996,Denmark,30.679779857457902,27.5477893216994,38.6772669511082,8.49,7.720000000000001,9.79,25.42,23.84,28.74,29.89,31.95,24.74,85.04516560722651,74.61658841940533,116.16814874696848
1997,Denmark,31.964239906896104,28.730241630911703,39.7128940769349,9.34,8.5,10.66,26.57,24.9,29.84,29.26,31.36,24.24,90.80656185919344,79.40051020408163,123.10231023102311
1998,Denmark,31.5098311031001,28.4264200889034,39.512667036090896,8.9,8.129999999999999,10.47,26.07,24.5,29.62,29.45,31.46,24.32,88.52292020373514,77.87666878575969,121.79276315789474
1999,Denmark,33.5296071612092,29.773125774818197,40.815738397260795,10.69,9.6,11.6,28.02,26.01,31.08,28.48,30.89,23.75,98.38483146067415,84.20200712204597,130.86315789473684
2000,Denmark,33.456385455905,29.7175393257007,41.1981901493775,10.64,9.57,11.85,27.88,25.88,31.39,28.49,30.89,23.51,97.85889785889786,83.78115895111686,133.51765206295192
2001,Denmark,31.639861510272,28.0092945966516,39.6615295242917,8.959999999999999,8.05,10.31,26.11,24.27,29.68,29.360000000000003,31.730000000000004,24.2,88.93051771117165,76.48912700913961,122.64462809917356
2002,Denmark,31.0680205802164,27.3863966458599,39.198223542654596,8.260000000000002,7.399999999999999,9.77,25.24,23.44,29.08,29.58,32.0,24.37,85.32792427315754,73.25,119.32704144439883
2003,Denmark,29.3645694496043,25.8235539047632,38.2631342277151,7.84,7.02,9.42,24.26,22.54,28.64,30.74,33.06,25.19,78.91997397527652,68.17906836055656,113.69591107582373
2004,Denmark,30.9195780038017,27.117246503192398,39.078668848139095,8.61,7.670000000000001,9.96,25.39,23.49,29.22,29.74,32.23,24.6,85.37323470073976,72.88240769469438,118.78048780487805
2005,Denmark,32.1405695696953,28.1116926717033,40.3925661505347,9.67,8.58,11.21,26.78,24.68,30.81,29.2,31.81,24.06,91.7123287671233,77.58566488525621,128.0548628428928
2006,Denmark,32.0503639124937,28.0579053209941,40.7987748272433,9.64,8.559999999999999,11.69,26.6,24.53,31.230000000000004,29.24,31.82,23.86,90.97127222982218,77.08988057825268,130.88851634534788
2007,Denmark,31.584697860301198,27.499171522962502,40.1979961063986,9.21,8.15,11.15,26.21,24.11,30.65,29.5,32.15,24.19,88.84745762711864,74.99222395023328,126.70525010334848
2008,Denmark,32.550635888829,28.2075903089087,40.47705004551,9.29,8.18,10.58,26.38,24.19,30.21,28.87,31.69,23.65,91.3751298926221,76.33322814768066,127.73784355179704
2009,Denmark,31.2804769425732,26.9086955766426,39.551268745551496,8.83,7.739999999999999,9.69,25.66,23.47,29.14,29.51,32.379999999999995,24.06,86.95357505930193,72.48301420630018,121.11388196176227
2010,Denmark,34.7021372337295,30.085907337630204,41.8608299935677,10.489999999999998,9.23,11.64,28.55,26.08,31.72,27.66,30.630000000000003,22.98,103.2176428054953,85.145282402873,138.03307223672758
2011,Denmark,35.2030656536577,30.604425344557,42.088233468771804,10.66,9.4,11.69,28.85,26.39,31.81,27.32,30.28,22.79,105.60029282576868,87.15323645970938,139.5787626151821
2012,Denmark,35.5171768170692,30.839949238053098,42.2499252312605,10.79,9.5,11.96,28.85,26.37,31.9,27.14,30.15,22.71,106.30066322770818,87.46268656716418,140.46675473359753
2013,Denmark,36.4928397462208,31.743304401234703,43.3260815670039,11.27,9.93,12.43,29.81,27.23,32.93,26.61,29.66,22.13,112.02555430289365,91.80714767363453,148.80253050158157
2014,Denmark,37.9880098328812,32.8804707777635,43.9229847176733,12.53,10.98,13.14,31.35,28.48,33.67,25.85,29.1,21.89,121.27659574468086,97.86941580756013,153.81452718136134
