"","Entity","Year","Gini.coefficient","Palma.ratio..S90.S40.ratio.","S90.S10.ratio","S80.S20.ratio","S90.S50.ratio","P90.P10.ratio","P90.P50.ratio","P50.P10.ratio","P0.P10...share.of.the.bottom.10.","P0.P40...share.of.the.bottom.40.","P0.P50...share.of.the.bottom.50.","P10.P20...share.of.national.income","P20.P30...share.of.national.income","P30.P40...share.of.national.income","P40.P50...share.of.national.income","P50.P60...share.of.national.income","P50.P90...share.of.the.middle.40.","P60.P70...share.of.national.income","P70.P80...share.of.national.income","P80.P90...share.of.national.income","P90.P100...share.of.the.top.10.","P99.999.P100...share.of.the.top.0.001.","P99.99.P100...share.of.the.top.0.01.","P99.9.P100...share.of.the.top.0.1.","P99.P100...share.of.the.top.1.","Mean.income","P0.P10...mean.income.of.the.bottom.10.","P10.P20...mean.income","P20.P30...mean.income","P30.P40...mean.income","P40.P50...mean.income","P50.P60...mean.income","P60.P70...mean.income","P70.P80...mean.income","P80.P90...mean.income","P90.P100...mean.income.of.the.top.10.","P99.999.P100...mean.income.of.the.top.0.001.","P99.99.P100...mean.income.of.the.top.0.01.","P99.9.P100...mean.income.of.the.top.0.1.","P99.P100...mean.income.of.the.top.1.","P0...income.threshold.of.the.bottom.10.","P10...income.threshold","P20...income.threshold","P30...income.threshold","P40...income.threshold","P50...income.threshold..median.","P60...income.threshold","P70...income.threshold","P80...income.threshold","P90...income.threshold.of.the.top.10.","P99.999...income.threshold.of.the.top.0.001.","P99.99...income.threshold.of.the.top.0.01.","P99.9...income.threshold.of.the.top.0.1.","P99...income.threshold.of.the.top.1."
"126","Australia",1939,0.510298905243268,3.701031,132.96297,21.577236,2.263556,NA,NA,NA,0.27,9.7,15.86,2.19,3.47,4.24,5.68,7.79,48.24,10.07,13.21,17.18,35.9,0.64,2.02,5.96,13.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Australia",1940,0.499999032610354,3.4898787,123.14286,20.74,2.1283951,NA,NA,NA,0.28,9.88,16.2,2.22,3.53,4.34,5.83,8.01,49.32,10.37,13.57,17.37,34.48,0.59,1.92,5.74,13.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Australia",1941,0.510789753614972,3.7169421,133.25926,21.689796,2.2714646,NA,NA,NA,0.27,9.68,15.84,2.18,3.46,4.24,5.68,7.78,48.19,10.05,13.2,17.16,35.98,0.49,1.74,5.66,13.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Australia",1942,0.50643759686092,3.6223133,126.39286,21.237904,2.2146432,NA,NA,NA,0.28,9.77,15.98,2.2,3.49,4.28,5.73,7.86,48.63,10.16,13.33,17.28,35.39,0.4,1.52,5.27,13.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Australia",1943,0.507057718425518,3.6352458,131.40741,21.356276,2.2230577,NA,NA,NA,0.27,9.76,15.96,2.2,3.49,4.27,5.72,7.84,48.56,10.14,13.31,17.27,35.48,0.38,1.49,5.23,13.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Australia",1944,0.483269058298822,3.1607842,111.17242,19.391474,1.925926,NA,NA,NA,0.29,10.2,16.74,2.29,3.64,4.48,6.04,8.33,51.02,10.8,14.1,17.79,32.24,0.24,1.07,4.21,11.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Australia",1945,0.464738021828371,2.823194,102.4138,18.075758,1.7118156,NA,NA,NA,0.29,10.52,17.35,2.35,3.75,4.65,6.31,8.76,52.95,11.4,14.77,18.02,29.7,0.18,0.91,3.9,10.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Australia",1946,0.486543963149074,3.2260611,116.71429,19.737255,1.9651233,NA,NA,NA,0.28,10.13,16.63,2.27,3.62,4.45,6.01,8.28,50.69,10.74,14.02,17.65,32.68,0.21,1.03,4.36,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Australia",1947,0.498883425516318,3.4721942,122.64286,20.656,2.115835,NA,NA,NA,0.28,9.89,16.23,2.22,3.53,4.35,5.85,8.05,49.43,10.44,13.64,17.3,34.34,0.21,1.12,4.89,13.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Australia",1948,0.496692242842519,3.4304435,121.53571,20.44223,2.0877302,NA,NA,NA,0.28,9.92,16.3,2.23,3.54,4.36,5.89,8.12,49.67,10.53,13.74,17.28,34.03,0.17,1.01,4.83,13.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Australia",1949,0.498880769670045,3.4716599,122.5,20.674698,2.1133704,NA,NA,NA,0.28,9.88,16.23,2.21,3.53,4.35,5.87,8.09,49.47,10.5,13.7,17.18,34.3,0.27,1.33,5.54,14.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Australia",1950,0.492502531971841,3.4275582,125.2963,20.186235,2.0729167,14.893908,2.3769073,6.2660866,0.27,9.87,16.32,2.2,3.51,4.37,5.96,8.64,49.85,11.39,13.78,16.03,33.83,0.22,1.45,7.34,17.97,20535.2070549534,564.510183266913,4516.01484940374,7214.7918784938,8978.40322989907,12242.9561601558,17746.0977378636,23399.0603448572,28307.3811264369,32909.2649428256,69473.4568628686,4527281.73721303,2981355.61157199,1507687.58878989,368996.13825137,0,2257.97411633609,6661.1402224717,7598.37101883495,9987.64671308219,14148.6609999854,20025.5224417631,25026.840180605,29336.2099286996,33630.0579783399,3982917.45282182,2047684.94657694,710801.591647498,69693.6251606851
"138","Australia",1951,0.435959397161689,2.5906978,92.833336,15.92989,1.5663667,12.694936,2.0150919,6.2999287,0.3,10.75,17.78,2.41,3.84,4.74,6.49,10.75,54.37,13.86,14.44,15.32,27.85,0.13,0.82,4.22,11.54,20993.5301681085,632.326015998294,5058.67474471791,8051.56464365969,9953.13924613243,13622.7885210252,22570.0151205527,29100.9862495498,30306.0829235288,32166.8214695533,58472.636279441,2668220.26740566,1729818.54875172,885910.132384441,242311.632771405,0,2529.37068072474,7461.60686893561,8412.96041239028,11031.3310464835,15934.8554233906,27793.2331922318,28319.105671192,30057.0029642139,32110.1972477246,2326143.55067861,1179582.33255686,436412.403826834,70468.311132034
"139","Australia",1952,0.432263299106906,2.5425925,91.533333,15.709558,1.5366536,12.576676,1.9873558,6.3283467,0.3,10.8,17.87,2.42,3.85,4.77,6.53,11,54.67,13.95,14.45,15.27,27.46,0.11,0.75,4.06,11.38,20700.8162496196,625.664342841969,5005.18150927263,7971.29148212598,9864.13929276394,13517.5340851553,22766.6010953958,28879.0859167126,29908.8473532172,31617.1002006934,56852.7172180177,2253010.43705058,1553309.72431732,841436.802392821,235569.81968701,0,2502.59075463631,7382.66604203317,8332.35416719875,10937.0017545899,15837.2619116505,27824.9427564559,28072.0908305555,29581.559351047,31474.2739282218,2001390.9813117,1100268.98489152,427759.290097158,68397.4634146591
"140","Australia",1953,0.4304742490722,2.5119927,90.76667,15.589744,1.5195313,12.576496,1.9893646,6.321866,0.3,10.84,17.92,2.43,3.86,4.78,6.55,11.02,54.85,14,14.5,15.33,27.23,0.13,0.81,4.06,11.08,20982.3385572059,636.589486818341,5092.64927781517,8108.45533241469,10030.3480380142,13742.6320211075,23123.9998602326,29365.8543742452,30421.9960364489,32167.4876368689,57133.2402746305,2671409.07711213,1694053.09144312,851718.761825949,232383.008482488,0,2546.35794727336,7511.70265107117,8472.84885406563,11118.4657313682,16097.7333320627,28288.1955077467,28542.1384884657,30089.9782463377,32024.261664008,2312247.76679164,1139459.60807018,415781.401911893,68216.9986888542
"141","Australia",1954,0.427112846621401,2.4478023,86.225807,15.311594,1.4808865,12.66072,2.0087824,6.3026838,0.31,10.92,18.05,2.45,3.89,4.81,6.59,10.96,55.22,14.08,14.65,15.53,26.73,0.12,0.74,3.67,10.24,22037.5475851677,673.96147322532,5391.69178580256,8581.03442612434,10608.1815675938,14525.4452337071,24147.1662403124,31032.538381226,32275.2735085383,34226.6774262203,58913.3725754634,2662658.10340379,1637219.82631072,808623.931860567,225719.203590754,0,2695.84589290128,7952.7720307514,8961.14949642419,11752.390548924,16991.0637023258,29870.8091994946,30173.2491607917,31974.4989655302,34131.3488833533,2280923.58035963,1082316.24205235,395030.290029943,71574.5485763732
"142","Australia",1955,0.424649210359247,2.4007287,85.032257,15.180506,1.4523416,12.730775,2.0260119,6.2836618,0.31,10.98,18.15,2.46,3.92,4.84,6.62,10.9,55.49,14.13,14.76,15.69,26.36,0.12,0.7,3.38,9.59,22938.8053464868,706.004121107239,5648.03296885791,8984.66520266602,11099.1468792149,15187.4823119826,25007.6545619148,32422.496485293,33860.1521691594,35997.8164682922,60474.4024461849,2698359.47541662,1602154.84393451,774516.764850771,220010.149695784,0,2824.01648442896,8330.88859910436,9376.97113484195,12289.7211057131,17745.1651036217,30267.3786024906,31563.4071150535,33591.2204238386,35951.9175402452,2284697.75128634,1038239.41484699,377431.282035371,74236.4865529088
"143","Australia",1956,0.426391292464616,2.4341865,85.903229,15.293478,1.4728982,12.678652,2.0138874,6.2956109,0.31,10.94,18.08,2.45,3.9,4.82,6.6,10.94,55.3,14.1,14.68,15.58,26.63,0.13,0.76,3.62,10.05,23291.407706651,713.731661968575,5709.98652921173,9085.65616771589,11228.5831886423,15370.9447907078,25482.0989241082,32836.6527054217,34188.9723561555,36282.8028459198,62014.6478966586,2976395.1298896,1761838.14724452,844149.036001686,234180.261283333,0,2854.99326460586,8422.22013807757,9485.88949094785,12437.2771661257,17973.9269598099,31349.8338736617,31933.4630588873,33884.2674259853,36197.4668127873,2518820.78879726,1137961.66424425,406264.535640768,75281.7030711361
"144","Australia",1957,0.409064180676311,2.2148612,79.80645,14.313168,1.3358531,12.240313,1.9118201,6.4024396,0.31,11.17,18.52,2.5,3.98,4.94,6.79,11.97,56.74,14.49,14.81,15.48,24.74,0.09,0.6,3.09,8.93,23265.9601151939,726.388840965591,5810.91087753004,9264.38885850007,11489.2544592492,15798.2245069544,27845.061009388,33708.3992546583,34448.1114419365,36007.609127832,57561.0529247296,2193538.08348057,1400963.72105514,718328.749380292,207674.79612895,0,2905.42213039924,8571.10853312141,9682.0757654016,12740.5831449332,18601.7896547935,32431.8228277119,32532.6139425671,33772.7510173484,35563.2755283052,1899691.01438779,948345.664791116,360451.476560679,68349.5659846651
"145","Australia",1958,0.468681999249836,2.8912213,104.48276,18.397728,1.7595819,16.504169,2.729682,6.0461879,0.29,10.48,17.22,2.35,3.74,4.61,6.22,8.58,52.48,11.13,14.51,18.27,30.3,0.12,0.65,2.98,9.38,23983.6221643247,704.938253402227,5639.37279375469,8980.93466569848,11061.6416593448,14915.4861970099,20567.44955303,26687.6619152082,34807.3088585255,43806.9628257933,72664.4649214794,2970845.1567496,1556968.04874785,714073.605651689,224952.245160266,0,2819.68639687735,8318.09818664422,9386.96364457644,12214.5108157783,17048.3540914702,22681.464912458,29148.6838293491,37640.851535568,46536.5834015971,2414281.15045701,946801.48895348,355187.022732162,95427.5353301024
"146","Australia",1959,0.455914062375108,2.6682243,95.166664,17.468401,1.6184807,16.022684,2.6149733,6.127284,0.3,10.7,17.64,2.39,3.82,4.73,6.4,8.87,53.81,11.53,14.97,18.44,28.55,0.11,0.59,2.77,8.76,24626.6734741046,736.381350700078,5890.98418886906,9407.28174770323,11637.6765371721,15764.3165905887,21836.2984391151,28395.4484455635,36868.2306828976,45420.4866809866,70309.6966941819,2666973.46865772,1451914.26247339,683197.549972905,215849.801576196,0,2945.52540280031,8689.21999818304,9848.88406123596,12868.7537364609,18048.0713820398,24105.4641663538,30976.1140095919,39600.3160777692,47195.2230265629,2193218.52301926,902521.680567051,343020.209496183,89858.5098048784
"147","Australia",1960,0.45434192071517,2.6387336,94.466667,17.355556,1.602035,16.06686,2.6250374,6.1206217,0.3,10.74,17.69,2.4,3.83,4.74,6.42,8.89,53.97,11.55,15.01,18.52,28.34,0.1,0.54,2.59,8.42,25213.9665795662,756.499603632177,6051.86359559429,9662.95676344295,11950.3088583984,16182.1367309534,22405.8048772493,29128.6321931485,37834.4397574908,46703.1252305052,71464.1646521729,2438271.83399488,1354934.69053133,652725.524771053,212206.465910271,0,3025.93179779714,8926.50879601131,10113.818802663,13210.8972697697,18520.5838590179,24726.7984216442,31773.049969283,40656.1912730466,48617.2237785119,2017384.3262254,854600.40178318,334212.478332549,91572.358457806
"148","Australia",1961,0.455471205553481,2.6554308,94.533333,17.460966,1.6122797,16.273943,2.6563406,6.126452,0.3,10.68,17.59,2.39,3.81,4.71,6.39,8.85,54.04,11.55,15.03,18.61,28.36,0.1,0.55,2.56,8.31,25428.6723053945,758.364872115947,6066.78574346445,9688.00465451073,11985.615726127,16238.2946356612,22506.9290757623,29370.4509287231,38216.953030127,47332.9198107041,72122.2047265546,2592492.69855017,1388778.72145145,650094.763424889,211383.749275465,0,3033.39287173223,8948.49231742718,10143.9295653296,13255.530479917,18583.9363707345,24890.7421980213,32094.7421660019,41156.7493940128,49365.2630572355,2120186.93329014,856511.036261146,330019.621247959,91824.1030863835
"149","Australia",1962,0.460259271463508,2.7416904,99.551727,17.988636,1.662061,16.591671,2.700573,6.1437593,0.29,10.53,17.37,2.35,3.76,4.65,6.31,8.76,53.76,11.44,14.94,18.62,28.87,0.09,0.53,2.59,8.5,25457.117649772,748.97191296553,5991.70868699268,9568.6274715494,11845.1210392601,16062.2266141396,22292.0234997393,29127.2998585173,38036.7547712484,47402.9339955771,73495.641881194,2379739.30927377,1345517.61612409,658747.344220712,216469.337179734,0,2995.82103513056,8837.70869283751,10026.5508843151,13111.1720226195,18405.6033803397,24674.504287367,31880.1030569051,41070.081026249,49705.6745555237,1981083.33701176,858886.389058496,340940.701603705,94718.3336058801
"150","Australia",1963,0.463126826594413,2.7919848,100.89655,18.171103,1.693287,16.634865,2.7048483,6.1500173,0.29,10.48,17.28,2.34,3.74,4.63,6.28,8.71,53.46,11.36,14.85,18.53,29.26,0.09,0.54,2.73,8.82,26255.3193273628,768.224148387307,6145.79318709846,9814.84291140714,12151.09168733,16479.6470541148,22872.2552316551,29835.2358648398,38993.4376532281,48659.0590859336,76833.2733659755,2417468.16151173,1421764.46240211,717510.695916695,231606.057542266,0,3072.89659354923,9065.07159766285,10286.9556879958,13453.1823224652,18898.367343713,25296.6379434362,32648.2605885609,42108.2361709306,51117.2164806172,2038656.04786452,929420.917221704,371516.049356213,99779.0068525449
"151","Australia",1964,0.4561799270997,2.6719625,95.300003,17.505577,1.6216676,16.185812,2.6359756,6.1403503,0.3,10.7,17.63,2.39,3.82,4.72,6.4,8.86,53.78,11.47,14.94,18.5,28.59,0.09,0.54,2.64,8.46,27855.3866027803,832.309444151146,6658.34231974604,10632.8297582722,13155.93846623,17826.4375161289,24692.1577212313,31952.3822106512,41610.5425694216,51543.2970956957,79649.42907608,2645187.66570113,1494361.24472432,734470.982689039,235643.697642314,0,3329.17115987302,9821.10488417408,11133.0547955806,14549.7603407277,20442.2767144227,27179.3600108765,34821.7646892748,44711.018489838,53885.3415272646,2199693.13639336,954073.504604387,374681.876290293,103011.51713492
"152","Australia",1965,0.453351739187151,2.6245353,94.133331,17.269373,1.5927806,16.099766,2.6252594,6.132638,0.3,10.76,17.73,2.41,3.84,4.75,6.44,8.91,54.02,11.54,15.01,18.56,28.24,0.08,0.49,2.46,8.17,28899.7371034972,868.882029779366,6951.05623823493,11100.0128967252,13731.3071767417,18600.5239368938,25756.2933912225,33354.731026789,43382.6142457354,53632.997348103,81618.6196610895,2413653.62084569,1406112.06192055,710333.34264134,236133.130769109,0,3475.52811911746,10252.7813047039,11618.6241519451,15180.8872555578,21314.1564971224,28359.07571013,36342.4248206689,46587.3453510483,55955.1899936661,2026305.63891635,915157.875293625,371736.284270761,105586.853360423
"153","Australia",1966,0.445908741108769,2.4972627,88.290321,16.666666,1.517184,15.74412,2.5801265,6.1020722,0.31,10.96,18.04,2.45,3.91,4.83,6.54,9.04,54.59,11.73,15.19,18.63,27.37,0.08,0.44,2.21,7.66,28759.9752006775,880.739807997623,7045.91846398098,11246.7029396275,13900.8467585702,18807.6353553239,26007.3052357528,33747.7697430122,43679.191934655,53578.1717780265,78705.7364567552,2185720.07709777,1264167.32865773,635022.727908705,220411.715353647,0,3522.95923199049,10392.6764409867,11759.6517726644,15351.0263879704,21497.3525089213,28660.3831869905,36736.7958715233,46793.457518505,55465.8901003341,1829501.82736101,818688.853982263,339184.817793161,100525.247479516
"154","Australia",1967,0.447741562034766,2.5274725,89.032257,16.792727,1.5350389,15.784294,2.5835285,6.1095877,0.31,10.92,17.98,2.44,3.9,4.82,6.52,9.02,54.42,11.68,15.13,18.58,27.6,0.1,0.53,2.42,7.91,29735.1109173003,907.253267159794,7258.22598747304,11586.6481207947,14323.5299203389,19384.0699335406,26808.7711331902,34738.0274576998,45001.73390638,55261.7098180927,82080.8731614068,3008736.08749546,1564734.16069676,719476.955365515,235303.752461147,0,3629.07968537074,10705.8416960655,12117.7167048169,15821.3405128069,22172.179999657,29522.1372264926,37808.2593819865,48214.7921031383,57282.4617533321,2434450.16533856,947949.162004852,363070.713212283,104016.030830162
"155","Australia",1968,0.44447480220581,2.4754992,88,16.552347,1.5038589,15.710198,2.5751634,6.1006608,0.31,11.02,18.14,2.46,3.93,4.86,6.57,9.08,54.58,11.74,15.18,18.57,27.28,0.08,0.46,2.27,7.69,30272.9077912103,932.434391690699,7459.74160045185,11906.0087319089,14712.9047163261,19900.7493035451,27497.7213710172,35540.7590730368,45951.2221813509,56229.451077512,82597.752381606,2496557.34387536,1399104.51469395,685691.94686956,232851.790422498,0,3729.87080022592,11003.1521690322,12445.3377906449,16242.6247232128,22754.676700446,30234.2034701721,38621.6496743736,49131.7714131063,58597.0097172696,2068075.99502479,888787.175787194,359145.455538382,105395.197023716
"156","Australia",1969,0.440077193275612,2.4087656,86.870964,16.156584,1.4635869,15.236814,2.5039086,6.0852113,0.31,11.18,18.4,2.5,3.99,4.93,6.66,9.19,54.67,11.81,15.2,18.47,26.93,0.1,0.51,2.34,7.69,31798.7640276664,994.654418970767,7956.96888483988,12694.6176001545,15676.1826547306,21182.5218355534,29213.4352924285,37539.8605705182,48349.4911343592,58735.3060519949,85644.5352163824,3136320.25193518,1623550.07299394,745342.100496112,244639.754306077,0,3978.48444241994,11736.4691500804,13257.7954487902,17289.6398931923,24209.919201445,32012.6037359844,40662.3200123504,51479.7447337844,60619.427070798,2531340.73732726,980421.954122475,375840.807569298,108444.644527754
"157","Australia",1970,0.437496135711234,2.3683274,85.870964,15.957597,1.4389189,15.226159,2.5004373,6.0893989,0.31,11.24,18.5,2.52,4.01,4.96,6.7,9.24,54.88,11.84,15.26,18.54,26.62,0.07,0.42,2.1,7.3,33125.5028534799,1041.55259799129,8332.42078393031,13294.43465115,16418.4262778082,22188.1680152321,30597.997441239,39232.7249530033,50546.7774082412,61408.5688728962,88194.1573835024,2471600.11817924,1396984.30397848,695218.739033687,241881.088835312,0,4166.21039196516,12290.3206562972,13882.1940737324,18105.694854842,25369.716497961,33482.5019179273,42459.0398793426,53778.2218229109,63435.3829307079,2050487.97879093,893518.162829353,368776.169803748,112768.403489867
"158","Australia",1971,0.442714855503826,2.4441416,86.80645,16.498196,1.4842802,15.843102,2.5894821,6.1182513,0.31,11.01,18.13,2.46,3.93,4.86,6.58,9.1,54.95,11.78,15.28,18.79,26.91,0.07,0.4,1.96,7.08,32993.868191911,1014.90590536599,8118.98077600169,12963.4161120122,16031.049983768,21704.6637775461,30031.355522562,38870.7962504202,50418.1404995925,61993.3305425584,88792.3090162087,2331797.9788537,1303726.54221213,647327.304545557,233546.736166166,0,4059.49038800084,11975.4899829293,13555.9719392673,17705.46153161,24836.9824956498,33037.7020012796,42288.0347294198,54007.1835292938,64314.9236375373,1928518.93865467,830498.001986478,349388.236099777,113079.503626267
"159","Australia",1972,0.43820176057495,2.3765652,85.709679,16.085409,1.4440217,15.365668,2.526859,6.080936,0.31,11.18,18.4,2.5,3.99,4.93,6.66,9.2,55.03,11.89,15.31,18.63,26.57,0.07,0.41,2.06,7.22,33828.9089220562,1058.27339761366,8466.1871809093,13508.0078925417,16682.628235188,22546.166330653,31117.5413307007,40207.1278855788,51804.7677670814,63023.4916794523,89874.6976706483,2350999.11924236,1371398.48280333,697885.939732016,244077.042774563,0,4233.09359045465,12487.6394151875,14108.0247937318,18400.7403589356,25741.1713931577,34199.8308834003,43634.4921077761,55260.7771838509,65044.3102314233,1971039.39916051,893519.894864373,374169.793474766,113674.923972979
"160","Australia",1973,0.430282133318729,2.260262,80.875,15.356401,1.3744025,14.635193,2.4166064,6.0560932,0.32,11.45,18.83,2.57,4.09,5.05,6.81,9.37,55.28,12.02,15.39,18.5,25.88,0.06,0.37,1.96,6.94,34731.6322514697,1113.69851827428,8909.52152946268,14206.9506401033,17526.9953077521,23651.4711407503,32552.7321954992,41732.8508885717,53459.1942954546,64268.758242564,89894.2829897279,2152511.56979676,1295856.44154525,679145.12095845,240983.694844423,0,4454.72745636556,13141.5492522123,14817.0266677594,19302.9307544966,26978.2440982871,35610.7066411782,45080.2750328931,56678.5144649798,65195.7966789981,1820934.71583178,860568.12844681,368802.283562521,113592.119375646
"161","Australia",1974,0.420731731011028,2.1189051,75.060608,14.698305,1.2894326,14.179914,2.3532047,6.0257888,0.33,11.69,19.21,2.62,4.18,5.15,6.94,9.54,56.02,12.26,15.63,18.59,24.77,0.05,0.31,1.64,6.17,35257.4381136984,1154.66780818567,9237.40908221696,14723.6966268393,18150.3946817209,24465.6608339163,33632.3229472131,43228.0634285087,55105.5601993085,65531.1453056875,87345.3936066551,1876299.41511687,1110401.12329536,578461.725358203,217386.383106434,0,4618.73784947426,13625.1867233615,15338.1027420471,19964.9678327721,27831.5378128806,36829.5929785909,46654.5616331956,58280.5136256126,65493.3070021595,1576605.06241113,730873.146250771,321803.380043875,107565.570138046
"162","Australia",1975,0.416240269059463,2.0493617,72.969696,14.466216,1.2470223,14.246276,2.3733206,6.0026765,0.33,11.75,19.31,2.63,4.2,5.17,6.97,9.59,56.62,12.45,15.83,18.74,24.08,0.06,0.32,1.48,5.67,35713.2297910541,1176.11839574904,9408.88054926074,14994.7601075701,18479.4147189118,24899.1359061983,34244.1976266214,44462.2049974493,56551.7428248149,66934.293522604,85981.6158780924,2200430.91669542,1134860.25568959,529155.751192059,202473.761428881,0,4704.47358299615,13878.1304531071,15615.1617286186,20319.3688446885,28239.4320602424,37706.8020998156,48116.3325738878,59910.6916636967,67021.2283572941,1768503.88402147,686112.431679187,288594.939359599,101800.691422026
"163","Australia",1976,0.41285984570834,2.004216,72.030304,14.200669,1.2202259,14.02682,2.3413866,5.9908175,0.33,11.86,19.48,2.66,4.24,5.22,7.03,9.66,56.75,12.52,15.89,18.69,23.77,0.06,0.29,1.41,5.5,35790.3053494727,1189.7748257195,9518.13198902446,15165.3655571036,18681.5964992062,25156.343106764,34564.7573389038,44806.4136494366,56853.1835351386,66878.2022346278,85089.0849086081,1984145.04199441,1052985.16161198,503612.764575302,196881.952981463,0,4759.09930287801,14039.2763267586,15783.9019096683,20529.4113993074,28510.8952413626,38020.8333724048,48423.036006005,60109.0096735605,66755.0278979673,1608615.20132805,648437.339143595,279392.104361063,100249.187743918
"164","Australia",1977,0.4138244034763,2.0152028,72.303032,14.302013,1.2267352,14.053253,2.3398864,6.0059552,0.33,11.84,19.45,2.65,4.23,5.21,7.02,9.65,56.69,12.45,15.83,18.76,23.86,0.07,0.34,1.53,5.65,36319.7085152058,1205.29652417374,9642.23895992678,15365.7486856459,18934.4069954887,25507.5465155654,35049.9936116104,45223.7008559487,57476.183208718,68130.9298716745,86660.8400731112,2510409.42718643,1230672.63587793,554096.122855095,205028.912784721,0,4821.11947996339,14222.3391050944,15995.9429662341,20812.0661913303,28955.4286910841,38453.1093435186,48817.2738233963,60728.944977488,67752.4136029322,1983624.09915359,721171.751633216,292922.029158289,100591.264660495
"165","Australia",1978,0.412299090267628,1.9941127,71.848488,14.15,1.2140297,14.028876,2.338726,5.9985118,0.33,11.89,19.53,2.67,4.25,5.23,7.05,9.68,56.76,12.49,15.85,18.74,23.71,0.06,0.31,1.46,5.56,35603.11233378,1186.37737240978,9490.88574581509,15122.59761544,18630.1683824394,25089.2600580798,34459.7693699601,44458.0747600924,56431.233157417,66734.643178109,84428.3135482323,2150806.91425279,1108394.22764029,519602.378952037,197880.870871254,0,4745.44287290755,13999.1064376259,15738.4026820106,20471.7213097737,28465.5958638996,37802.0640259511,47969.9089979118,59578.6738735855,66573.2308375312,1726761.50694028,670676.135874815,282107.002639192,97990.8805439243
"166","Australia",1979,0.415602109028443,2.0423369,73.090912,14.375839,1.2426584,14.087925,2.3385632,6.0241799,0.33,11.81,19.41,2.65,4.22,5.2,7.01,9.64,56.47,12.36,15.74,18.72,24.12,0.07,0.34,1.57,5.77,36568.1889239367,1210.15954557785,9681.3429813544,15431.2329327725,19022.0079974944,25638.5150098187,35233.4560903356,45207.3131399842,57575.3755220157,68468.6767007002,88213.6760858504,2490482.43089065,1248300.22245034,574890.202528903,211087.704520398,0,4840.63818231142,14279.9625778966,16068.5552036381,20914.7891914008,29160.8746912251,38533.9154389049,48733.8030587475,60795.4284755881,68194.5488503174,1981605.94527088,743258.129282619,304037.963453858,104352.511941288
"167","Australia",1980,0.418851173410195,2.0879591,74.090912,14.637288,1.2701299,14.366489,2.3758967,6.0467653,0.33,11.71,19.25,2.62,4.18,5.16,6.96,9.58,56.3,12.29,15.71,18.73,24.45,0.08,0.36,1.59,5.8,36875.3586731748,1208.69397748346,9669.48520313615,15418.5757537755,19020.6090461316,25662.8967335709,35313.2629347484,45303.3078501668,57917.1859716667,69077.6868606513,90162.0156338806,2796378.20175434,1323453.75492995,585166.299689654,213891.869218821,0,4834.70929320229,14262.4423774954,16066.9564020805,20929.3782556131,29234.3529461394,38619.4513222321,48888.3538759743,61281.6639992682,69457.8019309512,2184296.3443108,760560.826055198,304798.193594458,108782.657823706
