country,year,ai_adoption_by_organizations,number_ai_bills_cumulative,relative_ai_hiring_rate,relative_ai_hiring_index,ai_job_postings,number_ai_publications_by_field,number_ai_publications_by_country,casp_median_accuracy_gdt_ts,...4,...5,mean_normalized_human_score,conference_attendance,total_corporate_investment_by_activity,new_cs_undergraduate_graduates_at_doctoral_institutions,number_ai_phds_employed_academia,number_ai_phds_employed_government,number_ai_phds_employed_industry,total_number_ai_phds_employed,share_ai_phds_employed_academia,share_ai_phds_employed_government,share_ai_phds_employed_industry,imagenet_training_cost_usd,imagenet_extra_training_data,top1_accuracy,top5_accuracy,number_mentions_AI_legislative_proceedings,number_patent_filings,female_new_cs_phds,female_new_ai_phds,new_international_ai_phds,share_new_cs_phds_by_specialty,number_new_cs_phds_by_specialty,total_private_investment_by_country,total_private_investment_by_focus_area
Belgium,609,,,,1.048964584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,639,,,,1.036636503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,670,,,,1.022183829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,700,,,,1.004707703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-1126,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-1095,,,,0.977769783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-1064,,,,0.974145188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-1036,,,,0.972540647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-1005,,,,0.959134164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-975,,,,0.958250762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-944,,,,0.920492217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-914,,,,0.911384596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-883,,,,0.905963886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-852,,,,0.906756532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-822,,,,0.90981861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-791,,,,0.899463042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-761,,,,0.899388603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-730,,,,0.934888242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-699,,,,0.941079705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-671,,,,0.93669983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-640,,,,0.960212567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-610,,,,0.967696383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-579,,,,1.072471474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-549,,,,1.122538439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-518,,,,1.134524877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-487,,,,1.140620458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-457,,,,1.154698537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-426,,,,1.190428081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-396,,,,1.221269274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-365,,,,1.221635623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-334,,,,1.238675354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-306,,,,1.265916275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-275,,,,1.275138235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-245,,,,1.281244556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-214,,,,1.221549043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-184,,,,1.195701171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-153,,,,1.20346505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-122,,,,1.216960751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-92,,,,1.214940246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-61,,,,1.21671905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-31,,,,1.19151785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,0,,,,1.203991812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,31,,,,1.194613572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,60,,,,1.202686449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,91,,,,1.230460851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,121,,,,1.239572711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,152,,,,1.253253515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,182,,,,1.265657966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,213,,,,1.266401397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,244,,,,1.282398201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,274,,,,1.28837729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,305,,,,1.283055928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,335,,,,1.30070638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,366,,,,1.278530065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,397,,,,1.282875716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,425,,,,1.25459016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,456,,,,1.207037356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,486,,,,1.20551729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,517,,,,1.207360901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,547,,,,1.191012341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,578,,,,1.192880749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,609,,,,1.168073155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,639,,,,1.154843527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,670,,,,1.136024182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,700,,,,1.109223284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-1126,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-1095,,,,0.986847405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-1064,,,,0.993313374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-1036,,,,0.984563154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-1005,,,,0.984908711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-975,,,,0.983036899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-944,,,,0.974608021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-914,,,,0.978093541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-883,,,,0.97750165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-852,,,,0.980152855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-822,,,,0.968593163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-791,,,,0.96949474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-761,,,,0.976079516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-730,,,,1.001859586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-699,,,,0.988320754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-671,,,,1.001236672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-640,,,,1.012639888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-610,,,,1.023162921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-579,,,,1.048639262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-549,,,,1.052784502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-518,,,,1.059603507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-487,,,,1.068816712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-457,,,,1.102522835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-426,,,,1.112236527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-396,,,,1.101804479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-365,,,,1.100910602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-334,,,,1.133519522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-306,,,,1.147981735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-275,,,,1.136347502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-245,,,,1.160464367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-214,,,,1.157496297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-184,,,,1.161104018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-153,,,,1.17906829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-122,,,,1.187231125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-92,,,,1.181947731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-61,,,,1.191315127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,-31,,,,1.219578454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0,,,,1.232830187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,31,,,,1.224379799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,60,,,,1.231918504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,91,,,,1.297768063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,121,,,,1.330878698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,152,,,,1.354913075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,182,,,,1.367563411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,213,,,,1.370338164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,244,,,,1.382608001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,274,,,,1.383196433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,305,,,,1.387897875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,335,,,,1.400801846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,366,,,,1.408985733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,397,,,,1.408404427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,425,,,,1.397999822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,456,,,,1.33065455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,486,,,,1.258296714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,517,,,,1.224849851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,547,,,,1.218548104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,578,,,,1.208471565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,609,,,,1.205305515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,639,,,,1.211626362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,670,,,,1.206989826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,700,,,,1.181141431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-1126,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-1095,,,,0.966432732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-1064,,,,1.051395346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-1036,,,,1.028314661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-1005,,,,1.036992349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-975,,,,1.036409664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-944,,,,1.030336668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-914,,,,1.012707156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-883,,,,0.99471283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-852,,,,1.000217528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-822,,,,0.973349075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-791,,,,0.957005334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-761,,,,0.954457586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-730,,,,1.002276681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-699,,,,0.881512729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-671,,,,0.933211987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-640,,,,0.907941168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-610,,,,0.905208192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-579,,,,0.990405553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-549,,,,1.046997399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-518,,,,1.099708282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-487,,,,1.094774934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-457,,,,1.1336868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-426,,,,1.201032597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-396,,,,1.23523634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-365,,,,1.241787781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-334,,,,1.305062071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-306,,,,1.330548556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-275,,,,1.374112485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-245,,,,1.375246415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-214,,,,1.302329199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-184,,,,1.276744831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-153,,,,1.265703504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-122,,,,1.295331452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-92,,,,1.328218063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-61,,,,1.288012322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-31,,,,1.273785245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0,,,,1.280401344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,31,,,,1.322487628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,60,,,,1.263711377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,91,,,,1.337728973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,121,,,,1.452223816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,152,,,,1.465949379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,182,,,,1.51005768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,213,,,,1.539155601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,244,,,,1.529102491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,274,,,,1.506769339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,305,,,,1.520297451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,335,,,,1.556683241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,366,,,,1.553085092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,397,,,,1.49489397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,425,,,,1.538290291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,456,,,,1.415267427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,486,,,,1.29421806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,517,,,,1.277696709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,547,,,,1.242078649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,578,,,,1.192351416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,609,,,,1.182985665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,639,,,,1.149673931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,670,,,,1.125429806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,700,,,,1.05443016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-1126,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-1095,,,,1.023103968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-1064,,,,1.01422071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-1036,,,,1.023012471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-1005,,,,1.022093172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-975,,,,1.029587758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-944,,,,1.051654709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-914,,,,1.050128936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-883,,,,1.066903747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-852,,,,1.068062601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-822,,,,1.080622752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-791,,,,1.083173215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-761,,,,1.08402824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-730,,,,1.073146003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-699,,,,1.091411723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-671,,,,1.080414521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-640,,,,1.10225133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-610,,,,1.101968137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-579,,,,1.102159502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-549,,,,1.124421613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-518,,,,1.125812565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-487,,,,1.145171681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-457,,,,1.154900916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-426,,,,1.176917055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-396,,,,1.199347301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-365,,,,1.20623222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-334,,,,1.214907283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-306,,,,1.235852019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-275,,,,1.209093291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-245,,,,1.20977861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-214,,,,1.181864325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-184,,,,1.170623776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-153,,,,1.142974742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-122,,,,1.129494585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-92,,,,1.113678184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-61,,,,1.086376775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-31,,,,1.076613504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,0,,,,1.060391797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,31,,,,1.082209919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,60,,,,1.09955291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,91,,,,1.13912386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,121,,,,1.14850293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,152,,,,1.187981913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,182,,,,1.199781457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,213,,,,1.238618406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,244,,,,1.254000863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,274,,,,1.266293126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,305,,,,1.278086407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,335,,,,1.277334455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,366,,,,1.285751737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,397,,,,1.244571956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,425,,,,1.207974826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,456,,,,1.173306334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,486,,,,1.170886929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,517,,,,1.141903139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,547,,,,1.116712997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,578,,,,1.096989902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,609,,,,1.074653865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,639,,,,1.055653441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,670,,,,1.075050115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,700,,,,1.076877475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-1126,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-1095,,,,0.965273491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-1064,,,,0.914741117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-1036,,,,0.866801944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-1005,,,,1.088383222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-975,,,,1.115885223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-944,,,,1.184392068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-914,,,,1.189248247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-883,,,,1.29983196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-852,,,,1.261492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-822,,,,1.227899182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-791,,,,1.22591901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-761,,,,1.239659865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-730,,,,1.253883402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-699,,,,1.413336055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-671,,,,1.474944065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-640,,,,1.209923073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-610,,,,1.134437841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-579,,,,1.062658177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-549,,,,1.026115565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-518,,,,0.850302586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-487,,,,0.881849423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-457,,,,0.960207311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-426,,,,0.953331426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-396,,,,0.925518907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-365,,,,0.921932546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-334,,,,0.75948255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-306,,,,0.685121558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-275,,,,0.84517796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-245,,,,0.916846377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-214,,,,0.917076248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-184,,,,1.023940745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-153,,,,1.482521321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-122,,,,1.508739699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-92,,,,1.502859344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-61,,,,1.547359457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,-31,,,,1.573963421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,0,,,,1.642737749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,31,,,,1.738497741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,60,,,,2.251661692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,91,,,,2.128242104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,121,,,,2.115319068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,152,,,,2.120345068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,182,,,,2.068499975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,213,,,,1.636309565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,244,,,,1.621553105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,274,,,,1.6017971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,305,,,,1.564419774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
