object.internationalDesignator_s1,object.internationalDesignator@official_s1,object.nationalDesignator_s1,object.nameOfSpaceObjectIno_s1,object.nameOfSpaceObjectO_s1,object.launch.stateOfRegistry_s1,object.launch.stateOfRegistry@official_s1,object.launch.dateOfLaunch_s1,object.status.gsoLocation_s1,object.unRegistration.unRegistered_s1,en#object.status.objectStatus_s1,object.status@official_s1,object.status.dateOfDecay_s1,object.launch.dateOfLaunch@official_s1,object.functionOfSpaceObject_s1,object.remark_s1,object.status.webSite_s1,object.unRegistration.registrationDocuments.document@uri_s,object.unRegistration.registrationDocuments.document..document.symbol_s,object.unRegistration.decayDocuments.document@uri_s,object.unRegistration.decayDocuments.document..document.symbol_s,object.status.dateOfDecay@official_s1,object.status.gsoLocation@official_s1
2021-041BA,true,,,Starlink 2276,USA,true,2021-05-15,,T,deorbited,false,2021-08-25,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],['/osoindex/data/documents/us/st/stsgser.e1031.html'],['ST/SG/SER.E/1031'],true,
2021-041AM,true,,,Starlink 2244,USA,true,2021-05-15,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-041AN,true,,,Starlink 2245,USA,true,2021-05-15,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-041AH,true,,,Starlink 2238,USA,true,2021-05-15,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2020-049*,false,,ZHURONG,,China,false,2021-05-14,,F,on Mars,false,,false,------,Not registered with the United Nations. International Designator pending assignment. Date of launch is date of landing on Mars. ,,,,,,,
2021-006FA,true,,,SpaceBEE 72,USA,true,2021-05-11,,T,in orbit,true,,false,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from ION-SCV-002.,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-006FD,true,,,SpaceBEE 75,USA,true,2021-05-11,,T,in orbit,true,,false,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from ION-SCV-002.,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-006FC,true,,,SpaceBEE 74,USA,true,2021-05-11,,T,in orbit,true,,false,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from ION-SCV-002.,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-006FB,true,,,SpaceBEE 73,USA,true,2021-05-11,,T,in orbit,true,,false,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from ION-SCV-002.,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-006EW,true,,,SpaceBEE 68,USA,true,2021-05-11,,T,in orbit,true,,false,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from ION-SCV-002.,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-006EX,true,,,SpaceBEE 69,USA,true,2021-05-11,,T,in orbit,true,,false,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from ION-SCV-002.,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-006EZ,true,,,SpaceBEE 71,USA,true,2021-05-11,,T,in orbit,true,,false,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from ION-SCV-002.,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-006EY,true,,,SpaceBEE 70,USA,true,2021-05-11,,T,in orbit,true,,false,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from ION-SCV-002.,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-006ET,true,,,SpaceBEE 64,USA,true,2021-05-11,,T,in orbit,true,,false,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from ION-SCV-002.,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-006ES,true,,,SpaceBEE 65,USA,true,2021-05-11,,T,in orbit,true,,false,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from ION-SCV-002.,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-006EU,true,,,SpaceBEE 66,USA,true,2021-05-11,,T,in orbit,true,,false,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from ION-SCV-002.,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-006EV,true,,,SpaceBEE 67,USA,true,2021-05-11,,T,in orbit,true,,false,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from ION-SCV-002.,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040A,true,,,Starlink 2461,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040F,true,,,Starlink 2699,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040G,true,,,Starlink 2692,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040E,true,,,Starlink 2680,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040B,true,,,Starlink 2749,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040D,true,,,Starlink 2700,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040H,true,,,Starlink 2633,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040C,true,,,Starlink 2729,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040J,true,,,Starlink 2639,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040K,true,,,Starlink 2642,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040R,true,,,Starlink 2663,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040L,true,,,Starlink 2640,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040S,true,,,Starlink 2645,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040T,true,,,Starlink 2634,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040M,true,,,Starlink 2583,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040P,true,,,Starlink 2702,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040Q,true,,,Starlink 2644,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040N,true,,,Starlink 2682,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040U,true,,,Starlink 2247,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AB,true,,,Starlink 2620,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AC,true,,,Starlink 2654,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AA,true,,,Starlink 2703,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AD,true,,,Starlink 2497,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040W,true,,,Starlink 2632,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040X,true,,,Starlink 2655,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040Z,true,,,Starlink 2652,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040V,true,,,Starlink 2269,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040Y,true,,,Starlink 2660,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040BH,true,,,Starlink 2531,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040BK,true,,,Starlink 2500,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040BL,true,,,Starlink 2496,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040BM,true,,,Starlink 2494,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040BJ,true,,,Starlink 2696,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040BB,true,,,Starlink 2638,USA,true,2021-05-09,,T,deorbited,false,2021-06-02,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],['/osoindex/data/documents/us/st/stsgser.e1024.html'],['ST/SG/SER.E/1024'],true,
2021-040BA,true,,,Starlink 2723,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040BE,true,,,Starlink 2690,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AY,true,,,Starlink 2697,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040BD,true,,,Starlink 2755,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040BF,true,,,Starlink 2706,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040BG,true,,,Starlink 2525,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040BC,true,,,Starlink 2728,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AZ,true,,,Starlink 2619,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AX,true,,,Starlink 2658,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AV,true,,,Starlink 2684,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AW,true,,,Starlink 2722,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AU,true,,,Starlink 2675,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AP,true,,,Starlink 2681,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AT,true,,,Starlink 2661,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AQ,true,,,Starlink 2687,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AS,true,,,Starlink 2685,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AR,true,,,Starlink 2659,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AF,true,,,Starlink 2529,USA,true,2021-05-09,,T,deorbited,false,2021-07-28,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],['/osoindex/data/documents/us/st/stsgser.e1024.html'],['ST/SG/SER.E/1024'],true,
2021-040AM,true,,,Starlink 2689,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AH,true,,,Starlink 2579,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AG,true,,,Starlink 2698,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AJ,true,,,Starlink 2582,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AK,true,,,Starlink 2693,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AL,true,,,Starlink 2683,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AN,true,,,Starlink 2686,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-040AE,true,,,Starlink 2508,USA,true,2021-05-09,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-039D,false,,TIANQI 12,,China,false,2021-05-06,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-039A,false,,YAOGAN,,China,false,2021-05-06,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-039B,false,,YAOGAN,,China,false,2021-05-06,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-039C,false,,YAOGAN,,China,false,2021-05-06,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-038F,true,,,Starlink 2624,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038B,true,,,Starlink 2674,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038G,true,,,Starlink 2628,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038H,true,,,Starlink 2622,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038C,true,,,Starlink 2635,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038D,true,,,Starlink 2637,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038E,true,,,Starlink 2636,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038A,true,,,Starlink 2613,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038R,true,,,Starlink 2623,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038J,true,,,Starlink 2591,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038L,true,,,Starlink 2626,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038M,true,,,Starlink 2611,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038P,true,,,Starlink 2631,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038K,true,,,Starlink 2578,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038S,true,,,Starlink 2641,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038Q,true,,,Starlink 2643,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038N,true,,,Starlink 2608,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038AA,true,,,Starlink 2499,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038U,true,,,Starlink 2589,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038T,true,,,Starlink 2621,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038W,true,,,Starlink 2609,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038V,true,,,Starlink 2572,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038X,true,,,Starlink 2604,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038Y,true,,,Starlink 2603,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038Z,true,,,Starlink 2610,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038AF,true,,,Starlink 2585,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038AB,true,,,Starlink 2526,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
2021-038AK,true,,,Starlink 2606,USA,true,2021-05-04,,T,in orbit,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,['/osoindex/data/documents/us/st/stsgser.e1010.html'],['ST/SG/SER.E/1010'],,,,
