,Entity,metric,value
512,Malawi,threshold Above $30 per day,13906.48999999836
513,Burkina Faso,threshold Above $30 per day,17696.210000000894
514,Guinea,threshold Above $30 per day,11943.240000000224
515,Chad,threshold Above $30 per day,15076.839999999851
516,Ethiopia,threshold Above $30 per day,133691.62999999523
517,Benin,threshold Above $30 per day,14601.519999999553
518,Papua New Guinea,threshold Above $30 per day,11447.86999999918
519,Senegal,threshold Above $30 per day,21545.5
520,Tanzania,threshold Above $30 per day,81236.03000000119
521,Kenya,threshold Above $30 per day,84482.56000000238
522,Solomon Islands,threshold Above $30 per day,1079.8699999999953
523,Uzbekistan,threshold Above $30 per day,60952.109999999404
524,Rwanda,threshold Above $30 per day,23583.27999999933
525,Uganda,threshold Above $30 per day,81777.46999999881
526,Bangladesh,threshold Above $30 per day,333376.2299999893
527,Syria,threshold Above $30 per day,35851.33999999985
528,Nepal,threshold Above $30 per day,60727.1799999997
529,Kyrgyzstan,threshold Above $30 per day,14989.110000000335
530,Mauritania,threshold Above $30 per day,10562.110000000335
531,Cote d'Ivoire,threshold Above $30 per day,66714.2899999991
532,Iraq,threshold Above $30 per day,114787.59000000358
533,Congo,threshold Above $30 per day,17720.849999999627
534,Angola,threshold Above $30 per day,109144.2100000009
535,Central African Republic,threshold Above $30 per day,17555.450000000186
536,Vanuatu,threshold Above $30 per day,1134.2999999999884
537,Sudan,threshold Above $30 per day,166171.7400000021
538,Micronesia (country),threshold Above $30 per day,455.8600000000006
539,India,threshold Above $30 per day,5576183.380000114
540,Pakistan,threshold Above $30 per day,888384.1200000048
541,Gambia,threshold Above $30 per day,9554.060000000056
542,Myanmar,threshold Above $30 per day,235801.5399999991
543,Lesotho,threshold Above $30 per day,9496.469999999972
544,Egypt,threshold Above $30 per day,444648.5799999982
545,Kiribati,threshold Above $30 per day,542.3300000000017
546,Zimbabwe,threshold Above $30 per day,68497.25
547,Zambia,threshold Above $30 per day,83378.5700000003
548,Haiti,threshold Above $30 per day,54373.68999999948
549,Mozambique,threshold Above $30 per day,163995.51000000164
550,Laos,threshold Above $30 per day,41316.3200000003
551,Moldova,threshold Above $30 per day,18532.850000000093
552,Tajikistan,threshold Above $30 per day,65122.56000000052
553,Albania,threshold Above $30 per day,22477.62000000011
554,Djibouti,threshold Above $30 per day,7471.959999999963
555,Cameroon,threshold Above $30 per day,211339.23000000045
556,Philippines,threshold Above $30 per day,932771.1599999964
557,Indonesia,threshold Above $30 per day,2556082.2900000215
558,Algeria,threshold Above $30 per day,404426.2700000033
559,Kosovo,threshold Above $30 per day,19600.73999999999
560,Sao Tome and Principe,threshold Above $30 per day,2299.290000000008
561,Comoros,threshold Above $30 per day,9310.189999999944
562,Bhutan,threshold Above $30 per day,8909.160000000033
563,Armenia,threshold Above $30 per day,35436.64999999991
564,Ghana,threshold Above $30 per day,368951.55999999866
565,Mongolia,threshold Above $30 per day,40738.5
566,Georgia,threshold Above $30 per day,57656.189999999944
567,Eswatini,threshold Above $30 per day,23423.540000000037
568,Nauru,threshold Above $30 per day,283.3099999999995
569,Palestine,threshold Above $30 per day,99185.33999999985
570,Kazakhstan,threshold Above $30 per day,402152.2199999988
571,Gabon,threshold Above $30 per day,46902.87000000011
572,Sri Lanka,threshold Above $30 per day,523445.8999999985
573,North Macedonia,threshold Above $30 per day,53090.89999999991
574,Vietnam,threshold Above $30 per day,2437764.920000002
575,Tuvalu,threshold Above $30 per day,296.5699999999997
576,Ukraine,threshold Above $30 per day,1196655.0700000003
577,Tunisia,threshold Above $30 per day,309627.9299999997
578,El Salvador,threshold Above $30 per day,177891.9500000002
579,Turkmenistan,threshold Above $30 per day,165684.99000000022
580,Fiji,threshold Above $30 per day,27107.079999999958
581,Honduras,threshold Above $30 per day,305931.8699999992
582,Guatemala,threshold Above $30 per day,532506.4100000001
583,Botswana,threshold Above $30 per day,74176.75999999978
584,Samoa,threshold Above $30 per day,6985.279999999999
585,Cape Verde,threshold Above $30 per day,19358.71000000002
586,Serbia,threshold Above $30 per day,258274.2000000002
587,Jordan,threshold Above $30 per day,394504.55000000075
588,Tonga,threshold Above $30 per day,4297.970000000001
589,Morocco,threshold Above $30 per day,1544573.299999997
590,Belize,threshold Above $30 per day,18343.98999999999
591,Nicaragua,threshold Above $30 per day,344980.7400000002
592,Jamaica,threshold Above $30 per day,172616.56999999983
593,Guyana,threshold Above $30 per day,45862.619999999995
594,China,threshold Above $30 per day,82423400.98000002
595,Mauritius,threshold Above $30 per day,77930.76000000001
596,Peru,threshold Above $30 per day,2153616.7600000016
597,Namibia,threshold Above $30 per day,170557.66000000015
598,Mexico,threshold Above $30 per day,9042525.329999998
599,Bolivia,threshold Above $30 per day,909480.9499999993
600,Dominican Republic,threshold Above $30 per day,881757.3200000003
601,Ecuador,threshold Above $30 per day,1435715.710000001
602,Colombia,threshold Above $30 per day,4236203.859999999
603,South Africa,threshold Above $30 per day,5229255.579999998
604,Thailand,threshold Above $30 per day,6404964.020000003
605,Montenegro,threshold Above $30 per day,59906.94999999995
606,Maldives,threshold Above $30 per day,48577.70000000001
607,Belarus,threshold Above $30 per day,934258.75
608,Romania,threshold Above $30 per day,1940414.879999999
609,Iran,threshold Above $30 per day,8592679.329999998
610,Paraguay,threshold Above $30 per day,774969.9199999999
611,Poland,threshold Above $30 per day,4295290.799999997
612,Azerbaijan,threshold Above $30 per day,1187470.0999999996
613,Bulgaria,threshold Above $30 per day,1040377.2000000002
614,Russia,threshold Above $30 per day,22194265.769999996
615,Seychelles,threshold Above $30 per day,14753.289999999994
616,Turkey,threshold Above $30 per day,12800400.829999998
617,Brazil,threshold Above $30 per day,33328503.319999993
618,Saint Lucia,threshold Above $30 per day,30127.140000000014
619,Croatia,threshold Above $30 per day,805986.98
620,Argentina (Urban),threshold Above $30 per day,8148359.809999999
621,Greece,threshold Above $30 per day,2171094.369999999
622,Lebanon,threshold Above $30 per day,1409284.5599999996
623,Bosnia and Herzegovina,threshold Above $30 per day,723045.7000000002
624,Chile,threshold Above $30 per day,4028478.4700000007
625,Costa Rica,threshold Above $30 per day,1096004.9500000002
626,Hungary,threshold Above $30 per day,2238661.5
627,Panama,threshold Above $30 per day,978113.7599999998
628,Trinidad and Tobago,threshold Above $30 per day,332391.6699999999
629,Slovakia,threshold Above $30 per day,1325661.5899999999
630,Latvia,threshold Above $30 per day,583412.0700000001
631,Uruguay,threshold Above $30 per day,1052783.85
632,Portugal,threshold Above $30 per day,3287042.04
633,Malaysia,threshold Above $30 per day,10191609.079999998
634,Lithuania,threshold Above $30 per day,935878.3899999999
635,Czechia,threshold Above $30 per day,4334091.35
636,Estonia,threshold Above $30 per day,633462.91
637,Israel,threshold Above $30 per day,4378631.91
638,Spain,threshold Above $30 per day,25615912.8
639,Slovenia,threshold Above $30 per day,1216594.2
640,Italy,threshold Above $30 per day,37245204.16
641,Cyprus,threshold Above $30 per day,752723.49
642,South Korea,threshold Above $30 per day,34285000.11
643,Taiwan,threshold Above $30 per day,16192845.99
644,United Kingdom,threshold Above $30 per day,45674521.980000004
645,Japan,threshold Above $30 per day,89100696.7
646,Malta,threshold Above $30 per day,331429.31
647,United States,threshold Above $30 per day,251869999.95
648,France,threshold Above $30 per day,52248193.5
649,Ireland,threshold Above $30 per day,3773656.32
650,Germany,threshold Above $30 per day,64901715.9
651,Belgium,threshold Above $30 per day,9017658.78
652,Canada,threshold Above $30 per day,29512239.87
653,Australia,threshold Above $30 per day,19930544.93
654,Finland,threshold Above $30 per day,4528413.4399999995
655,Austria,threshold Above $30 per day,7285162.35
656,Netherlands,threshold Above $30 per day,14284496.03
657,Sweden,threshold Above $30 per day,8452484.370000001
658,Denmark,threshold Above $30 per day,4951153.92
659,Luxembourg,threshold Above $30 per day,518368.71
660,Switzerland,threshold Above $30 per day,7477176.35
661,Iceland,threshold Above $30 per day,309395.11
662,Norway,threshold Above $30 per day,4888535.66
663,United Arab Emirates,threshold Above $30 per day,8888608.78
664,Guinea-Bissau,share below $1.90 per day,0.6421171011505646
665,Mali,share below $1.90 per day,0.4457955999640025
666,Somalia,share below $1.90 per day,0.686157499983378
667,Madagascar,share below $1.90 per day,0.7781182998090771
668,Burundi,share below $1.90 per day,0.7828140004123018
669,Niger,share below $1.90 per day,0.4267888998999744
670,Democratic Republic of Congo,share below $1.90 per day,0.7265273999737882
671,South Sudan,share below $1.90 per day,0.7820812997519238
672,Timor,share below $1.90 per day,0.21575599974582974
673,Nigeria,share below $1.90 per day,0.4136096999962452
674,Yemen,share below $1.90 per day,0.5342581998281936
675,Togo,share below $1.90 per day,0.4790358999672013
676,Sierra Leone,share below $1.90 per day,0.4399224002998759
677,Liberia,share below $1.90 per day,0.4454531001048865
678,Malawi,share below $1.90 per day,0.6869706999217895
679,Burkina Faso,share below $1.90 per day,0.38426979979038506
680,Guinea,share below $1.90 per day,0.24330179997760934
681,Chad,share below $1.90 per day,0.4084709997281041
682,Ethiopia,share below $1.90 per day,0.2466075000133459
683,Benin,share below $1.90 per day,0.47728800029064344
684,Papua New Guinea,share below $1.90 per day,0.26994150055658733
685,Senegal,share below $1.90 per day,0.3058825000822017
686,Tanzania,share below $1.90 per day,0.49126889999408385
687,Kenya,share below $1.90 per day,0.3510920000295491
688,Solomon Islands,share below $1.90 per day,0.22755599508205487
689,Uzbekistan,share below $1.90 per day,0.1269589000450776
690,Rwanda,share below $1.90 per day,0.5631575001187303
691,Uganda,share below $1.90 per day,0.4135451999776981
692,Bangladesh,share below $1.90 per day,0.11351679999084115
693,Syria,share below $1.90 per day,0.2539816001896414
694,Nepal,share below $1.90 per day,0.05967394000186194
695,Kyrgyzstan,share below $1.90 per day,0.010826180181342971
696,Mauritania,share below $1.90 per day,0.057692661002471876
697,Cote d'Ivoire,share below $1.90 per day,0.25494389987768373
698,Iraq,share below $1.90 per day,0.01235823999293155
699,Congo,share below $1.90 per day,0.4826300007317977
700,Angola,share below $1.90 per day,0.450692600011242
701,Central African Republic,share below $1.90 per day,0.7237329994508301
702,Vanuatu,share below $1.90 per day,0.14784508423522819
703,Sudan,share below $1.90 per day,0.10220099988738991
704,Micronesia (country),share below $1.90 per day,0.15392915780690658
705,India,share below $1.90 per day,0.10553809999692716
706,Pakistan,share below $1.90 per day,0.040171130000600394
707,Gambia,share below $1.90 per day,0.10108329938109051
708,Myanmar,share below $1.90 per day,0.013640259919242196
709,Lesotho,share below $1.90 per day,0.2719775013244641
710,Egypt,share below $1.90 per day,0.029664740038667356
711,Kiribati,share below $1.90 per day,0.11165393577322659
712,Zimbabwe,share below $1.90 per day,0.3386269003202628
713,Zambia,share below $1.90 per day,0.5840130000033228
714,Haiti,share below $1.90 per day,0.20553670037949928
715,Mozambique,share below $1.90 per day,0.6221239999697022
716,Laos,share below $1.90 per day,0.10719719949633505
717,Moldova,share below $1.90 per day,0.000612444005026209
718,Tajikistan,share below $1.90 per day,0.027957669746003163
719,Albania,share below $1.90 per day,0.01266546880638896
720,Djibouti,share below $1.90 per day,0.17006989747875484
721,Cameroon,share below $1.90 per day,0.23658880011007064
722,Philippines,share below $1.90 per day,0.05613049995291579
723,Indonesia,share below $1.90 per day,0.044551870003374995
724,Algeria,share below $1.90 per day,0.0032931590025010874
725,Kosovo,share below $1.90 per day,0.00440241026955287
726,Sao Tome and Principe,share below $1.90 per day,0.35638541882958535
727,Comoros,share below $1.90 per day,0.18643720542774717
728,Bhutan,share below $1.90 per day,0.015426077835958625
729,Armenia,share below $1.90 per day,0.008807932874424114
730,Ghana,share below $1.90 per day,0.12344339988869381
731,Mongolia,share below $1.90 per day,0.0051997428205405715
732,Georgia,share below $1.90 per day,0.04976110004173815
733,Eswatini,share below $1.90 per day,0.28608240209183705
734,Nauru,share below $1.90 per day,0.006567256912084499
735,Palestine,share below $1.90 per day,0.008927571464968724
736,Kazakhstan,share below $1.90 per day,0.00019417360543783226
737,Gabon,share below $1.90 per day,0.033852407688213466
738,Sri Lanka,share below $1.90 per day,0.00821694786420444
739,North Macedonia,share below $1.90 per day,0.045550620654410484
740,Vietnam,share below $1.90 per day,0.01796028002769908
741,Tuvalu,share below $1.90 per day,0.007350923482849604
742,Ukraine,share below $1.90 per day,0.0002294180149576851
743,Tunisia,share below $1.90 per day,0.0024618446079627985
744,El Salvador,share below $1.90 per day,0.019047749870775794
745,Turkmenistan,share below $1.90 per day,0.023416889717001795
746,Fiji,share below $1.90 per day,0.002117443664034445
747,Honduras,share below $1.90 per day,0.15435280023476478
748,Guatemala,share below $1.90 per day,0.07409487028931554
749,Botswana,share below $1.90 per day,0.13984740114859545
750,Samoa,share below $1.90 per day,0.005589909496703386
751,Cape Verde,share below $1.90 per day,0.02801913313004538
752,Serbia,share below $1.90 per day,0.0540521400660717
753,Jordan,share below $1.90 per day,0.001041225060646744
754,Tonga,share below $1.90 per day,0.005839820388635071
755,Morocco,share below $1.90 per day,0.0070250758727324536
756,Belize,share below $1.90 per day,0.13661150866622845
757,Nicaragua,share below $1.90 per day,0.02151675958185425
758,Jamaica,share below $1.90 per day,0.018364371640750148
759,Guyana,share below $1.90 per day,0.06359506514916392
760,China,share below $1.90 per day,0.0035287119976630038
761,Mauritius,share below $1.90 per day,0.0020992904548664294
762,Peru,share below $1.90 per day,0.0342333199562388
763,Namibia,share below $1.90 per day,0.14774040072371508
764,Mexico,share below $1.90 per day,0.019279879972421914
765,Bolivia,share below $1.90 per day,0.06546305973436266
766,Dominican Republic,share below $1.90 per day,0.0069195542222388355
767,Ecuador,share below $1.90 per day,0.032234149745126124
768,Colombia,share below $1.90 per day,0.0402763699266757
769,South Africa,share below $1.90 per day,0.1904909999747195
770,Thailand,share below $1.90 per day,0.00029847583273469514
771,Montenegro,share below $1.90 per day,0.024089525091866133
772,Maldives,share below $1.90 per day,0.0
773,Belarus,share below $1.90 per day,0.0
774,Romania,share below $1.90 per day,0.030722559884496525
775,Iran,share below $1.90 per day,0.003559101995636733
776,Paraguay,share below $1.90 per day,0.008876266152832173
777,Poland,share below $1.90 per day,0.0
778,Azerbaijan,share below $1.90 per day,0.0
779,Bulgaria,share below $1.90 per day,0.013717660689092217
780,Russia,share below $1.90 per day,0.00043294229336938674
781,Seychelles,share below $1.90 per day,0.005968093653161942
782,Turkey,share below $1.90 per day,0.0013864729567591345
783,Brazil,share below $1.90 per day,0.044184370012406694
784,Saint Lucia,share below $1.90 per day,0.04479903843497002
785,Croatia,share below $1.90 per day,0.005297635052324737
786,Argentina (Urban),share below $1.90 per day,0.0092849040330285
787,Greece,share below $1.90 per day,0.008870736169810368
788,Lebanon,share below $1.90 per day,0.0
789,Bosnia and Herzegovina,share below $1.90 per day,0.0005898654553581099
790,Chile,share below $1.90 per day,0.0028759121534685777
791,Costa Rica,share below $1.90 per day,0.010579409424814857
792,Hungary,share below $1.90 per day,0.005919386111476072
793,Panama,share below $1.90 per day,0.02523110005403272
794,Trinidad and Tobago,share below $1.90 per day,0.0027673704836164593
795,Slovakia,share below $1.90 per day,0.007472235050830706
796,Latvia,share below $1.90 per day,0.007520543205605051
797,Uruguay,share below $1.90 per day,0.0005414756131414176
798,Portugal,share below $1.90 per day,0.00410496004970729
799,Malaysia,share below $1.90 per day,9.132960754769293e-05
800,Lithuania,share below $1.90 per day,0.010225070472630668
801,Czechia,share below $1.90 per day,0.0
802,Estonia,share below $1.90 per day,0.002687060113072574
803,Israel,share below $1.90 per day,0.0024139464955872055
804,Spain,share below $1.90 per day,0.006877568022963677
805,Slovenia,share below $1.90 per day,0.0
806,Italy,share below $1.90 per day,0.014180869990801778
807,Cyprus,share below $1.90 per day,0.00032829241828292413
808,South Korea,share below $1.90 per day,0.0022666510597707315
809,Taiwan,share below $1.90 per day,0.0
810,United Kingdom,share below $1.90 per day,0.0029805540540747155
811,Japan,share below $1.90 per day,0.007278879037215817
812,Malta,share below $1.90 per day,0.001598870937758414
813,United States,share below $1.90 per day,0.012499230004200279
814,France,share below $1.90 per day,0.0001362595471050438
815,Ireland,share below $1.90 per day,0.0024319609734017723
816,Germany,share below $1.90 per day,0.0
817,Belgium,share below $1.90 per day,0.0014786862740719733
818,Canada,share below $1.90 per day,0.002470106096815886
819,Australia,share below $1.90 per day,0.004984838138254587
820,Finland,share below $1.90 per day,0.0006577776389951444
821,Austria,share below $1.90 per day,0.0031808957159287013
822,Netherlands,share below $1.90 per day,0.0018876622060584325
823,Sweden,share below $1.90 per day,0.0024834997034112577
824,Denmark,share below $1.90 per day,0.0014090525899482739
825,Luxembourg,share below $1.90 per day,0.0028313065117651793
826,Switzerland,share below $1.90 per day,0.0
827,Iceland,share below $1.90 per day,0.0
828,Norway,share below $1.90 per day,0.0025149403975919505
829,United Arab Emirates,share below $1.90 per day,0.0
830,Guinea-Bissau,share $1.90 - $10 per day,0.32387879852046825
831,Mali,share $1.90 - $10 per day,0.5467995997708347
832,Somalia,share $1.90 - $10 per day,0.31018110003763766
833,Madagascar,share $1.90 - $10 per day,0.21665300028861342
834,Burundi,share $1.90 - $10 per day,0.21377299985665485
835,Niger,share $1.90 - $10 per day,0.5621765999742993
836,Democratic Republic of Congo,share $1.90 - $10 per day,0.26832650001909114
837,South Sudan,share $1.90 - $10 per day,0.2141015001797766
838,Timor,share $1.90 - $10 per day,0.7717153035444689
839,Nigeria,share $1.90 - $10 per day,0.5722025000132155
840,Yemen,share $1.90 - $10 per day,0.45636180020701406
841,Togo,share $1.90 - $10 per day,0.4989941995005504
842,Sierra Leone,share $1.90 - $10 per day,0.5431120991833936
843,Liberia,share $1.90 - $10 per day,0.5455414007997911
844,Malawi,share $1.90 - $10 per day,0.3041621000483297
845,Burkina Faso,share $1.90 - $10 per day,0.5941040001283782
846,Guinea,share $1.90 - $10 per day,0.7346935999129567
847,Chad,share $1.90 - $10 per day,0.5622561005616853
848,Ethiopia,share $1.90 - $10 per day,0.7250011999997293
849,Benin,share $1.90 - $10 per day,0.48761409993052485
850,Papua New Guinea,share $1.90 - $10 per day,0.6709183993086537
851,Senegal,share $1.90 - $10 per day,0.6459878000290674
852,Tanzania,share $1.90 - $10 per day,0.4876848999776928
853,Kenya,share $1.90 - $10 per day,0.6125026999905001
854,Solomon Islands,share $1.90 - $10 per day,0.7339085086111207
855,Uzbekistan,share $1.90 - $10 per day,0.8166663999061398
856,Rwanda,share $1.90 - $10 per day,0.4180856998079533
857,Uganda,share $1.90 - $10 per day,0.5508287999759004
858,Bangladesh,share $1.90 - $10 per day,0.8498774000294469
859,Syria,share $1.90 - $10 per day,0.7062020996950904
860,Nepal,share $1.90 - $10 per day,0.8681290600498265
861,Kyrgyzstan,share $1.90 - $10 per day,0.9125882191604013
862,Mauritania,share $1.90 - $10 per day,0.8382640393370904
863,Cote d'Ivoire,share $1.90 - $10 per day,0.687205100086265
864,Iraq,share $1.90 - $10 per day,0.849080559972376
865,Congo,share $1.90 - $10 per day,0.4799887001824799
866,Angola,share $1.90 - $10 per day,0.5113569001555771
867,Central African Republic,share $1.90 - $10 per day,0.25539570037432324
868,Vanuatu,share $1.90 - $10 per day,0.7849737312178207
869,Sudan,share $1.90 - $10 per day,0.8432709000740836
870,Micronesia (country),share $1.90 - $10 per day,0.7518396002117371
871,India,share $1.90 - $10 per day,0.8423130000034699
872,Pakistan,share $1.90 - $10 per day,0.9009664699994304
873,Gambia,share $1.90 - $10 per day,0.8327677025187294
874,Myanmar,share $1.90 - $10 per day,0.8714671400020917
875,Lesotho,share $1.90 - $10 per day,0.641028300497463
876,Egypt,share $1.90 - $10 per day,0.8994092599729251
877,Kiribati,share $1.90 - $10 per day,0.802101123004958
878,Zimbabwe,share $1.90 - $10 per day,0.6033470993545225
879,Zambia,share $1.90 - $10 per day,0.3714880001338579
880,Haiti,share $1.90 - $10 per day,0.721031299630699
881,Mozambique,share $1.90 - $10 per day,0.34610300000973865
882,Laos,share $1.90 - $10 per day,0.8110223003335953
883,Moldova,share $1.90 - $10 per day,0.6623420544302723
884,Tajikistan,share $1.90 - $10 per day,0.7782060304936743
885,Albania,share $1.90 - $10 per day,0.6927048325414301
886,Djibouti,share $1.90 - $10 per day,0.7399418068270527
887,Cameroon,share $1.90 - $10 per day,0.6461600998451318
888,Philippines,share $1.90 - $10 per day,0.8015993000844778
889,Indonesia,share $1.90 - $10 per day,0.7976857299795697
890,Algeria,share $1.90 - $10 per day,0.686567341072905
891,Kosovo,share $1.90 - $10 per day,0.7368997874375419
892,Sao Tome and Principe,share $1.90 - $10 per day,0.5915109928581431
893,Comoros,share $1.90 - $10 per day,0.6814522934246804
894,Bhutan,share $1.90 - $10 per day,0.6946542233572257
895,Armenia,share $1.90 - $10 per day,0.8116406666782123
896,Ghana,share $1.90 - $10 per day,0.690726099996803
897,Mongolia,share $1.90 - $10 per day,0.6954498569102046
898,Georgia,share $1.90 - $10 per day,0.7211323002872315
899,Eswatini,share $1.90 - $10 per day,0.565596001966654
900,Nauru,share $1.90 - $10 per day,0.7136113699906804
901,Palestine,share $1.90 - $10 per day,0.5643906276481238
902,Kazakhstan,share $1.90 - $10 per day,0.4958515262635482
903,Gabon,share $1.90 - $10 per day,0.6149237924994055
904,Sri Lanka,share $1.90 - $10 per day,0.7605356519306099
905,North Macedonia,share $1.90 - $10 per day,0.42048378094866656
906,Vietnam,share $1.90 - $10 per day,0.6071894200007649
907,Tuvalu,share $1.90 - $10 per day,0.7309375549692173
908,Ukraine,share $1.90 - $10 per day,0.36892318206978253
909,Tunisia,share $1.90 - $10 per day,0.5527719550445128
910,El Salvador,share $1.90 - $10 per day,0.6216059508569185
911,Turkmenistan,share $1.90 - $10 per day,0.6593832104624284
912,Fiji,share $1.90 - $10 per day,0.6514638518722813
913,Honduras,share $1.90 - $10 per day,0.5998849996282749
914,Guatemala,share $1.90 - $10 per day,0.6659893296736618
915,Botswana,share $1.90 - $10 per day,0.6368996992464837
916,Samoa,share $1.90 - $10 per day,0.6546037921290798
917,Cape Verde,share $1.90 - $10 per day,0.6630647612916909
918,Serbia,share $1.90 - $10 per day,0.4074327596427674
919,Jordan,share $1.90 - $10 per day,0.5708817749721781
920,Tonga,share $1.90 - $10 per day,0.6193469479793722
921,Morocco,share $1.90 - $10 per day,0.633565824222132
922,Belize,share $1.90 - $10 per day,0.6110413046313028
923,Nicaragua,share $1.90 - $10 per day,0.6036007411288119
924,Jamaica,share $1.90 - $10 per day,0.6075881292211557
925,Guyana,share $1.90 - $10 per day,0.5186026307336876
926,China,share $1.90 - $10 per day,0.513611588003419
927,Mauritius,share $1.90 - $10 per day,0.4618429116259282
928,Peru,share $1.90 - $10 per day,0.48146298007552846
929,Namibia,share $1.90 - $10 per day,0.5744964981730232
930,Mexico,share $1.90 - $10 per day,0.5442447200582695
931,Bolivia,share $1.90 - $10 per day,0.44341113982188995
932,Dominican Republic,share $1.90 - $10 per day,0.4627233456902611
933,Ecuador,share $1.90 - $10 per day,0.47486984998416176
934,Colombia,share $1.90 - $10 per day,0.514781130154494
935,South Africa,share $1.90 - $10 per day,0.5423890000449295
936,Thailand,share $1.90 - $10 per day,0.3815293241896263
937,Montenegro,share $1.90 - $10 per day,0.3339691792542414
938,Maldives,share $1.90 - $10 per day,0.21744060257613787
939,Belarus,share $1.90 - $10 per day,0.1149728002927693
940,Romania,share $1.90 - $10 per day,0.29073263989045955
941,Iran,share $1.90 - $10 per day,0.4014148979761757
942,Paraguay,share $1.90 - $10 per day,0.42731383377636606
943,Poland,share $1.90 - $10 per day,0.18452909988316998
944,Azerbaijan,share $1.90 - $10 per day,0.043573609911799566
945,Bulgaria,share $1.90 - $10 per day,0.22008133893597565
946,Russia,share $1.90 - $10 per day,0.2427878577053019
947,Seychelles,share $1.90 - $10 per day,0.1876530367371639
948,Turkey,share $1.90 - $10 per day,0.30224382706139585
949,Brazil,share $1.90 - $10 per day,0.3706424300093857
950,Saint Lucia,share $1.90 - $10 per day,0.3586896742283993
951,Croatia,share $1.90 - $10 per day,0.1314289648932206
952,Argentina (Urban),share $1.90 - $10 per day,0.2729657958686856
953,Greece,share $1.90 - $10 per day,0.159630563590043
954,Lebanon,share $1.90 - $10 per day,0.12162630013800904
955,Bosnia and Herzegovina,share $1.90 - $10 per day,0.13938603508191938
956,Chile,share $1.90 - $10 per day,0.19260878802068537
957,Costa Rica,share $1.90 - $10 per day,0.28984979052330584
958,Hungary,share $1.90 - $10 per day,0.08417428401365513
959,Panama,share $1.90 - $10 per day,0.2756978000477748
960,Trinidad and Tobago,share $1.90 - $10 per day,0.21486013010883828
961,Slovakia,share $1.90 - $10 per day,0.06302035471184167
962,Latvia,share $1.90 - $10 per day,0.10188255567775073
963,Uruguay,share $1.90 - $10 per day,0.15132912438464713
964,Portugal,share $1.90 - $10 per day,0.07633572031882567
965,Malaysia,share $1.90 - $10 per day,0.13806307038206173
966,Lithuania,share $1.90 - $10 per day,0.09700632830611479
967,Czechia,share $1.90 - $10 per day,0.017204609626296365
968,Estonia,share $1.90 - $10 per day,0.03541473101236997
969,Israel,share $1.90 - $10 per day,0.10234795312912445
970,Spain,share $1.90 - $10 per day,0.05880365188629526
971,Slovenia,share $1.90 - $10 per day,0.008023715778450126
972,Italy,share $1.90 - $10 per day,0.0435459800102447
973,Cyprus,share $1.90 - $10 per day,0.0073977010714770105
974,South Korea,share $1.90 - $10 per day,0.02521255897195881
975,Taiwan,share $1.90 - $10 per day,0.007459849858634785
976,United Kingdom,share $1.90 - $10 per day,0.019141365884021704
977,Japan,share $1.90 - $10 per day,0.019453640931089467
978,Malta,share $1.90 - $10 per day,0.007931704982275604
979,United States,share $1.90 - $10 per day,0.017441289995368068
980,France,share $1.90 - $10 per day,0.0037750785063000434
981,Ireland,share $1.90 - $10 per day,0.004787429265122767
982,Germany,share $1.90 - $10 per day,0.012445390046931536
983,Belgium,share $1.90 - $10 per day,0.005306847605984902
984,Canada,share $1.90 - $10 per day,0.012528033782151326
985,Australia,share $1.90 - $10 per day,0.009797041768386618
986,Finland,share $1.90 - $10 per day,0.0034018431382658696
987,Austria,share $1.90 - $10 per day,0.009373174352997182
988,Netherlands,share $1.90 - $10 per day,0.008455697689188255
989,Sweden,share $1.90 - $10 per day,0.00977445037621929
990,Denmark,share $1.90 - $10 per day,0.0018563689726590552
991,Luxembourg,share $1.90 - $10 per day,0.01394183815835368
992,Switzerland,share $1.90 - $10 per day,0.0038213797232318643
993,Iceland,share $1.90 - $10 per day,0.002311094933022714
994,Norway,share $1.90 - $10 per day,0.007060527939528912
995,United Arab Emirates,share $1.90 - $10 per day,0.008179152485722083
996,Guinea-Bissau,share $10 - $30 per day,0.03400410032896714
997,Mali,share $10 - $30 per day,0.007403400122101789
998,Somalia,share $10 - $30 per day,0.0036015999321137846
999,Madagascar,share $10 - $30 per day,0.005167400062728472
1000,Burundi,share $10 - $30 per day,0.003253000085711505
1001,Niger,share $10 - $30 per day,0.010845400007924985
1002,Democratic Republic of Congo,share $10 - $30 per day,0.004921500036536313
1003,South Sudan,share $10 - $30 per day,0.003531600322214187
1004,Timor,share $10 - $30 per day,0.012183499683493667
1005,Nigeria,share $10 - $30 per day,0.013838199988053919
1006,Yemen,share $10 - $30 per day,0.00878800010964684
1007,Togo,share $10 - $30 per day,0.02133000107164087
1008,Sierra Leone,share $10 - $30 per day,0.016284900001081744
1009,Liberia,share $10 - $30 per day,0.008282399322193745
1010,Malawi,share $10 - $30 per day,0.008080200291337087
1011,Burkina Faso,share $10 - $30 per day,0.020704199969114188
1012,Guinea,share $10 - $30 per day,0.021014900386897357
1013,Chad,share $10 - $30 per day,0.028268899716337215
1014,Ethiopia,share $10 - $30 per day,0.027134799988391026
1015,Benin,share $10 - $30 per day,0.033791299917209555
1016,Papua New Guinea,share $10 - $30 per day,0.05778340060220233
1017,Senegal,share $10 - $30 per day,0.04673239995820842
1018,Tanzania,share $10 - $30 per day,0.01956010004114962
