"entity","year","public_health_expenditure_pc_gdp"
"Japan",2018,9.153
"Japan",2019,9.261
"Japan",1969,2.65240566037736
"Japan",1968,2.70028301886792
"Japan",1967,2.70028301886792
"Japan",1966,2.62367924528302
"Japan",1965,2.62367924528302
"Japan",1964,2.36514150943396
"Japan",1963,2.2502358490566
"Japan",1962,2.09702830188679
"Japan",1961,1.98212264150943
"Japan",1960,1.73316037735849
"Latvia",2000,2.761
"Latvia",2001,2.816
"Latvia",2002,2.861
"Latvia",2003,2.736
"Latvia",2004,3.492
"Latvia",2005,3.257
"Latvia",2006,3.519
"Latvia",2007,3.361
"Latvia",2008,3.378
"Latvia",2009,3.65
"Latvia",2010,3.683
"Latvia",2011,3.519
"Latvia",2012,3.247
"Latvia",2013,3.221
"Latvia",2014,3.262
"Latvia",2015,3.317
"Latvia",2016,3.428
"Latvia",2017,3.423
"Latvia",2018,3.707
"Latvia",2019,4.001
"Lithuania",2000,4.247
"Lithuania",2001,4.304
"Lithuania",2002,4.543
"Lithuania",2003,4.663
"Lithuania",2004,3.668
"Lithuania",2005,3.768
"Lithuania",2006,3.951
"Lithuania",2007,4.098
"Lithuania",2008,4.484
"Lithuania",2009,5.337
"Lithuania",2010,4.887
"Lithuania",2011,4.606
"Lithuania",2012,4.225
"Lithuania",2013,4.058
"Lithuania",2014,4.184
"Lithuania",2015,4.358
"Lithuania",2016,4.42
"Lithuania",2017,4.275
"Lithuania",2018,4.389
"Lithuania",2019,4.651
"Lithuania",2020,5.022
"Luxembourg",1976,3.557
"Luxembourg",1977,3.852
"Luxembourg",1978,4.099
"Luxembourg",1979,4.193
"Luxembourg",1980,4.282
"Luxembourg",1981,4.396
"Luxembourg",1982,4.287
"Luxembourg",1983,4.022
"Luxembourg",1984,3.94
"Luxembourg",1985,3.998
"Luxembourg",1986,3.991
"Luxembourg",1987,4.531
"Luxembourg",1988,4.713
"Luxembourg",1989,4.589
"Luxembourg",1990,4.773
"Luxembourg",1991,4.574
"Luxembourg",1992,4.792
"Luxembourg",1993,4.857
"Luxembourg",1994,4.672
"Luxembourg",1995,4.928
"Luxembourg",1996,4.957
"Luxembourg",1997,4.855
"Luxembourg",1998,5.016
"Luxembourg",1999,4.96
"Luxembourg",2000,4.837
"Luxembourg",2001,5.304
"Luxembourg",2002,5.595
"Luxembourg",2003,5.778
"Luxembourg",2004,6.122
"Luxembourg",2005,5.977
"Luxembourg",2006,5.555
"Luxembourg",2007,5.249
"Luxembourg",2008,5.709
"Luxembourg",2009,6.294
"Luxembourg",2010,5.97
"Luxembourg",2011,5.083
"Luxembourg",2012,4.626
"Luxembourg",2013,4.593
"Luxembourg",2014,4.539
"Luxembourg",2015,4.42
"Luxembourg",2016,4.343
"Luxembourg",2017,4.414
"Luxembourg",2018,4.444
"Luxembourg",2019,4.563
"Luxembourg",1975,3.51634857142857
"Malta",2003,5.509
"Malta",2004,5.604
"Malta",2005,5.986
"Malta",2006,6.027
"Malta",2007,5.451
"Malta",2008,5.092
"Malta",2009,5.144
"Malta",2010,5.129
"Malta",2011,5.447
"Malta",2012,5.496
"Malta",2013,5.739
"Malta",2014,5.571
"Malta",2015,5.389
"Malta",2016,5.625
"Malta",2017,5.691
"Malta",2018,5.596
"Mexico",1999,2.058
"Mexico",2000,2.012
"Mexico",2001,2.109
"Mexico",2002,2.165
"Mexico",2003,2.414
"Mexico",2004,2.587
"Mexico",2005,2.465
"Mexico",2006,2.422
"Mexico",2007,2.527
"Mexico",2008,2.617
"Mexico",2009,2.861
"Mexico",2010,2.881
"Mexico",2011,2.914
"Mexico",2012,3.007
"Mexico",2013,3.123
"Mexico",2014,2.892
"Mexico",2015,2.987
"Mexico",2016,2.848
"Mexico",2017,2.758
"Mexico",2018,2.672
"Mexico",2019,2.679
"Mexico",2020,3.146
"Netherlands",1972,3.829
"Netherlands",1973,3.913
"Netherlands",1974,4.01
"Netherlands",1975,4.447
"Netherlands",1976,4.414
"Netherlands",1977,4.527
"Netherlands",1978,4.615
"Netherlands",1979,4.676
"Netherlands",1980,4.768
"Netherlands",1981,4.863
"Netherlands",1982,5.073
"Netherlands",1983,5.029
"Netherlands",1984,4.833
"Netherlands",1985,4.794
"Netherlands",1986,4.687
"Netherlands",1987,4.798
"Netherlands",1988,4.707
"Netherlands",1989,4.917
"Netherlands",1990,4.978
"Netherlands",1991,5.219
"Netherlands",1992,5.632
"Netherlands",1993,5.78
"Netherlands",1994,5.624
"Netherlands",1995,5.48
"Netherlands",1996,5.042
"Netherlands",1997,4.999
"Netherlands",1998,5.398
"Netherlands",1999,5.364
"Netherlands",2000,5.321
"Netherlands",2001,5.612
"Netherlands",2002,6.053
"Netherlands",2003,6.354
"Netherlands",2004,6.25
"Netherlands",2005,6.224
"Netherlands",2006,7.605
"Netherlands",2007,7.611
"Netherlands",2008,7.669
"Netherlands",2009,8.312
"Netherlands",2010,8.467
"Netherlands",2011,8.459
"Netherlands",2012,8.654
"Netherlands",2013,8.588
"Netherlands",2014,8.568
"Netherlands",2015,8.402
"Netherlands",2016,8.358
"Netherlands",2017,8.257
"Netherlands",2018,8.237
"Netherlands",2019,8.401
"Netherlands",2020,9.485
"Netherlands",1971,3.97502118644068
"Netherlands",1970,4.08859322033898
"Netherlands",1969,3.7154279661017
"Netherlands",1968,3.35848728813559
"Netherlands",1967,3.07455720338983
"Netherlands",1966,2.7500656779661
"Netherlands",1965,2.44179872881356
"Netherlands",1964,2.22276694915254
"Netherlands",1963,2.13353177966102
"Netherlands",1962,1.70358050847458
"Netherlands",1961,1.35475211864407
"Netherlands",1960,1.05459745762712
"New Zealand",1970,4.075
"New Zealand",1971,3.822
"New Zealand",1972,3.976
"New Zealand",1973,3.967
"New Zealand",1974,4.431
"New Zealand",1975,4.812
"New Zealand",1976,4.533
"New Zealand",1977,4.833
"New Zealand",1978,5.206
"New Zealand",1979,5.301
"New Zealand",1980,5.05
"New Zealand",1981,5.387
"New Zealand",1982,5.108
"New Zealand",1983,5.007
"New Zealand",1984,4.673
"New Zealand",1985,4.294
"New Zealand",1986,4.347
"New Zealand",1987,4.859
"New Zealand",1988,5.248
"New Zealand",1989,5.386
"New Zealand",1990,5.495
"New Zealand",1991,5.84
"New Zealand",1992,5.713
"New Zealand",1993,5.307
"New Zealand",1994,5.375
"New Zealand",1995,5.362
"New Zealand",1996,5.284
"New Zealand",1997,5.486
"New Zealand",1998,5.788
"New Zealand",1999,5.732
"New Zealand",2000,5.828
"New Zealand",2001,5.792
"New Zealand",2002,6.154
"New Zealand",2003,6.049
"New Zealand",2004,6.292
"New Zealand",2005,6.592
"New Zealand",2006,6.917
"New Zealand",2007,6.863
"New Zealand",2008,7.377
"New Zealand",2009,7.799
"New Zealand",2010,7.787
"New Zealand",2011,7.7
"New Zealand",2012,7.769
"New Zealand",2013,7.493
"New Zealand",2014,7.48
"New Zealand",2015,7.333
"New Zealand",2016,7.267
"New Zealand",2017,7.036
"New Zealand",2018,7.149
"New Zealand",2019,7.224
"New Zealand",1969,3.81365795724466
"New Zealand",1968,3.80397862232779
"New Zealand",1967,3.7749406175772
"New Zealand",1966,3.7749406175772
"New Zealand",1965,3.58135391923991
"New Zealand",1964,3.49423990498812
"New Zealand",1963,3.48456057007126
"New Zealand",1962,3.56199524940618
"New Zealand",1961,3.56199524940618
"New Zealand",1960,3.38776722090261
"Norway",1970,3.625
"Norway",1971,3.79
"Norway",1972,4.397
"Norway",1973,4.5
"Norway",1974,4.513
"Norway",1975,4.975
"Norway",1976,5.168
"Norway",1977,5.442
"Norway",1978,5.604
"Norway",1979,5.282
"Norway",1980,5.312
"Norway",1981,5.346
"Norway",1982,5.469
"Norway",1983,5.627
"Norway",1984,5.327
"Norway",1985,5.275
"Norway",1986,5.691
"Norway",1987,5.992
"Norway",1988,5.888
"Norway",1989,5.632
"Norway",1990,5.858
"Norway",1991,6.174
"Norway",1992,6.342
"Norway",1993,6.225
"Norway",1994,6.155
"Norway",1995,6.098
"Norway",1996,6.018
"Norway",1997,6.244
"Norway",1998,6.855
"Norway",1999,6.882
"Norway",2000,6.299
"Norway",2001,6.642
"Norway",2002,7.46
"Norway",2003,7.664
"Norway",2004,7.323
"Norway",2005,6.917
"Norway",2006,6.595
"Norway",2007,6.739
"Norway",2008,6.698
"Norway",2009,7.662
"Norway",2010,7.541
"Norway",2011,7.42
"Norway",2012,7.44
"Norway",2013,7.592
"Norway",2014,7.97
"Norway",2015,8.664
"Norway",2016,9.043
"Norway",2017,8.781
"Norway",2018,8.591
"Norway",2019,9.029
"Norway",2020,9.755
"Norway",1969,3.24591503267974
"Norway",1968,3.01688453159041
"Norway",1967,2.90631808278867
"Norway",1966,2.81944444444444
"Norway",1965,2.51933551198257
"Norway",1964,2.52723311546841
"Norway",1963,2.44825708061002
"Norway",1962,2.29820261437909
"Norway",1961,2.14814814814815
"Norway",1960,2.02968409586057
"Poland",1990,3.936
"Poland",1991,4.175
"Poland",1992,4.259
"Poland",1993,3.925
"Poland",1994,3.628
"Poland",1995,3.615
"Poland",1996,3.865
"Poland",1997,3.524
"Poland",1998,3.457
"Poland",1999,3.822
"Poland",2000,3.642
"Poland",2001,4.025
"Poland",2002,4.274
"Poland",2003,4.117
"Poland",2004,3.975
"Poland",2005,3.988
"Poland",2006,4.018
"Poland",2007,4.116
"Poland",2008,4.569
"Poland",2009,4.72
"Poland",2010,4.596
"Poland",2011,4.423
"Poland",2012,4.359
"Poland",2013,4.533
"Poland",2014,4.437
"Poland",2015,4.46
"Poland",2016,4.53
"Poland",2017,4.545
"Poland",2018,4.524
"Poland",2019,4.638
"Poland",2020,5.243
"Portugal",1970,1.276
"Portugal",1971,1.419
"Portugal",1972,1.739
"Portugal",1973,1.902
"Portugal",1974,2.128
"Portugal",1975,2.72
"Portugal",1976,2.974
"Portugal",1977,2.801
"Portugal",1978,2.749
"Portugal",1979,2.764
"Portugal",1980,2.989
"Portugal",1981,3.098
"Portugal",1982,2.741
"Portugal",1983,2.42
"Portugal",1984,2.454
"Portugal",1985,2.874
"Portugal",1986,3.053
"Portugal",1987,2.917
"Portugal",1988,3.185
"Portugal",1989,2.903
"Portugal",1990,3.581
"Portugal",1991,3.75
"Portugal",1992,3.627
"Portugal",1993,4.008
"Portugal",1994,3.992
"Portugal",1995,4.426
"Portugal",1996,4.776
"Portugal",1997,4.776
"Portugal",1998,4.875
"Portugal",1999,5.069
"Portugal",2000,6.002
"Portugal",2001,6.058
"Portugal",2002,6.329
"Portugal",2003,6.446
"Portugal",2004,6.73
"Portugal",2005,6.848
"Portugal",2006,5.938
"Portugal",2007,5.806
"Portugal",2008,5.994
"Portugal",2009,6.469
"Portugal",2010,6.678
"Portugal",2011,6.282
"Portugal",2012,5.921
"Portugal",2013,5.863
"Portugal",2014,5.774
"Portugal",2015,5.751
"Portugal",2016,5.793
"Portugal",2017,5.698
"Portugal",2018,5.763
"Portugal",2019,5.812
"Portugal",2020,6.587
"Portugal",1969,1.3514623655914
"Portugal",1968,1.16623655913978
"Portugal",1967,0.912408602150538
"Portugal",1966,0.891827956989247
"Portugal",1965,0.830086021505376
"Portugal",1964,0.65858064516129
"Portugal",1963,0.809505376344086
"Portugal",1962,0.65858064516129
"Portugal",1961,0.651720430107527
"Portugal",1960,0.631139784946237
"Romania",2003,4.537
"Romania",2004,4.075
"Romania",2005,4.444
"Romania",2006,4.029
"Romania",2007,4.107
"Romania",2008,4.09
"Romania",2009,4.156
"Romania",2010,4.608
"Romania",2011,3.538
"Romania",2012,3.641
"Romania",2013,4.123
"Romania",2014,3.967
"Romania",2015,3.86
"Romania",2016,3.919
"Romania",2017,4.051
"Romania",2018,4.433
"Romania",2019,4.621
"Russia",2000,2.975
"Russia",2001,3.039
"Russia",2002,3.215
"Russia",2003,2.993
"Russia",2004,2.791
"Russia",2005,2.91
"Russia",2006,2.935
"Russia",2007,2.939
"Russia",2008,3.063
"Russia",2009,3.494
"Russia",2010,3.044
"Russia",2011,3.004
"Russia",2012,3.145
"Russia",2013,3.17
"Russia",2014,3.202
"Russia",2015,3.11
"Russia",2016,3.012
"Russia",2017,3.059
"Russia",2018,3.161
"Russia",2019,3.429
"Slovakia",1997,5.175
"Slovakia",1998,5.079
"Slovakia",1999,4.947
"Slovakia",2000,4.728
"Slovakia",2001,4.75
"Slovakia",2002,4.903
"Slovakia",2003,4.783
"Slovakia",2004,5.019
"Slovakia",2005,4.96
"Slovakia",2006,4.794
"Slovakia",2007,4.974
"Slovakia",2008,5.243
"Slovakia",2009,5.841
"Slovakia",2010,5.559
"Slovakia",2011,5.421
"Slovakia",2012,5.444
"Slovakia",2013,5.565
"Slovakia",2014,5.529
"Slovakia",2015,5.415
"Slovakia",2016,5.618
"Slovakia",2017,5.413
"Slovakia",2018,5.373
"Slovakia",2019,5.553
"Slovakia",2020,6.347
"Slovenia",2000,5.689
"Slovenia",2001,5.629
"Slovenia",2002,5.885
"Slovenia",2003,5.898
"Slovenia",2004,5.83
"Slovenia",2005,5.876
"Slovenia",2006,5.721
"Slovenia",2007,5.372
"Slovenia",2008,5.777
"Slovenia",2009,6.241
"Slovenia",2010,6.288
"Slovenia",2011,6.268
"Slovenia",2012,6.271
"Slovenia",2013,6.238
"Slovenia",2014,6.046
"Slovenia",2015,6.116
"Slovenia",2016,6.166
"Slovenia",2017,5.909
"Slovenia",2018,6.029
"Slovenia",2019,6.204
"Slovenia",2020,7.304
"South Africa",2000,2.736
"South Africa",2001,2.703
"South Africa",2002,2.302
"South Africa",2003,2.366
"South Africa",2004,2.464
"South Africa",2005,2.411
"South Africa",2006,2.425
"South Africa",2007,2.446
"South Africa",2008,2.554
"South Africa",2009,2.746
"South Africa",2010,3.029
"South Africa",2011,3.187
"South Africa",2012,3.36
"South Africa",2013,3.336
"South Africa",2014,3.408
"South Africa",2015,3.502
"South Africa",2016,3.474
"South Africa",2017,3.471
"South Africa",2018,3.557
"South Korea",1970,0.234
"South Korea",1971,0.285
"South Korea",1972,0.216
"South Korea",1973,0.189
"South Korea",1974,0.171
"South Korea",1975,0.241
"South Korea",1976,0.211
"South Korea",1977,0.279
"South Korea",1978,0.303
"South Korea",1979,0.534
"South Korea",1980,0.693
"South Korea",1981,0.71
"South Korea",1982,0.849
"South Korea",1983,0.949
"South Korea",1984,0.997
"South Korea",1985,1.07
"South Korea",1986,0.963
"South Korea",1987,0.969
"South Korea",1988,1.097
"South Korea",1989,1.279
"South Korea",1990,1.454
"South Korea",1991,1.305
"South Korea",1992,1.371
"South Korea",1993,1.401
"South Korea",1994,1.409
"South Korea",1995,1.422
"South Korea",1996,1.594
"South Korea",1997,1.688
"South Korea",1998,1.915
"South Korea",1999,2.009
"South Korea",2000,2.1
"South Korea",2001,2.595
"South Korea",2002,2.458
"South Korea",2003,2.594
"South Korea",2004,2.595
"South Korea",2005,2.741
"South Korea",2006,3.028
"South Korea",2007,3.117
"South Korea",2008,3.187
"South Korea",2009,3.521
"South Korea",2010,3.605
"South Korea",2011,3.607
"South Korea",2012,3.626
"South Korea",2013,3.694
"South Korea",2014,3.81
"South Korea",2015,3.919
"South Korea",2016,4.082
"South Korea",2017,4.223
"South Korea",2018,4.517
"South Korea",2019,4.979
"South Korea",2020,5.225
"Spain",1970,2.007
"Spain",1971,2.271
"Spain",1972,2.531
"Spain",1973,2.81
"Spain",1974,2.891
"Spain",1975,3.213
"Spain",1976,3.409
"Spain",1977,3.702
"Spain",1978,3.897
"Spain",1979,3.877
"Spain",1980,3.961
"Spain",1981,4.005
"Spain",1982,4.11
"Spain",1983,4.536
"Spain",1984,4.218
"Spain",1985,4.049
"Spain",1986,3.97
"Spain",1987,4.019
"Spain",1988,4.447
"Spain",1989,4.472
"Spain",1990,4.768
"Spain",1991,4.835
"Spain",1992,5.124
"Spain",1993,5.299
"Spain",1994,5.192
"Spain",1995,5.064
"Spain",1996,5.09
"Spain",1997,5.009
"Spain",1998,4.956
"Spain",1999,4.956
"Spain",2000,4.852
"Spain",2001,4.808
"Spain",2002,4.831
"Spain",2003,5.377
"Spain",2004,5.464
"Spain",2005,5.532
"Spain",2006,5.644
"Spain",2007,5.724
"Spain",2008,6.142
"Spain",2009,6.836
"Spain",2010,6.787
"Spain",2011,6.737
"Spain",2012,6.602
"Spain",2013,6.438
"Spain",2014,6.387
"Spain",2015,6.508
"Spain",2016,6.405
"Spain",2017,6.318
"Spain",2018,6.318
"Spain",2019,6.449
"Spain",1969,1.78214937759336
"Spain",1968,1.58228215767635
"Spain",1967,1.52398755186722
"Spain",1966,1.1908755186722
"Spain",1965,1.07428630705394
"Spain",1964,0.916058091286307
"Spain",1963,0.79946887966805
"Spain",1962,0.807796680497925
"Spain",1961,0.707863070539419
"Spain",1960,0.732846473029046
"Sweden",1970,4.547
"Sweden",1971,4.984
"Sweden",1972,5.073
"Sweden",1973,5.031
"Sweden",1974,5.498
"Sweden",1975,5.769
"Sweden",1976,6.021
"Sweden",1977,6.784
"Sweden",1978,6.841
"Sweden",1979,6.757
"Sweden",1980,7.107
"Sweden",1981,7.142
"Sweden",1982,7.197
"Sweden",1983,7.109
"Sweden",1984,6.942
"Sweden",1985,6.484
"Sweden",1986,6.286
"Sweden",1987,6.359
"Sweden",1988,6.256
"Sweden",1989,6.32
"Sweden",1990,5.692
"Sweden",1991,5.558
"Sweden",1992,6.471
"Sweden",1993,6.693
"Sweden",1994,6.348
"Sweden",1995,6.24
"Sweden",1996,6.456
"Sweden",1997,6.202
"Sweden",1998,6.255
"Sweden",1999,6.291
"Sweden",2000,6.267
"Sweden",2001,6.49
"Sweden",2002,6.779
"Sweden",2003,6.914
"Sweden",2004,6.722
"Sweden",2005,6.708
"Sweden",2006,6.632
"Sweden",2007,6.598
"Sweden",2008,6.772
"Sweden",2009,7.237
"Sweden",2010,6.863
"Sweden",2011,8.8
"Sweden",2012,9.041
"Sweden",2013,9.162
"Sweden",2014,9.199
"Sweden",2015,9.071
"Sweden",2016,9.144
"Sweden",2017,9.136
"Sweden",2018,9.276
"Sweden",2019,9.27
"Sweden",2020,9.739
"Sweden",1969,4.29643598055105
"Sweden",1968,4.24484927066451
"Sweden",1967,3.8542641815235
"Sweden",1966,3.60370016207455
"Sweden",1965,3.2647017828201
"Sweden",1964,3.07309400324149
"Sweden",1963,2.9699205834684
"Sweden",1962,2.62355267423015
"Sweden",1961,2.56459643435981
"Sweden",1960,2.50564019448947
"Switzerland",1995,4.782
"Switzerland",1996,5.067
"Switzerland",1997,5.136
"Switzerland",1998,5.215
"Switzerland",1999,5.337
"Switzerland",2000,5.297
"Switzerland",2001,5.604
"Switzerland",2002,6.005
"Switzerland",2003,6.23
"Switzerland",2004,6.271
"Switzerland",2005,6.308
"Switzerland",2006,5.954
"Switzerland",2007,5.846
"Switzerland",2008,6.026
"Switzerland",2009,6.452
"Switzerland",2010,6.391
"Switzerland",2011,6.493
"Switzerland",2012,6.781
"Switzerland",2013,7.006
"Switzerland",2014,7.016
"Switzerland",2015,7.291
"Switzerland",2016,7.398
"Switzerland",2017,7.563
"Switzerland",2018,7.327
"Switzerland",2019,7.539
"Switzerland",1994,4.55793568046908
"Switzerland",1993,4.38717147219171
"Switzerland",1992,4.26400282636503
"Switzerland",1991,4.1843333270396
"Switzerland",1990,4.14544547084035
"Switzerland",1989,3.98989404604334
"Switzerland",1988,4.1221127571208
"Switzerland",1987,3.98989404604334
"Switzerland",1986,4.059892187202
"Switzerland",1985,4.0754473296817
"Switzerland",1984,4.11433518588095
"Switzerland",1983,4.1532230420802
"Switzerland",1982,3.97433890356364
"Switzerland",1981,3.88100804868543
"Switzerland",1980,3.81100990752678
"Switzerland",1979,3.77212205132752
"Switzerland",1978,3.75656690884782
"Switzerland",1977,3.82656505000648
"Switzerland",1976,3.82656505000648
"Switzerland",1975,3.75656690884782
"Switzerland",1974,3.19658177957858
"Switzerland",1973,2.97880978486277
"Switzerland",1972,2.84659107378531
"Switzerland",1971,2.76103779014695
"Switzerland",1970,2.57437608039054
"Switzerland",1969,2.53548822419129
"Switzerland",1968,2.48104522551233
"Switzerland",1967,2.37993679939427
"Switzerland",1966,2.26327323079652
"Switzerland",1965,1.78884138516563
"Switzerland",1964,1.73439838648668
"Switzerland",1963,1.72662081524683
"Switzerland",1962,1.68773295904757
"Switzerland",1961,1.62551238912877
"Switzerland",1960,1.56329181920996
"Turkey",1979,0.509
"Turkey",1980,0.694
"Turkey",1981,0.276
"Turkey",1982,0.415
"Turkey",1983,0.365
"Turkey",1984,0.891
"Turkey",1985,0.724
"Turkey",1986,0.725
"Turkey",1987,0.699
"Turkey",1988,1.022
"Turkey",1989,1.293
"Turkey",1990,1.466
"Turkey",1991,1.751
"Turkey",1992,1.838
"Turkey",1993,1.788
"Turkey",1994,1.806
"Turkey",1995,1.72
"Turkey",1996,1.959
"Turkey",1997,2.19
"Turkey",1998,2.522
"Turkey",1999,2.674
"Turkey",2000,2.837
"Turkey",2001,3.287
"Turkey",2002,3.542
"Turkey",2003,3.57
"Turkey",2004,3.52
"Turkey",2005,3.315
"Turkey",2006,3.543
"Turkey",2007,3.603
"Turkey",2008,3.793
"Turkey",2009,4.423
"Turkey",2010,3.916
"Turkey",2011,3.682
"Turkey",2012,3.519
"Turkey",2013,3.425
"Turkey",2014,3.357
"Turkey",2015,3.217
"Turkey",2016,3.361
"Turkey",2017,3.248
"Turkey",2018,3.191
"Turkey",2019,3.385
"Turkey",1978,0.411313131313131
"Turkey",1977,0.488434343434343
"Turkey",1976,0.678666666666667
"Turkey",1975,0.86889898989899
"Turkey",1974,0.694090909090909
"Turkey",1973,0.519282828282828
"Turkey",1972,0.344474747474747
"Turkey",1971,0.503858585858586
"Turkey",1970,0.65810101010101
"Turkey",1969,0.74550505050505
"Turkey",1968,0.663242424242424
"Turkey",1967,0.627252525252525
"Turkey",1966,0.616969696969697
"Turkey",1965,0.565555555555555
"Turkey",1964,0.555272727272727
"Turkey",1963,0.514141414141414
"Turkey",1962,0.519282828282828
"United Kingdom",1970,3.429
"United Kingdom",1971,3.469
"United Kingdom",1972,3.557
"United Kingdom",1973,3.476
"United Kingdom",1974,4.143
"United Kingdom",1975,4.486
"United Kingdom",1976,4.487
"United Kingdom",1977,4.378
"United Kingdom",1978,4.351
"United Kingdom",1979,4.252
"United Kingdom",1980,4.532
"United Kingdom",1981,4.71
"United Kingdom",1982,4.498
"United Kingdom",1983,4.666
"United Kingdom",1984,4.563
"United Kingdom",1985,4.428
"United Kingdom",1986,4.407
"United Kingdom",1987,4.421
"United Kingdom",1988,4.331
"United Kingdom",1989,4.249
"United Kingdom",1990,4.291
"United Kingdom",1991,4.586
"United Kingdom",1992,4.975
"United Kingdom",1993,5.066
"United Kingdom",1994,5.091
"United Kingdom",1995,4.685
"United Kingdom",1996,4.679
"United Kingdom",1997,5.139
"United Kingdom",1998,5.269
"United Kingdom",1999,5.474
"United Kingdom",2000,5.489
"United Kingdom",2001,5.756
"United Kingdom",2002,6.116
"United Kingdom",2003,6.335
"United Kingdom",2004,6.691
"United Kingdom",2005,6.825
"United Kingdom",2006,7.025
"United Kingdom",2007,7.025
"United Kingdom",2008,7.348
"United Kingdom",2009,8.136
"United Kingdom",2010,8.036
"United Kingdom",2011,8.018
"United Kingdom",2012,8.001
"United Kingdom",2013,7.914
"United Kingdom",2014,7.905
"United Kingdom",2015,7.858
"United Kingdom",2016,7.858
"United Kingdom",2017,7.736
"United Kingdom",2018,7.775
"United Kingdom",2019,7.972
"United Kingdom",2020,10.425
"United Kingdom",1969,3.30622250639386
"United Kingdom",1968,3.4026905370844
"United Kingdom",1967,3.39392071611253
"United Kingdom",1966,3.22729411764706
"United Kingdom",1965,3.10451662404092
"United Kingdom",1964,2.96419948849105
"United Kingdom",1963,2.97296930946292
"United Kingdom",1962,2.95542966751918
"United Kingdom",1961,2.97296930946292
"United Kingdom",1960,2.92035038363171
"United States",1970,2.323
"United States",1971,2.433
"United States",1972,2.491
"United States",1973,2.538
"United States",1974,2.769
"United States",1975,2.988
"United States",1976,3.049
"United States",1977,3.114
"United States",1978,3.14
"United States",1979,3.217
"United States",1980,3.458
"United States",1981,3.579
"United States",1982,3.822
"United States",1983,3.871
"United States",1984,3.786
"United States",1985,3.832
"United States",1986,3.973
"United States",1987,4.101
"United States",1988,4.125
"United States",1989,4.27
"United States",1990,4.543
"United States",1991,5.001
"United States",1992,5.283
"United States",1993,5.531
"United States",1994,5.689
"United States",1995,5.798
"United States",1996,5.782
"United States",1997,5.717
"United States",1998,5.56
"United States",1999,5.502
"United States",2000,5.542
"United States",2001,5.968
"United States",2002,6.322
"United States",2003,6.522
"United States",2004,6.61
"United States",2005,6.629
"United States",2006,6.781
"United States",2007,6.896
"United States",2008,7.226
"United States",2009,7.848
"United States",2010,7.919
"United States",2011,7.905
"United States",2012,7.882
"United States",2013,7.936
"United States",2014,13.419
"United States",2015,13.673
"United States",2016,13.92
"United States",2017,13.884
"United States",2018,13.813
"United States",2019,13.866
"United States",1969,2.17039416058394
"United States",1968,2.11952554744526
"United States",1967,1.99235401459854
"United States",1966,1.49214598540146
"United States",1965,1.23780291970803
"United States",1964,1.22084671532847
"United States",1963,1.22084671532847
"United States",1962,1.17845620437956
"United States",1961,1.1615
"United States",1960,1.09367518248175
"Australia",1880,0
"Australia",1890,0
"Australia",1900,0
"Australia",1910,0.38
"Australia",1920,0.57
"Australia",1930,0.44
"Austria",1880,0
"Austria",1890,0
"Austria",1900,0
"Austria",1910,0
"Austria",1920,0
"Austria",1930,0
"Belgium",1880,0.06
"Belgium",1890,0.11
"Belgium",1900,0.12
"Belgium",1910,0.18
"Belgium",1920,0.21
"Belgium",1930,0.09
"Canada",1880,0
"Canada",1890,0
"Canada",1900,0
"Canada",1910,0
"Canada",1920,0.01
"Canada",1930,0.02
"Denmark",1880,0.1
"Denmark",1890,0.28
"Denmark",1900,0.46
"Denmark",1910,0.44
"Denmark",1920,1.15
"Denmark",1930,0.7
"Finland",1880,0.23
"Finland",1890,0.34
"Finland",1900,0.35
"Finland",1910,0.38
"Finland",1920,0.19
"Finland",1930,1.28
"France",1880,0.25
"France",1890,0.29
"France",1900,0.27
"France",1910,0.26
"France",1920,0.23
"France",1930,0.32
"Germany",1880,0
"Germany",1890,0
"Germany",1900,0
"Germany",1910,0
"Germany",1930,0.06
"Greece",1880,0
"Greece",1890,0
"Greece",1900,0
"Greece",1910,0
"Greece",1920,0
"Greece",1930,0
"Ireland",1930,0.62
"Italy",1880,0
"Italy",1890,0
"Italy",1900,0
"Italy",1910,0
"Italy",1920,0
"Italy",1930,0
"Japan",1880,0.03
"Japan",1890,0.07
"Japan",1900,0.1
"Japan",1910,0.1
"Japan",1920,0.1
"Japan",1930,0.12
"Netherlands",1880,0
"Netherlands",1890,0
"Netherlands",1900,0
"Netherlands",1910,0
"Netherlands",1920,0
"Netherlands",1930,0
"New Zealand",1880,0.17
"New Zealand",1890,0.39
"New Zealand",1900,0.51
"New Zealand",1910,0.72
"New Zealand",1920,1.07
"New Zealand",1930,1.13
"Norway",1880,0.22
"Norway",1890,0.11
"Norway",1900,0.28
"Norway",1910,0.27
"Norway",1920,0.31
"Norway",1930,0.64
"Sweden",1880,0.12
"Sweden",1890,0.16
"Sweden",1900,0.19
"Sweden",1910,0.31
"Sweden",1920,0.25
"Sweden",1930,0.89
"Switzerland",1880,0
"Switzerland",1890,0
"Switzerland",1900,0
"Switzerland",1920,0.08
"Switzerland",1930,0.26
"United Kingdom",1880,0.13
"United Kingdom",1890,0.16
"United Kingdom",1900,0.29
"United Kingdom",1910,0.32
"United Kingdom",1920,0.56
"United Kingdom",1930,0.64
"United States",1880,0.09
"United States",1890,0.14
"United States",1900,0.17
"United States",1910,0.26
"United States",1920,0.4
"United States",1930,0.34
