"";"Entity";"Year";"headcount_ratio_1_00";"headcount_ratio_1_90";"headcount_ratio_3_20";"headcount_ratio_5_50";"headcount_ratio_10_00";"headcount_ratio_15_00";"headcount_ratio_20_00";"headcount_ratio_30_00";"headcount_ratio_40_00";"poverty_gap_index_1_00";"poverty_gap_index_1_90";"poverty_gap_index_3_20";"poverty_gap_index_5_50";"poverty_gap_index_10_00";"poverty_gap_index_15_00";"poverty_gap_index_20_00";"poverty_gap_index_30_00";"poverty_gap_index_40_00";"headcount_1_00";"headcount_1_90";"headcount_3_20";"headcount_5_50";"headcount_10_00";"headcount_15_00";"headcount_20_00";"headcount_30_00";"headcount_40_00";"total_shortfall_annual_1_00";"total_shortfall_annual_1_90";"total_shortfall_annual_3_20";"total_shortfall_annual_5_50";"total_shortfall_annual_10_00";"total_shortfall_annual_15_00";"total_shortfall_annual_20_00";"total_shortfall_annual_30_00";"total_shortfall_annual_40_00";"income_gap_ratio_1_00";"income_gap_ratio_1_90";"income_gap_ratio_3_20";"income_gap_ratio_5_50";"income_gap_ratio_10_00";"income_gap_ratio_15_00";"income_gap_ratio_20_00";"income_gap_ratio_30_00";"income_gap_ratio_40_00";"watts_index_1_00";"watts_index_1_90";"watts_index_3_20";"watts_index_5_50";"watts_index_10_00";"watts_index_15_00";"watts_index_20_00";"watts_index_30_00";"watts_index_40_00";"headcount_ratio_40_median";"headcount_ratio_50_median";"headcount_ratio_60_median";"poverty_gap_index_40_median";"poverty_gap_index_50_median";"poverty_gap_index_60_median";"headcount_40_median";"headcount_50_median";"headcount_60_median";"total_shortfall_annual_40_median";"total_shortfall_annual_50_median";"total_shortfall_annual_60_median";"income_gap_ratio_40_median";"income_gap_ratio_50_median";"income_gap_ratio_60_median";"watts_index_40_median";"watts_index_50_median";"watts_index_60_median";"headcount_ratio_40_median_est";"headcount_ratio_50_median_est";"headcount_ratio_60_median_est";"poverty_gap_index_40_median_est";"poverty_gap_index_50_median_est";"poverty_gap_index_60_median_est";"headcount_40_median_est";"headcount_50_median_est";"headcount_60_median_est";"total_shortfall_annual_40_median_est";"total_shortfall_annual_50_median_est";"total_shortfall_annual_60_median_est";"income_gap_ratio_40_median_est";"income_gap_ratio_50_median_est";"income_gap_ratio_60_median_est";"watts_index_40_median_est";"watts_index_50_median_est";"watts_index_60_median_est";"MeanPerDay";"MeanPerDay_est";"MedianPerDay";"MedianPerDay_est";"MedianPerDay_gp_est";"PPP";"Population";"share_decile_1";"share_decile_2";"share_decile_3";"share_decile_4";"share_decile_5";"share_decile_6";"share_decile_7";"share_decile_8";"share_decile_9";"share_decile_10";"share_decile_1_est";"share_decile_2_est";"share_decile_3_est";"share_decile_4_est";"share_decile_5_est";"share_decile_6_est";"share_decile_7_est";"share_decile_8_est";"share_decile_9_est";"share_decile_10_est";"threshold_decile_1_est";"threshold_decile_2_est";"threshold_decile_3_est";"threshold_decile_4_est";"threshold_decile_5_est";"threshold_decile_6_est";"threshold_decile_7_est";"threshold_decile_8_est";"threshold_decile_9_est";"average_decile_1_est";"average_decile_2_est";"average_decile_3_est";"average_decile_4_est";"average_decile_5_est";"average_decile_6_est";"average_decile_7_est";"average_decile_8_est";"average_decile_9_est";"average_decile_10_est";"Gini";"Gini_est";"Polarization";"Polarization_est";"MLD";"MLD_est";"Palma";"P90_P10_ratio";"P90_P50_ratio";"Entropy_0_5";"Entropy_1_0";"Entropy_1_5";"Entropy_2_0";"Atkinson_0_5";"Atkinson_1_0";"Atkinson_1_5";"Atkinson_2_0";"Theil_0_0";"Theil_0_5";"Theil_1_0";"Theil_1_5";"Theil_2_0";"Var.Coeff";"survey_year";"is_interpolated";"distribution_type";"reporting_level";"estimation_type";"welfare_type";"comparable_spell";"survey_comparability";"survey_acronym";"IsSurveyYear";"MaxHeadcountRatio";"MonotonicityBreaks";"MonotonicityBreaksDistinct";"RowsWithIncreasingHeadcount";"DataframeRowsForGpinter";"reporting_gdp";"reporting_pce";"ISO3Year"
"AllCols148";"OHI";1988;0,0035;0,0052;0,0088;0,0204;0,0712;0,1674;0,2801;0,4988;0,664;0,0023;0,0033;0,0048;0,0086;0,0239;0,055;0,097;0,1959;0,2938;3110401;4621167;7820437;18129195;63274445;148766041;248920956;443276590;590087521;0,8395;2,28855;5,6064;17,2645;87,235;301,125;708,1;2145,105;4289,48;0,6175;0,692947368421053;0,538680555555555;0,431663636363636;0,337032394366197;0,329106986027944;0,346239821428571;0,39238225533106;0,442345344966339;0,0049;0,0073;0,0105;0,0174;0,041;0,087;0,1501;0,3065;0,4742;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1057;0,1678;0,235;0,0348;0,0552;0,0795;93934113;149121515;208841216;152,67804;302,62296;523,185525;0,327718739208238;0,328039994293323;0,337874936571435;0,0571;0,0872;0,1235;38,1299;38,1299;NA;30,045;30,03;NA;888686026;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0204446280061114;0,0370446334299825;0,0489571361610339;0,0602371758654812;0,0722630154477754;0,0857124792887832;0,102281253010455;0,124898954100788;0,161404621354434;0,286756103335156;4248,6;6018,85000000001;7602,94999999999;9194,34999999999;10960,95;12983,05;15603,75;19432,6;26353;2845,36341814732;5155,6548140099;6813,56707728912;8383,45684592122;10057,1426674358;11928,9601637218;14234,9049144462;17382,7038993818;22463,3485620058;39909,0326376409;NA;0,387273266568311;NA;NA;NA;0,27206297758589;1,72036210514458;6,20274914089348;2,40426240426241;0,246663347930793;0,249033755177804;0,270149202881667;0,313865920327088;0,11952899851462;0,238193717141533;0,518293800485402;0,975144655870863;0,249033755177804;0,27206297758589;0,27206297758589;0,27206297758589;0,27206297758589;0,79229529889693;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3983;998;NA;NA;"OHI1988"
"AllCols149";"OHI";1989;0,0027;0,0046;0,0079;0,0181;0,063;0,1537;0,2628;0,4796;0,6474;0,002;0,0029;0,0042;0,0075;0,0209;0,049;0,0885;0,1839;0,2802;2417918;4119416;7074649;16209006;56418087;137642222;235344020;429493881;579763007;0,73;2,01115;4,9056;15,05625;76,285;268,275;646,05;2013,705;4090,92;0,686666666666667;0,574315789473684;0,527421875;0,415050505050505;0,330428571428571;0,317950303859563;0,336008593520074;0,382858694577472;0,432909385623542;0,0041;0,0061;0,0089;0,0149;0,0355;0,0768;0,1353;0,284;0,4465;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1024;0,1647;0,2307;0,0327;0,0528;0,0768;91701779;147492999;206597661;148,23891;299,29416;522,23616;0,320364055445044;0,319512654653005;0,333535252144879;0,053;0,0823;0,1179;39,399;39,399;NA;31,055;31,02;NA;895525189;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0210682855356401;0,0375453465719833;0,0493078269742087;0,0604041332011753;0,072337260102923;0,0856818980176147;0,102088308071144;0,124522122736629;0,160769429813629;0,286275388975054;4485,85;6285,3;7876,70000000001;9526,49999999999;11322,3;13402,8;16089,2;19980,1;27119,5;3029,7532436382;5399,25925000193;7090,77862359249;8686,49792057484;10402,557344402;12321,6010149854;14680,9469613867;17907,0719650066;23119,6648930791;41168,2187833327;NA;0,385023643331933;NA;NA;NA;0,26653115323285;1,70072408534132;6,04556550040682;2,39522888459058;0,24302563165111;0,246194085526049;0,267643387471612;0,31140758066597;0,117821474723091;0,233967861023132;0,514875965964328;0,975863782970029;0,246194085526049;0,26653115323285;0,26653115323285;0,26653115323285;0,26653115323285;0,789186392008846;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3783;997;NA;NA;"OHI1989"
"AllCols150";"OHI";1990;0,0026;0,0045;0,0076;0,0164;0,0573;0,1426;0,2478;0,4632;0,6345;0,002;0,0028;0,004;0,007;0,0192;0,0453;0,0825;0,1746;0,2695;2347424;4062849;6861701;14806829;51733615;128747182;223727572;418202628;572861761;0,73;1,9418;4,672;14,0525;70,08;248,0175;602,25;1911,87;3934,7;0,679333333333333;0,711052631578947;0,5031640625;0,439727272727273;0,336440794776605;0,316187064346231;0,332506301012634;0,377067764796448;0,424931043100263;0,0038;0,0058;0,0085;0,0141;0,0329;0,071;0,1261;0,2684;0,4264;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1005;0,1626;0,2283;0,0319;0,0517;0,0755;90736969;146804290;206121891;148,57106;300,984475;527,45055;0,318817596412747;0,318631236898744;0,331028353641374;0,0516;0,0804;0,1156;40,2841;40,2841;NA;31,9;31,88;NA;902855415;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0214164380137329;0,0379837030903132;0,049819544739188;0,0608180788454016;0,0727470199389832;0,0860138814608348;0,102319406471643;0,124448342866645;0,160001138463741;0,284432446109517;4646,45;6486,05;8124,90000000001;9803,9;11636,2;13745,9;16468,8;20377,95;27521;3149,00804664992;5585,00842186077;7325,31465613193;8942,50573055855;10696,5010246226;12647,2200778709;15044,7349881918;18298,5066343909;23526,0817962533;41822,0836234694;NA;0,38184447417031;NA;NA;NA;0,259759318310697;1,67276044019018;5,92301649646505;2,36511919698871;0,239577094065949;0,243240816898558;0,265158645933343;0,309801419291875;0,116201223032906;0,228762813863818;0,39484463087349;0,799658382871253;0,243240816898558;0,259759318310697;0,259759318310697;0,259759318310697;0,259759318310697;0,787148549248329;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3897;998;NA;NA;"OHI1990"
"AllCols151";"OHI";1991;0,0027;0,0045;0,0072;0,0158;0,0546;0,1356;0,2389;0,4561;0,6292;0,002;0,0028;0,0039;0,0068;0,0183;0,0429;0,0788;0,1692;0,2638;2459685;4099474;6559159;14393710;49740288;123530825;217636534;415504492;573197602;0,73;1,9418;4,5552;13,651;66,795;234,8775;575,24;1852,74;3851,48;0,655;0,703289473684211;0,560044642857143;0,426715909090909;0,332256363636364;0,315113235294118;0,329322662948894;0,370850791482761;0,419343586377037;0,0036;0,0056;0,0082;0,0136;0,0315;0,0675;0,1203;0,259;0,4153;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0971;0,1595;0,2241;0,031;0,0501;0,0736;88457545;145303588;204153819;145,9635;294,77838;519,54976;0,319164868536722;0,313047068858561;0,328150929073652;0,0502;0,0781;0,1126;40,4779;40,4779;NA;32,24;32,21;NA;910994282;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0218468900514388;0,03869129870129;0,0505816435471168;0,061561700063804;0,0733726472198192;0,086458666697003;0,102640197361228;0,124398068329424;0,159161522811247;0,281287365217628;4752,3;6628,4;8267,25000000001;9953,55;11756,65;13870;16592,9;20418,1;27521;3227,75424246794;5716,42019690845;7473,15128907581;9095,39243739618;10840,3929706818;12773,7782161354;15164,5077034034;18379,1098806153;23515,2133453351;41558,6147179806;NA;0,376895346453973;NA;NA;NA;0,251786790455962;1,62893716176473;5,79109062980031;2,34088792300528;0,233654352736519;0,237345591511072;0,258697139762801;0,302188382419068;0,113415029083714;0,222589528267473;0,362437927619559;0,66533222141814;0,237345591511072;0,251786790455962;0,251786790455962;0,251786790455962;0,251786790455962;0,77741672533985;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3637;995;NA;NA;"OHI1991"
"AllCols152";"OHI";1992;0,0028;0,0046;0,0078;0,0166;0,0552;0,136;0,2358;0,4505;0,6242;0,0021;0,003;0,0043;0,0074;0,019;0,0435;0,0788;0,1676;0,2614;2573105;4227244;7167935;15254837;50726927;124979386;216692201;413994217;573618625;0,7665;2,0805;5,0224;14,8555;69,35;238,1625;575,24;1835,22;3816,44;0,719666666666667;0,603368421052631;0,548125;0,435422459893048;0,345676363636364;0,319353921568627;0,333906828101666;0,372400604487086;0,418864910279474;0,0038;0,006;0,0089;0,0146;0,0331;0,0692;0,1216;0,2584;0,4132;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0996;0,1604;0,2256;0,0323;0,0516;0,0752;91529021;147402159;207318747;153,49929;306,42918;536,05944;0,32252841781874;0,322488475722188;0,332526820240217;0,0527;0,0812;0,1161;40,8095;40,8095;NA;32,55;32,52;NA;918966076;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0214528585863601;0,0384695474792934;0,0504434334123485;0,0616591385937441;0,0734750858449454;0,0864373633291492;0,102585210421969;0,124133821155158;0,159058295879658;0,282285245297374;4752,3;6661,25;8343,9;10052,1;11869,8;13964,9;16717;20567,75;27776,5;3195,50357855224;5730,21894217522;7513,78522982051;9184,4169500111;10944,457532631;12875,2493625503;15280,546678211;18490,3129866746;23692,4767688083;42047,7069705657;NA;0,378134235149869;NA;NA;NA;0,259009147307784;1,64095498491877;5,84485407066051;2,34009840098401;0,235447904577986;0,238413091529543;0,259270754802654;0,302008309537231;0,114259220053358;0,228184037026753;0,514095684084344;0,976672415362582;0,238413091529543;0,259009147307784;0,259009147307784;0,259009147307784;0,259009147307784;0,777185061021159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3861;994;NA;NA;"OHI1992"
"AllCols153";"OHI";1993;0,0037;0,0049;0,0082;0,0165;0,0562;0,1369;0,2373;0,4529;0,627;0,0024;0,0033;0,0046;0,0077;0,0193;0,044;0,0796;0,1687;0,2628;3428002;4539787;7597194;15287037;52068575;126836084;219855389;419606007;580907411;0,876;2,28855;5,3728;15,45775;70,445;240,9;581,08;1847,265;3836,88;0,6645;0,688631578947368;0,5877734375;0,484545454545454;0,345053571428571;0,321124087591241;0,33579746835443;0,372307634526343;0,419035767878684;0,006;0,0083;0,0113;0,0174;0,0359;0,0724;0,1252;0,2627;0,4181;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0999;0,1604;0,2258;0,0324;0,0518;0,0754;92556061;148608531;209200787;153,38322;306,48247;535,55866;0,324186584425598;0,323619679210364;0,333465970586363;0,0554;0,0839;0,1189;41,1932;41,1932;NA;32,43;32,39;NA;926487099;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0211195558025343;0,0379435742584812;0,0498242901307845;0,0608625421877311;0,0725210897905378;0,0853686110438054;0,101187269582437;0,122894237387358;0,157886513364548;0,290392316451782;4723,1;6617,45000000001;8329,3;10022,9;11822,35;13913,8;16636,7;20593,3;27886;3175,43461421009;5705,0129374773;7491,34011098633;9150,9984858939;10903,9215092525;12835,6128798414;15214,0301317759;18477,785183339;23739,0551364989;43661,9890107247;NA;0,385591135285473;NA;NA;NA;0,265478066002853;1,71070621979;5,90417310664606;2,35875270145106;0,240948864236305;0,24521782394368;0,269127274242511;0,318067554672701;0,116845909919605;0,233160737448635;0,52874032576316;0,977293245308007;0,24521782394368;0,265478066002853;0,265478066002853;0,265478066002853;0,265478066002853;0,797580785466527;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3680;990;NA;NA;"OHI1993"
"AllCols154";"OHI";1994;0,0038;0,0048;0,008;0,0164;0,0521;0,1285;0,2264;0,4395;0,6146;0,0025;0,0033;0,0046;0,0076;0,0186;0,0416;0,0753;0,162;0,2547;3547245;4480731;7467885;15309164;48634599;119952897;211341135;410266912;573720237;0,9125;2,28855;5,3728;15,257;67,89;227,76;549,69;1773,9;3718,62;0,65525;0,678842105263158;0,58671875;0,481556818181818;0,358128846153846;0,324696354166667;0,333263175152345;0,368949958970878;0,414008109476194;0,0066;0,009;0,0121;0,0181;0,0359;0,0702;0,1202;0,2531;0,405;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0982;0,158;0,2238;0,0321;0,0511;0,0743;91668284;147490722;208914073;155,12646;308,682325;538,59327;0,327183396017017;0,323227274465563;0,331525938643855;0,0562;0,0842;0,1186;41,9508;41,9508;NA;33,1;33,06;NA;933485580;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0212833645905602;0,0383468206265716;0,0500922893905426;0,0610791827935456;0,0727246672726674;0,0855205024405442;0,101317526947514;0,122503677608207;0,157127868570854;0,290004099758993;4869,1;6814,55;8497,2;10220;12066,9;14209,45;16961,55;20848,8;28251;3258,91772511971;5871,6812800053;7670,15239024142;9352,47012260448;11135,6315971511;13094,9352523072;15513,7822795647;18757,8145669132;24059,4852292739;44405,549556819;NA;0,383935226379925;NA;NA;NA;0,260690206283704;1,69789979893323;5,80209895052474;2,34119782214156;0,239155735347721;0,243656663410183;0,267608334349186;0,316393430718792;0,116003151064504;0,229480415229667;0,430145587803323;0,904573054239048;0,243656663410183;0,260690206283704;0,260690206283704;0,260690206283704;0,260690206283704;0,795479013825999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3675;987;NA;NA;"OHI1994"
"AllCols155";"OHI";1995;0,0037;0,0048;0,0077;0,0152;0,0499;0,1206;0,2175;0,4275;0,6074;0,0025;0,0033;0,0045;0,0073;0,0177;0,0391;0,0712;0,1556;0,2471;3479042;4513352;7240169;14292281;46920054;113397965;204511256;401970399;571127065;0,9125;2,28855;5,256;14,65475;64,605;214,0725;519,76;1703,82;3607,66;0,629;0,675473684210526;0,575234375;0,492969696969697;0,35394;0,32348370288136;0,326489202002217;0,363402900543319;0,406930330844491;0,003;0,0049;0,0075;0,0128;0,0293;0,0611;0,1083;0,2365;0,3849;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0962;0,1542;0,2225;0,0315;0,0501;0,073;90455093;144991428;209212664;155,21625;308,493255;539,2948;0,327826327723509;0,324961285587136;0,328546834546182;0,0499;0,0771;0,1109;42,6123;42,6123;NA;33,74;33,71;NA;940281635;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0215620101688896;0,0388456392257768;0,05043958213829;0,0613710095565484;0,0729919789554285;0,0857151637811167;0,101107878964027;0,12223986456762;0,156649553324146;0,289077319318157;5007,8;6993,40000000001;8690,64999999999;10420,75;12304,15;14413,85;17162,3;21148,1;28616;3353,64498760717;6041,85241818907;7845,11511172282;9545,33352742175;11352,7997826748;13331,6989986038;15725,8033383426;19012,564500339;24364,4718280679;44961,610507031;NA;0,381707384116807;NA;NA;NA;0,259280829678396;1,67855226885007;5,71428571428572;2,3257193711065;0,236769370626858;0,241684977990227;0,266116270579356;0,315774774621238;0,114880951884239;0,228393697335455;0,514837170836551;0,977388302533066;0,241684977990227;0,259280829678396;0,259280829678396;0,259280829678396;0,259280829678396;0,794700918108489;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3560;987;NA;NA;"OHI1995"
"AllCols156";"OHI";1996;0,0034;0,0046;0,0075;0,0143;0,0456;0,114;0,2076;0,4172;0,5967;0,0026;0,0032;0,0044;0,007;0,0163;0,0366;0,0673;0,1495;0,2399;3220614;4357302;7104297;13545526;43194124;107985309;196646931;395188341;565217840;0,949;2,2192;5,1392;14,0525;59,495;200,385;491,29;1637,025;3502,54;0,857666666666667;0,650210526315789;0,56078125;0,501272727272727;0,355647826086957;0,320513450292398;0,325040579710145;0,358334831512091;0,401773509793428;0,003;0,0047;0,0072;0,0121;0,0271;0,0569;0,1018;0,2257;0,3712;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,094;0,152;0,2192;0,0303;0,0487;0,0714;89040518;143980412;207634910;151,73634;304,849825;536,33538;0,325659111570896;0,320119686972533;0,326015415951116;0,0478;0,0745;0,1079;43,4188;43,4188;NA;34,295;34,28;NA;947239551;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0218964626157977;0,0390431446535724;0,0506032303331208;0,0614254347316022;0,0728704237673076;0,0854871664491906;0,100800047819527;0,121684064212237;0,156397889648403;0,289792135769242;5157,45;7161,3;8865,84999999999;10610,55;12512,2;14658,4;17406,85;21454,7;29090,5;3470,12117823321;6187,50368515853;8019,53011073512;9734,61812916439;11548,4041974581;13547,888166578;15974,6524743727;19284,3225723467;24785,7217223912;45925,8577635621;NA;0,381420160823128;NA;NA;NA;0,256069083776263;1,67540631503505;5,64048124557678;2,32497082847141;0,233786113904147;0,238612205621314;0,262443546288165;0,310743520191408;0,113477060261173;0,225911510011039;0,51467422273575;0,977740373267664;0,238612205621314;0,256069083776263;0,256069083776263;0,256069083776263;0,256069083776263;0,78834449346895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3776;993;NA;NA;"OHI1996"
"AllCols157";"OHI";1997;0,0035;0,0054;0,0073;0,0137;0,0446;0,1088;0,1982;0,407;0,5874;0,0027;0,0035;0,0046;0,007;0,0161;0,0353;0,0645;0,1442;0,2336;3339046;5151671;6964296;13069981;42548988;103796636;189085415;388283370;560387351;0,9855;2,42725;5,3728;14,0525;58,765;193,2675;470,85;1578,99;3410,56;0,677;0,709684210526315;0,661964285714286;0,507272727272727;0,357511111111111;0,324097859327217;0,325466015637718;0,354072516128203;0,39788255960049;0,0031;0,005;0,0076;0,0124;0,027;0,0556;0,0983;0,218;0,3608;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0922;0,149;0,2158;0,0302;0,048;0,0703;87960017;142147966;205876047;153,2197;304,3224;535,000575;0,328104472943384;0,32224247697193;0,32518772136188;0,048;0,0741;0,1068;44,2975;44,2975;NA;34,745;34,72;NA;954013195;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0217917479009846;0,0391867070607486;0,0506561872006013;0,0613560695948799;0,0725221021395447;0,0850386557398446;0,100432149249602;0,121215704426467;0,155689539817999;0,292111136869329;5252,35000000001;7321,9;9048,34999999999;10814,95;12672,8;14892;17702,5;21808,75;29528,5;3523,41782715011;6335,93701948581;8190,38995169302;9920,40979900905;11725,7995412717;13749,5494621205;16238,4599295525;19598,8672339346;25172,7994738205;47230,2447619622;NA;0,382805732269112;NA;NA;NA;0,259075482815705;1,68859434071406;5,6219596942321;2,33006912442396;0,236821600564994;0,242859778786368;0,269223415552141;0,322613066793348;0,114905520876612;0,228235234132566;0,519836060618125;0,978224226647047;0,242859778786368;0,259075482815705;0,259075482815705;0,259075482815705;0,259075482815705;0,80325969249471;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3779;994;NA;NA;"OHI1997"
"AllCols158";"OHI";1998;0,0045;0,0054;0,0081;0,0146;0,044;0,1079;0,1935;0,3964;0,5769;0,0029;0,0038;0,0049;0,0074;0,0161;0,0349;0,0636;0,1411;0,2285;4322814;5187377;7781066;14025131;42267517;103651480;185881014;380791906;554184790;1,0585;2,6353;5,7232;14,8555;58,765;191,0775;464,28;1545,045;3336,1;0,737;0,768526315789474;0,6215234375;0,496593939393939;0,366497727272727;0,323061111111111;0,327607989690722;0,356252044243434;0,395874206132579;0,0032;0,0054;0,008;0,013;0,0273;0,0553;0,0974;0,2141;0,3536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0943;0,1529;0,2191;0,031;0,0494;0,072;90586975;146879623;210473024;160,2204;319,1487;558,45;0,329485965861281;0,32246556626417;0,328451034112275;0,0496;0,0764;0,1098;45,2138;45,2138;NA;35,41;35,37;NA;960625394;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,021481006369763;0,0386734248006595;0,0502676355831347;0,06105060070756;0,0723543799114494;0,0848932499453493;0,10062948358215;0,121844405797505;0,156589988711143;0,292215824591286;5296,15000000001;7409,49999999999;9183,40000000002;11004,75;12910,05;15209,55;18140,5;22411;30331,5;3545,01842917435;6382,28960402001;8295,68649930989;10075,2032234909;11940,6700879071;14009,9644489835;16606,9209084712;20108,0273711923;25842,1037752958;48224,485652155;NA;0,384794754667798;NA;NA;NA;0,263660568028763;1,70415395595072;5,72708476912473;2,34944868532655;0,239088661357932;0,244126424799136;0,269309735659993;0,320539336124423;0,115971618929595;0,231765741325188;0,533800186780213;0,979019684407824;0,244126424799136;0,263660568028763;0,263660568028763;0,263660568028763;0,263660568028763;0,800673886328789;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3636;979;NA;NA;"OHI1998"
"AllCols159";"OHI";1999;0,0036;0,0051;0,0071;0,0129;0,0398;0,0996;0,1825;0,3834;0,5627;0,0027;0,0034;0,0044;0,0066;0,0145;0,0318;0,0588;0,1335;0,2192;3481930;4932734;6867139;12476915;38494668;96333389;176514493;370825516;544244960;0,9855;2,3579;5,1392;13,2495;52,925;174,105;429,24;1461,825;3200,32;0,69075;0,700421052631579;0,629821428571429;0,508727272727273;0,36251;0,31806608250634;0,323051957076788;0,348478702002009;0,389272346756638;0,0027;0,0044;0,0067;0,0111;0,024;0,0496;0,0889;0,2003;0,3357;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0916;0,1504;0,2169;0,0296;0,0477;0,0702;88595768;145467286;209786266;156,658;315,652365;557,55648;0,325236168063289;0,318219938870936;0,321852081808779;0,0464;0,0727;0,1055;46,3308;46,3308;NA;36,26;36,25;NA;967202702;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0219154109585128;0,0389936956404067;0,0504183977439862;0,0610863224964875;0,0722617916025091;0,0846964520997094;0,100204838248845;0,121596445469066;0,156129718888222;0,292696926852255;5467,7;7624,85000000001;9424,3;11267,55;13231,25;15549;18512,8;22922;30952;3706,05860543383;6594,12326601442;8526,12516301932;10330,150394669;12220,005142478;14322,7984977355;16945,3816677796;20562,8611744444;26402,6939465126;49497,2221419135;NA;0,38400850698585;NA;NA;NA;0,26082116407277;1,69764184356808;5,66088117489987;2,33931034482759;0,238459094534187;0,24487002227551;0,271782330743211;0,326021929086781;0,115675626031714;0,229581314164026;0,528213011462157;0,979328428062251;0,24487002227551;0,26082116407277;0,26082116407277;0,26082116407277;0,26082116407277;0,807492327005999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3729;987;NA;NA;"OHI1999"
