dataset,variable,eq,percentile,thr,share
cz16,mi,0,10,          183.93,   0.0545
cz16,mi,0,20,         1901.77,   0.5061
cz16,mi,0,30,         6077.03,   3.6226
cz16,mi,0,40,         8320.62,   6.0326
cz16,mi,0,50,        10414.56,   7.7982
cz16,mi,0,60,        12463.25,   9.5039
cz16,mi,0,70,        15062.00,  11.4030
cz16,mi,0,80,        18544.29,  13.8950
cz16,mi,0,90,        24444.94,  17.7102
cz16,mi,0,100,               .,  29.4739
cz16,hcexp,0,10,.,.
cz16,hcexp,0,20,.,.
cz16,hcexp,0,30,.,.
cz16,hcexp,0,40,.,.
cz16,hcexp,0,50,.,.
cz16,hcexp,0,60,.,.
cz16,hcexp,0,70,.,.
cz16,hcexp,0,80,.,.
cz16,hcexp,0,90,.,.
cz16,hcexp,0,100,.,.
de73,dhi,0,10,         7711.09,   3.5126
de73,dhi,0,20,         9493.99,   5.1225
de73,dhi,0,30,        11009.67,   6.0940
de73,dhi,0,40,        12571.02,   7.0107
de73,dhi,0,50,        14299.00,   7.9738
de73,dhi,0,60,        16242.97,   9.0556
de73,dhi,0,70,        18723.85,  10.3502
de73,dhi,0,80,        22304.77,  12.1206
de73,dhi,0,90,        28653.54,  14.9024
de73,dhi,0,100,               .,  23.8576
de73,dhci,0,10,         7711.09,   3.5126
de73,dhci,0,20,         9493.99,   5.1225
de73,dhci,0,30,        11009.67,   6.0940
de73,dhci,0,40,        12571.02,   7.0107
de73,dhci,0,50,        14299.00,   7.9738
de73,dhci,0,60,        16242.97,   9.0556
de73,dhci,0,70,        18723.85,  10.3502
de73,dhci,0,80,        22304.77,  12.1206
de73,dhci,0,90,        28653.54,  14.9024
de73,dhci,0,100,               .,  23.8576
de73,mi,0,10,         2092.08,   0.3968
de73,mi,0,20,         7488.92,   2.6965
de73,mi,0,30,        10441.91,   5.1987
de73,mi,0,40,        12695.99,   6.6085
de73,mi,0,50,        14897.62,   7.8501
de73,mi,0,60,        17430.96,   9.1992
de73,mi,0,70,        20519.71,  10.7753
de73,mi,0,80,        24987.76,  12.8683
de73,mi,0,90,        33498.04,  16.3153
de73,mi,0,100,               .,  28.0913
de73,hcexp,0,10,         5858.95,   4.3054
de73,hcexp,0,20,         6963.13,   5.6003
de73,hcexp,0,30,         7950.85,   6.4820
de73,hcexp,0,40,         8908.33,   7.3283
de73,hcexp,0,50,        10003.59,   8.2096
de73,hcexp,0,60,        11270.72,   9.2335
de73,hcexp,0,70,        12805.23,  10.4408
de73,hcexp,0,80,        15000.06,  12.0305
de73,hcexp,0,90,        18818.58,  14.4976
de73,hcexp,0,100,               .,  21.8720
de78,dhi,0,10,         9541.62,   3.9497
de78,dhi,0,20,        11458.77,   5.3788
de78,dhi,0,30,        13143.02,   6.2386
de78,dhi,0,40,        14893.46,   7.1325
de78,dhi,0,50,        16732.16,   8.0331
de78,dhi,0,60,        18896.92,   9.0454
de78,dhi,0,70,        21608.38,  10.3025
de78,dhi,0,80,        25653.52,  11.9559
de78,dhi,0,90,        32515.54,  14.5742
de78,dhi,0,100,               .,  23.3894
de78,dhci,0,10,         9431.79,   3.8882
de78,dhci,0,20,        11363.16,   5.3181
de78,dhci,0,30,        13057.21,   6.2384
de78,dhci,0,40,        14827.26,   7.1213
de78,dhci,0,50,        16690.48,   8.0284
de78,dhci,0,60,        18872.40,   9.0599
de78,dhci,0,70,        21593.68,  10.2876
de78,dhci,0,80,        25646.17,  11.9973
de78,dhci,0,90,        32508.19,  14.6114
de78,dhci,0,100,               .,  23.4495
de78,mi,0,10,         1515.09,   0.2276
de78,mi,0,20,         5942.67,   1.7624
de78,mi,0,30,        10711.52,   4.4381
de78,mi,0,40,        13602.69,   6.2536
de78,mi,0,50,        16293.32,   7.6719
de78,mi,0,60,        19313.69,   9.1359
de78,mi,0,70,        22980.05,  10.8135
de78,mi,0,80,        28374.79,  13.0899
de78,mi,0,90,        38529.32,  16.7963
de78,mi,0,100,               .,  29.8108
de78,hcexp,0,10,         6539.29,   4.1653
de78,hcexp,0,20,         7885.07,   5.5323
de78,hcexp,0,30,         9072.14,   6.4681
de78,hcexp,0,40,        10209.34,   7.3508
de78,hcexp,0,50,        11446.71,   8.2553
de78,hcexp,0,60,        12897.86,   9.2574
de78,hcexp,0,70,        14645.23,  10.4717
de78,hcexp,0,80,        17128.95,  12.0533
de78,hcexp,0,90,        21505.42,  14.5402
de78,hcexp,0,100,               .,  21.9057
de81,dhi,0,10,         8031.58,   3.8526
de81,dhi,0,20,         9834.58,   5.5046
de81,dhi,0,30,        11189.99,   6.1849
de81,dhi,0,40,        12775.50,   7.1661
de81,dhi,0,50,        14171.88,   8.0685
de81,dhi,0,60,        16169.06,   9.0834
de81,dhi,0,70,        18799.18,  10.5386
de81,dhi,0,80,        22157.23,  12.1635
de81,dhi,0,90,        28318.55,  14.8367
de81,dhi,0,100,               .,  22.6011
de81,dhci,0,10,         8031.58,   3.8526
de81,dhci,0,20,         9834.58,   5.5046
de81,dhci,0,30,        11189.99,   6.1849
de81,dhci,0,40,        12775.50,   7.1661
de81,dhci,0,50,        14171.88,   8.0685
de81,dhci,0,60,        16169.06,   9.0834
de81,dhci,0,70,        18799.18,  10.5386
de81,dhci,0,80,        22157.23,  12.1635
de81,dhci,0,90,        28318.55,  14.8367
de81,dhci,0,100,               .,  22.6011
de81,mi,0,10,            0.00,   0.0000
de81,mi,0,20,         5295.54,   0.7973
de81,mi,0,30,         9582.41,   4.5534
de81,mi,0,40,        12349.97,   6.2887
de81,mi,0,50,        14865.35,   7.8777
de81,mi,0,60,        17555.15,   9.2916
de81,mi,0,70,        21467.97,  11.2375
de81,mi,0,80,        26455.66,  13.6421
de81,mi,0,90,        35656.66,  17.6850
de81,mi,0,100,               .,  28.6267
de81,hcexp,0,10,.,.
de81,hcexp,0,20,.,.
de81,hcexp,0,30,.,.
de81,hcexp,0,40,.,.
de81,hcexp,0,50,.,.
de81,hcexp,0,60,.,.
de81,hcexp,0,70,.,.
de81,hcexp,0,80,.,.
de81,hcexp,0,90,.,.
de81,hcexp,0,100,.,.
de83,dhi,0,10,         9583.30,   3.8937
de83,dhi,0,20,        11656.54,   5.2911
de83,dhi,0,30,        13489.11,   6.2132
de83,dhi,0,40,        15368.07,   7.1722
de83,dhi,0,50,        17354.32,   8.0814
de83,dhi,0,60,        19620.87,   9.1521
de83,dhi,0,70,        22559.17,  10.4823
de83,dhi,0,80,        26502.68,  12.0650
de83,dhi,0,90,        33345.82,  14.5625
de83,dhi,0,100,               .,  23.0864
de83,dhci,0,10,         9394.82,   3.8163
de83,dhci,0,20,        11439.07,   5.1993
de83,dhci,0,30,        13338.33,   6.2681
de83,dhci,0,40,        15237.59,   7.0310
de83,dhci,0,50,        17247.04,   8.0823
de83,dhci,0,60,        19543.55,   9.2029
de83,dhci,0,70,        22501.18,  10.4781
de83,dhci,0,80,        26444.68,  12.0786
de83,dhci,0,90,        33345.82,  14.6515
de83,dhci,0,100,               .,  23.1918
de83,mi,0,10,         1855.77,   0.3143
de83,mi,0,20,         6321.21,   1.9595
de83,mi,0,30,        10632.00,   4.4025
de83,mi,0,40,        13613.79,   6.1142
de83,mi,0,50,        16585.92,   7.6590
de83,mi,0,60,        19848.01,   9.1035
de83,mi,0,70,        23765.42,  10.9281
de83,mi,0,80,        29614.95,  13.3161
de83,mi,0,90,        39812.01,  17.1705
de83,mi,0,100,               .,  29.0322
de83,hcexp,0,10,         7916.01,   4.2116
de83,hcexp,0,20,         9568.80,   5.6188
de83,hcexp,0,30,        10941.29,   6.5267
de83,hcexp,0,40,        12294.46,   7.4755
de83,hcexp,0,50,        13763.61,   8.3052
de83,hcexp,0,60,        15387.40,   9.2782
de83,hcexp,0,70,        17455.81,  10.5300
de83,hcexp,0,80,        20413.44,  12.1593
de83,hcexp,0,90,        25516.80,  14.2853
de83,hcexp,0,100,               .,  21.6094
de84,dhi,0,10,         7433.18,   3.4623
de84,dhi,0,20,         9529.73,   5.1743
de84,dhi,0,30,        11213.27,   6.3446
de84,dhi,0,40,        12756.70,   7.3250
de84,dhi,0,50,        14342.77,   8.2780
de84,dhi,0,60,        16212.94,   9.2905
de84,dhi,0,70,        18579.87,  10.5336
de84,dhi,0,80,        21656.76,  12.1878
de84,dhi,0,90,        27281.12,  14.6698
de84,dhi,0,100,               .,  22.7341
de84,dhci,0,10,         7433.18,   3.4623
de84,dhci,0,20,         9529.73,   5.1743
de84,dhci,0,30,        11213.27,   6.3446
de84,dhci,0,40,        12756.70,   7.3250
de84,dhci,0,50,        14342.77,   8.2780
de84,dhci,0,60,        16212.94,   9.2905
de84,dhci,0,70,        18579.87,  10.5336
de84,dhci,0,80,        21656.76,  12.1878
de84,dhci,0,90,        27281.12,  14.6698
de84,dhci,0,100,               .,  22.7341
de84,mi,0,10,          141.77,   0.0178
de84,mi,0,20,         2185.28,   0.3742
de84,mi,0,30,         8521.82,   3.3590
de84,mi,0,40,        11913.27,   5.8481
de84,mi,0,50,        14884.39,   7.6393
de84,mi,0,60,        17600.76,   9.2890
de84,mi,0,70,        21693.75,  11.2060
de84,mi,0,80,        27182.54,  13.9451
de84,mi,0,90,        35823.98,  17.4387
de84,mi,0,100,               .,  30.8827
de84,hcexp,0,10,.,.
de84,hcexp,0,20,.,.
de84,hcexp,0,30,.,.
de84,hcexp,0,40,.,.
de84,hcexp,0,50,.,.
de84,hcexp,0,60,.,.
de84,hcexp,0,70,.,.
de84,hcexp,0,80,.,.
de84,hcexp,0,90,.,.
de84,hcexp,0,100,.,.
de85,dhi,0,10,         7761.14,   3.5922
de85,dhi,0,20,         9519.12,   5.3078
de85,dhi,0,30,        11187.57,   6.3447
de85,dhi,0,40,        12706.91,   7.3217
de85,dhi,0,50,        14443.62,   8.2601
de85,dhi,0,60,        16373.05,   9.4202
de85,dhi,0,70,        18752.83,  10.6656
de85,dhi,0,80,        21889.34,  12.3717
de85,dhi,0,90,        27031.60,  14.7381
de85,dhi,0,100,               .,  21.9779
de85,dhci,0,10,         7761.14,   3.5922
de85,dhci,0,20,         9519.12,   5.3078
de85,dhci,0,30,        11187.57,   6.3447
de85,dhci,0,40,        12706.91,   7.3217
de85,dhci,0,50,        14443.62,   8.2601
de85,dhci,0,60,        16373.05,   9.4202
de85,dhci,0,70,        18752.83,  10.6656
de85,dhci,0,80,        21889.34,  12.3717
de85,dhci,0,90,        27031.60,  14.7381
de85,dhci,0,100,               .,  21.9779
de85,mi,0,10,          201.84,   0.0348
de85,mi,0,20,         3602.77,   0.6831
de85,mi,0,30,         8975.45,   3.7350
de85,mi,0,40,        12084.46,   5.8631
de85,mi,0,50,        14971.01,   7.5974
de85,mi,0,60,        18170.64,   9.2737
de85,mi,0,70,        22469.11,  11.3632
de85,mi,0,80,        28084.22,  13.9300
de85,mi,0,90,        36633.19,  17.7886
de85,mi,0,100,               .,  29.7309
de85,hcexp,0,10,.,.
de85,hcexp,0,20,.,.
de85,hcexp,0,30,.,.
de85,hcexp,0,40,.,.
de85,hcexp,0,50,.,.
de85,hcexp,0,60,.,.
de85,hcexp,0,70,.,.
de85,hcexp,0,80,.,.
de85,hcexp,0,90,.,.
de85,hcexp,0,100,.,.
de86,dhi,0,10,         8284.06,   3.7656
de86,dhi,0,20,        10243.16,   5.3918
de86,dhi,0,30,        11806.74,   6.3887
de86,dhi,0,40,        13486.59,   7.2983
de86,dhi,0,50,        15283.25,   8.3123
de86,dhi,0,60,        17182.58,   9.4048
de86,dhi,0,70,        19636.62,  10.6107
de86,dhi,0,80,        22755.09,  12.1977
de86,dhi,0,90,        28387.91,  14.6384
de86,dhi,0,100,               .,  21.9917
de86,dhci,0,10,         8284.06,   3.7656
de86,dhci,0,20,        10243.16,   5.3918
de86,dhci,0,30,        11806.74,   6.3887
de86,dhci,0,40,        13486.59,   7.2983
de86,dhci,0,50,        15283.25,   8.3123
de86,dhci,0,60,        17182.58,   9.4048
de86,dhci,0,70,        19636.62,  10.6107
de86,dhci,0,80,        22755.09,  12.1977
de86,dhci,0,90,        28387.91,  14.6384
de86,dhci,0,100,               .,  21.9917
de86,mi,0,10,          234.70,   0.0340
de86,mi,0,20,         4783.65,   0.9377
de86,mi,0,30,         9592.30,   3.8825
de86,mi,0,40,        13057.39,   5.9800
de86,mi,0,50,        15972.68,   7.7056
de86,mi,0,60,        19483.41,   9.3094
de86,mi,0,70,        23539.60,  11.3676
de86,mi,0,80,        29057.24,  13.8838
de86,mi,0,90,        38499.59,  17.5084
de86,mi,0,100,               .,  29.3909
de86,hcexp,0,10,.,.
de86,hcexp,0,20,.,.
de86,hcexp,0,30,.,.
de86,hcexp,0,40,.,.
de86,hcexp,0,50,.,.
de86,hcexp,0,60,.,.
de86,hcexp,0,70,.,.
de86,hcexp,0,80,.,.
de86,hcexp,0,90,.,.
de86,hcexp,0,100,.,.
de87,dhi,0,10,         8484.52,   3.6193
de87,dhi,0,20,        10436.57,   5.3223
de87,dhi,0,30,        12237.59,   6.3861
de87,dhi,0,40,        13837.09,   7.2590
de87,dhi,0,50,        15672.73,   8.2344
de87,dhi,0,60,        17821.68,   9.3718
de87,dhi,0,70,        20242.32,  10.6669
de87,dhi,0,80,        23465.74,  12.1603
de87,dhi,0,90,        29623.20,  14.7146
de87,dhi,0,100,               .,  22.2652
de87,dhci,0,10,         8484.52,   3.6193
de87,dhci,0,20,        10436.57,   5.3223
de87,dhci,0,30,        12237.59,   6.3861
de87,dhci,0,40,        13837.09,   7.2590
de87,dhci,0,50,        15672.73,   8.2344
de87,dhci,0,60,        17821.68,   9.3718
de87,dhci,0,70,        20242.32,  10.6669
de87,dhci,0,80,        23465.74,  12.1603
de87,dhci,0,90,        29623.20,  14.7146
de87,dhci,0,100,               .,  22.2652
de87,mi,0,10,          327.33,   0.0460
de87,mi,0,20,         4636.79,   0.8977
de87,mi,0,30,         9851.28,   3.8329
de87,mi,0,40,        13300.51,   5.9522
de87,mi,0,50,        16256.94,   7.4969
de87,mi,0,60,        20006.76,   9.1931
de87,mi,0,70,        24494.34,  11.1825
de87,mi,0,80,        30317.96,  13.8766
de87,mi,0,90,        40995.14,  17.6589
de87,mi,0,100,               .,  29.8631
de87,hcexp,0,10,.,.
de87,hcexp,0,20,.,.
de87,hcexp,0,30,.,.
de87,hcexp,0,40,.,.
de87,hcexp,0,50,.,.
de87,hcexp,0,60,.,.
de87,hcexp,0,70,.,.
de87,hcexp,0,80,.,.
de87,hcexp,0,90,.,.
de87,hcexp,0,100,.,.
de88,dhi,0,10,         8894.70,   3.5969
de88,dhi,0,20,        10821.47,   5.2903
de88,dhi,0,30,        12559.17,   6.2788
de88,dhi,0,40,        14448.13,   7.1944
de88,dhi,0,50,        16361.00,   8.2335
de88,dhi,0,60,        18564.25,   9.3807
de88,dhi,0,70,        21244.11,  10.6477
de88,dhi,0,80,        24770.52,  12.2445
de88,dhi,0,90,        30210.51,  14.4874
de88,dhi,0,100,               .,  22.6456
de88,dhci,0,10,         8894.70,   3.5969
de88,dhci,0,20,        10821.47,   5.2903
de88,dhci,0,30,        12559.17,   6.2788
de88,dhci,0,40,        14448.13,   7.1944
de88,dhci,0,50,        16361.00,   8.2335
de88,dhci,0,60,        18564.25,   9.3807
de88,dhci,0,70,        21244.11,  10.6477
de88,dhci,0,80,        24770.52,  12.2445
de88,dhci,0,90,        30210.51,  14.4874
de88,dhci,0,100,               .,  22.6456
de88,mi,0,10,          273.98,   0.0376
de88,mi,0,20,         4883.47,   0.8896
de88,mi,0,30,        10314.90,   3.8547
de88,mi,0,40,        13794.76,   5.8312
de88,mi,0,50,        17218.61,   7.5004
de88,mi,0,60,        20931.06,   9.1563
de88,mi,0,70,        25579.62,  11.1142
de88,mi,0,80,        31973.18,  13.7327
de88,mi,0,90,        42541.19,  17.5779
de88,mi,0,100,               .,  30.3056
de88,hcexp,0,10,.,.
de88,hcexp,0,20,.,.
de88,hcexp,0,30,.,.
de88,hcexp,0,40,.,.
de88,hcexp,0,50,.,.
de88,hcexp,0,60,.,.
de88,hcexp,0,70,.,.
de88,hcexp,0,80,.,.
de88,hcexp,0,90,.,.
de88,hcexp,0,100,.,.
de89,dhi,0,10,         8866.28,   3.6951
de89,dhi,0,20,        10933.89,   5.2146
de89,dhi,0,30,        12632.79,   6.2401
de89,dhi,0,40,        14425.88,   7.1455
de89,dhi,0,50,        16505.83,   8.1730
de89,dhi,0,60,        18758.29,   9.2702
de89,dhi,0,70,        21467.00,  10.5384
de89,dhi,0,80,        25271.83,  12.2396
de89,dhi,0,90,        31042.60,  14.6956
de89,dhi,0,100,               .,  22.7879
de89,dhci,0,10,         8866.28,   3.6951
de89,dhci,0,20,        10933.89,   5.2146
de89,dhci,0,30,        12632.79,   6.2401
de89,dhci,0,40,        14425.88,   7.1455
de89,dhci,0,50,        16505.83,   8.1730
de89,dhci,0,60,        18758.29,   9.2702
de89,dhci,0,70,        21467.00,  10.5384
de89,dhci,0,80,        25271.83,  12.2396
de89,dhci,0,90,        31042.60,  14.6956
de89,dhci,0,100,               .,  22.7879
de89,mi,0,10,          320.71,   0.0457
de89,mi,0,20,         5306.36,   1.0063
de89,mi,0,30,        10667.55,   3.9261
de89,mi,0,40,        14337.89,   5.8795
de89,mi,0,50,        17378.53,   7.4047
de89,mi,0,60,        21144.90,   9.0220
de89,mi,0,70,        26155.53,  10.9304
de89,mi,0,80,        32469.15,  13.6349
de89,mi,0,90,        43395.29,  17.5452
de89,mi,0,100,               .,  30.6052
de89,hcexp,0,10,.,.
de89,hcexp,0,20,.,.
de89,hcexp,0,30,.,.
de89,hcexp,0,40,.,.
de89,hcexp,0,50,.,.
de89,hcexp,0,60,.,.
de89,hcexp,0,70,.,.
de89,hcexp,0,80,.,.
de89,hcexp,0,90,.,.
de89,hcexp,0,100,.,.
de90,dhi,0,10,         9151.30,   3.6042
de90,dhi,0,20,        11490.96,   5.2786
de90,dhi,0,30,        13228.65,   6.1453
de90,dhi,0,40,        15234.42,   7.1288
de90,dhi,0,50,        17283.59,   8.1406
de90,dhi,0,60,        19702.85,   9.2848
de90,dhi,0,70,        22679.77,  10.6102
de90,dhi,0,80,        26315.24,  12.2448
de90,dhi,0,90,        32873.90,  14.7415
de90,dhi,0,100,               .,  22.8213
de90,dhci,0,10,         9151.30,   3.6042
de90,dhci,0,20,        11490.96,   5.2786
de90,dhci,0,30,        13228.65,   6.1453
de90,dhci,0,40,        15234.42,   7.1288
de90,dhci,0,50,        17283.59,   8.1406
de90,dhci,0,60,        19702.85,   9.2848
de90,dhci,0,70,        22679.77,  10.6102
de90,dhci,0,80,        26315.24,  12.2448
de90,dhci,0,90,        32873.90,  14.7415
de90,dhci,0,100,               .,  22.8213
de90,mi,0,10,          415.71,   0.0522
de90,mi,0,20,         5804.80,   1.1338
de90,mi,0,30,        10989.74,   3.9924
de90,mi,0,40,        14844.73,   5.8917
de90,mi,0,50,        18229.09,   7.5168
de90,mi,0,60,        21877.24,   9.1747
de90,mi,0,70,        26720.31,  11.1206
de90,mi,0,80,        33508.63,  13.6072
de90,mi,0,90,        44713.15,  17.6376
de90,mi,0,100,               .,  29.8730
de90,hcexp,0,10,.,.
de90,hcexp,0,20,.,.
de90,hcexp,0,30,.,.
de90,hcexp,0,40,.,.
de90,hcexp,0,50,.,.
de90,hcexp,0,60,.,.
de90,hcexp,0,70,.,.
de90,hcexp,0,80,.,.
de90,hcexp,0,90,.,.
de90,hcexp,0,100,.,.
de91,dhi,0,10,         8489.84,   3.6011
de91,dhi,0,20,        10270.58,   5.1235
de91,dhi,0,30,        11942.17,   6.0099
de91,dhi,0,40,        13735.90,   6.9905
de91,dhi,0,50,        15718.68,   7.9832
de91,dhi,0,60,        18039.45,   9.1428
de91,dhi,0,70,        21004.37,  10.5369
de91,dhi,0,80,        24717.86,  12.3793
de91,dhi,0,90,        31312.63,  15.0428
de91,dhi,0,100,               .,  23.1900
de91,dhci,0,10,         8489.84,   3.6011
de91,dhci,0,20,        10270.58,   5.1235
de91,dhci,0,30,        11942.17,   6.0099
de91,dhci,0,40,        13735.90,   6.9905
de91,dhci,0,50,        15718.68,   7.9832
de91,dhci,0,60,        18039.45,   9.1428
de91,dhci,0,70,        21004.37,  10.5369
de91,dhci,0,80,        24717.86,  12.3793
de91,dhci,0,90,        31312.63,  15.0428
de91,dhci,0,100,               .,  23.1900
de91,mi,0,10,          406.37,   0.0564
de91,mi,0,20,         5296.73,   1.1902
de91,mi,0,30,         9616.36,   3.7700
de91,mi,0,40,        12840.79,   5.6249
de91,mi,0,50,        16068.53,   7.2391
de91,mi,0,60,        19751.94,   8.9725
de91,mi,0,70,        24129.26,  10.8832
de91,mi,0,80,        30754.73,  13.5996
de91,mi,0,90,        42550.56,  17.8638
de91,mi,0,100,               .,  30.8003
de91,hcexp,0,10,.,.
de91,hcexp,0,20,.,.
de91,hcexp,0,30,.,.
de91,hcexp,0,40,.,.
de91,hcexp,0,50,.,.
de91,hcexp,0,60,.,.
de91,hcexp,0,70,.,.
de91,hcexp,0,80,.,.
de91,hcexp,0,90,.,.
de91,hcexp,0,100,.,.
de92,dhi,0,10,         8689.68,   3.6084
de92,dhi,0,20,        10758.21,   5.2231
de92,dhi,0,30,        12397.73,   6.2060
de92,dhi,0,40,        13930.57,   7.0542
de92,dhi,0,50,        16071.92,   8.0061
de92,dhi,0,60,        18268.92,   9.1669
de92,dhi,0,70,        20945.39,  10.4982
de92,dhi,0,80,        25034.46,  12.2142
de92,dhi,0,90,        31597.48,  14.9086
de92,dhi,0,100,               .,  23.1142
de92,dhci,0,10,         8689.68,   3.6084
de92,dhci,0,20,        10758.21,   5.2231
de92,dhci,0,30,        12397.73,   6.2060
de92,dhci,0,40,        13930.57,   7.0542
de92,dhci,0,50,        16071.92,   8.0061
de92,dhci,0,60,        18268.92,   9.1669
de92,dhci,0,70,        20945.39,  10.4982
de92,dhci,0,80,        25034.46,  12.2142
de92,dhci,0,90,        31597.48,  14.9086
de92,dhci,0,100,               .,  23.1142
de92,mi,0,10,          386.81,   0.0511
de92,mi,0,20,         4986.42,   1.0802
de92,mi,0,30,         9617.64,   3.6403
de92,mi,0,40,        13161.91,   5.5727
de92,mi,0,50,        16331.18,   7.1883
de92,mi,0,60,        20158.42,   8.8789
de92,mi,0,70,        24961.03,  11.0973
de92,mi,0,80,        31530.23,  13.6217
de92,mi,0,90,        43734.09,  18.1538
de92,mi,0,100,               .,  30.7158
de92,hcexp,0,10,.,.
de92,hcexp,0,20,.,.
de92,hcexp,0,30,.,.
de92,hcexp,0,40,.,.
de92,hcexp,0,50,.,.
de92,hcexp,0,60,.,.
de92,hcexp,0,70,.,.
de92,hcexp,0,80,.,.
de92,hcexp,0,90,.,.
de92,hcexp,0,100,.,.
de93,dhi,0,10,         8870.35,   3.6738
de93,dhi,0,20,        10918.95,   5.2954
de93,dhi,0,30,        12499.34,   6.3016
de93,dhi,0,40,        14186.28,   7.1103
de93,dhi,0,50,        16040.14,   8.0549
de93,dhi,0,60,        18364.21,   9.1525
de93,dhi,0,70,        21340.69,  10.5525
de93,dhi,0,80,        24967.91,  12.3079
de93,dhi,0,90,        31082.33,  14.7425
de93,dhi,0,100,               .,  22.8086
de93,dhci,0,10,         8870.35,   3.6738
de93,dhci,0,20,        10918.95,   5.2954
de93,dhci,0,30,        12499.34,   6.3016
de93,dhci,0,40,        14186.28,   7.1103
de93,dhci,0,50,        16040.14,   8.0549
de93,dhci,0,60,        18364.21,   9.1525
de93,dhci,0,70,        21340.69,  10.5525
de93,dhci,0,80,        24967.91,  12.3079
de93,dhci,0,90,        31082.33,  14.7425
de93,dhci,0,100,               .,  22.8086
de93,mi,0,10,          330.29,   0.0453
de93,mi,0,20,         4504.13,   0.9828
de93,mi,0,30,         9422.45,   3.5270
de93,mi,0,40,        13093.32,   5.6262
de93,mi,0,50,        16203.51,   7.2492
de93,mi,0,60,        20093.68,   8.9461
de93,mi,0,70,        24782.05,  11.1049
de93,mi,0,80,        31876.08,  13.9336
de93,mi,0,90,        42496.26,  18.1422
de93,mi,0,100,               .,  30.4428
de93,hcexp,0,10,.,.
de93,hcexp,0,20,.,.
de93,hcexp,0,30,.,.
de93,hcexp,0,40,.,.
de93,hcexp,0,50,.,.
de93,hcexp,0,60,.,.
de93,hcexp,0,70,.,.
de93,hcexp,0,80,.,.
de93,hcexp,0,90,.,.
de93,hcexp,0,100,.,.
de94,dhi,0,10,         8346.65,   3.3578
de94,dhi,0,20,        10481.01,   5.1467
de94,dhi,0,30,        12228.62,   6.1997
de94,dhi,0,40,        13996.68,   7.1488
de94,dhi,0,50,        16050.06,   8.1728
de94,dhi,0,60,        18225.34,   9.3575
de94,dhi,0,70,        20868.65,  10.6072
de94,dhi,0,80,        24377.70,  12.3211
de94,dhi,0,90,        30345.89,  14.7405
de94,dhi,0,100,               .,  22.9480
de94,dhci,0,10,         8346.65,   3.3578
de94,dhci,0,20,        10481.01,   5.1467
de94,dhci,0,30,        12228.62,   6.1997
de94,dhci,0,40,        13996.68,   7.1488
de94,dhci,0,50,        16050.06,   8.1728
de94,dhci,0,60,        18225.34,   9.3575
de94,dhci,0,70,        20868.65,  10.6072
de94,dhci,0,80,        24377.70,  12.3211
de94,dhci,0,90,        30345.89,  14.7405
de94,dhci,0,100,               .,  22.9480
de94,mi,0,10,          300.87,   0.0391
de94,mi,0,20,         3777.35,   0.8020
de94,mi,0,30,         8733.41,   3.2276
de94,mi,0,40,        12524.88,   5.3747
de94,mi,0,50,        15941.12,   7.1522
de94,mi,0,60,        19869.20,   8.9960
de94,mi,0,70,        24630.15,  11.1670
de94,mi,0,80,        31041.45,  13.9276
de94,mi,0,90,        42488.91,  18.2819
de94,mi,0,100,               .,  31.0319
de94,hcexp,0,10,.,.
de94,hcexp,0,20,.,.
de94,hcexp,0,30,.,.
de94,hcexp,0,40,.,.
de94,hcexp,0,50,.,.
de94,hcexp,0,60,.,.
de94,hcexp,0,70,.,.
de94,hcexp,0,80,.,.
de94,hcexp,0,90,.,.
de94,hcexp,0,100,.,.
de95,dhi,0,10,         8495.66,   3.3516
de95,dhi,0,20,        10727.96,   5.2288
de95,dhi,0,30,        12529.27,   6.2964
de95,dhi,0,40,        14410.49,   7.2797
de95,dhi,0,50,        16242.41,   8.2703
de95,dhi,0,60,        18266.44,   9.3192
de95,dhi,0,70,        20979.03,  10.5619
de95,dhi,0,80,        24519.60,  12.2859
de95,dhi,0,90,        30432.73,  14.6858
de95,dhi,0,100,               .,  22.7205
de95,dhci,0,10,         8495.66,   3.3516
de95,dhci,0,20,        10727.96,   5.2288
de95,dhci,0,30,        12529.27,   6.2964
de95,dhci,0,40,        14410.49,   7.2797
de95,dhci,0,50,        16242.41,   8.2703
de95,dhci,0,60,        18266.44,   9.3192
de95,dhci,0,70,        20979.03,  10.5619
de95,dhci,0,80,        24519.60,  12.2859
de95,dhci,0,90,        30432.73,  14.6858
de95,dhci,0,100,               .,  22.7205
de95,mi,0,10,          255.02,   0.0354
de95,mi,0,20,         3525.27,   0.6932
de95,mi,0,30,         8964.48,   3.1102
de95,mi,0,40,        12659.90,   5.3206
de95,mi,0,50,        16340.73,   7.0988
de95,mi,0,60,        20420.53,   8.9959
de95,mi,0,70,        25005.28,  11.0439
de95,mi,0,80,        32358.44,  13.9136
de95,mi,0,90,        43942.14,  18.3924
de95,mi,0,100,               .,  31.3960
de95,hcexp,0,10,.,.
de95,hcexp,0,20,.,.
de95,hcexp,0,30,.,.
de95,hcexp,0,40,.,.
de95,hcexp,0,50,.,.
de95,hcexp,0,60,.,.
de95,hcexp,0,70,.,.
de95,hcexp,0,80,.,.
de95,hcexp,0,90,.,.
de95,hcexp,0,100,.,.
de96,dhi,0,10,         8860.26,   3.5896
de96,dhi,0,20,        10965.13,   5.3058
de96,dhi,0,30,        12652.30,   6.3317
