country_name,year,bioweapons_status_current,bioweapons_status_current_num,bioweapons_status_hist,bioweapons_status_hist_num,chemweapons_status_current,chemweapons_status_current_num,chemweapons_status_hist,chemweapons_status_hist_num,num_bioweapons_curr_neither,num_bioweapons_curr_allepur,num_bioweapons_hist_neither,num_bioweapons_hist_allepur,num_bioweapons_hist_pur,num_bioweapons_hist_alleposs,num_bioweapons_hist_poss,num_bioweapons_hist_use,num_chemweapons_curr_neither,num_chemweapons_curr_allepur,num_chemweapons_curr_poss,num_chemweapons_curr_alleuse,num_chemweapons_curr_use,num_chemweapons_hist_neither,num_chemweapons_hist_pur,num_chemweapons_hist_alleposs,num_chemweapons_hist_poss,num_chemweapons_hist_alleuse,num_chemweapons_hist_use
Liechtenstein,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Lithuania,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Luxembourg,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Madagascar,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Malawi,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Malaysia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Maldives,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Mali,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Malta,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Marshall Islands,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Mauritania,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Mauritius,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Mexico,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Micronesia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Moldova,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Monaco,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Mongolia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Montenegro,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Morocco,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Mozambique,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Myanmar,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Namibia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Nauru,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Nepal,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Netherlands,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
New Zealand,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Nicaragua,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Niger,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Nigeria,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Niue,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
North Korea,2022,allegedly pursues,1,allegedly pursued,1,allegedly recently used,3,allegedly used,4,,,,,,,,,,,,,,,,,,,
North Macedonia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Norway,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Oman,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Pakistan,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Palau,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Palestine,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Panama,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Papua New Guinea,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Paraguay,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Peru,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Philippines,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Poland,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Portugal,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Qatar,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Romania,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Russia,2022,allegedly pursues,1,possessed,4,allegedly recently used,3,allegedly used,4,,,,,,,,,,,,,,,,,,,
Rwanda,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Saint Lucia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Samoa,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
San Marino,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Saudi Arabia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Senegal,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Serbia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,possessed,3,,,,,,,,,,,,,,,,,,,
Seychelles,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Sierra Leone,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Singapore,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
