Entity,Year,Gini coefficient,Palma ratio (S90/S40 ratio),S90/S10 ratio,S80/S20 ratio,S90/S50 ratio,P90/P10 ratio,P90/P50 ratio,P50/P10 ratio,P0-P10 - share of the bottom 10%,P0-P40 - share of the bottom 40%,P0-P50 - share of the bottom 50%,P10-P20 - share of national income,P20-P30 - share of national income,P30-P40 - share of national income,P40-P50 - share of national income,P50-P60 - share of national income,P50-P90 - share of the middle 40%,P60-P70 - share of national income,P70-P80 - share of national income,P80-P90 - share of national income,P90-P100 - share of the top 10%,P99.999-P100 - share of the top 0.001%,P99.99-P100 - share of the top 0.01%,P99.9-P100 - share of the top 0.1%,P99-P100 - share of the top 1%,Mean income,P0-P10 - mean income of the bottom 10%,P10-P20 - mean income,P20-P30 - mean income,P30-P40 - mean income,P40-P50 - mean income,P50-P60 - mean income,P60-P70 - mean income,P70-P80 - mean income,P80-P90 - mean income,P90-P100 - mean income of the top 10%,P99.999-P100 - mean income of the top 0.001%,P99.99-P100 - mean income of the top 0.01%,P99.9-P100 - mean income of the top 0.1%,P99-P100 - mean income of the top 1%,P0 - income threshold of the bottom 10%,P10 - income threshold,P20 - income threshold,P30 - income threshold,P40 - income threshold,P50 - income threshold (median),P60 - income threshold,P70 - income threshold,P80 - income threshold,P90 - income threshold of the top 10%,P99.999 - income threshold of the top 0.001%,P99.99 - income threshold of the top 0.01%,P99.9 - income threshold of the top 0.1%,P99 - income threshold of the top 1%
Bulgaria,1999,0.469961474987855,2.8903122,106.17647,16.723684,1.822312,12.569464,2.3405948,5.3702006,0.33999999999999997,12.49,19.81,2.7,4.54,5.5,6.7299999999999995,8.06,44.09,9.67,11.62,14.74,36.1,0.21,0.8,2.9899999999999998,10.89,12390.67916194776,418.3143471837419,3346.240832252395,5631.491836971959,6818.359491964468,8337.248750615587,9983.522535422851,11986.1990482498,14400.75219564829,18259.81847513577,44725.52896907664,2601338.721772561,988002.4662510114,370970.0389075906,134981.1640111452,0.0,1673.120416126197,4935.67098442009,6152.12472290693,7375.701037049815,8984.992217489167,10710.02525233922,12869.26145699033,15705.00537635674,21030.22646011886,1485211.940305434,561248.4148052939,207871.685658564,72719.99074950007
Bulgaria,2000,0.461311006126268,2.7596533,103.0,16.32353,1.734522,12.676208,2.3360655,5.4263062,0.33999999999999997,12.690000000000001,20.19,2.7199999999999998,4.62,5.62,6.890000000000001,8.21,44.78,9.85,11.790000000000001,14.93,35.02,0.19,0.73,2.77,10.24,12681.60898297536,431.8746354519771,3455.134056224587,5860.920956661797,7123.260519086606,8738.71546692061,10405.53514304339,12494.77834461301,14956.86098725471,18932.08003897918,44416.65573630017,2429298.3857052,928925.7691706612,351800.9962554392,129807.4346326828,0.0,1727.635514416679,5096.339854507362,6409.222309568319,7747.033779425427,9374.679289439968,11188.33360216424,13409.61839858819,16251.25214013171,21899.86555319993,1394121.046295085,530831.5924387721,198763.6920383993,71032.35123684425
Bulgaria,2001,0.472303948750618,2.9375508,109.75758,17.222973,1.8404472,13.032525,2.3734634,5.4909315,0.33,12.33,19.68,2.63,4.4799999999999995,5.489999999999999,6.74,8.05,44.11,9.700000000000001,11.61,14.760000000000002,36.22,0.26,0.9199999999999999,3.25,11.200000000000001,13596.44903695054,447.4895128517632,3579.642157596565,6089.802185916557,7470.623054927462,9163.741471934083,10943.01565985707,13184.84634759653,15781.98398248551,20061.83011611458,49241.37890761652,3533174.337043934,1253477.845555212,441480.7984502385,152258.4779635734,0.0,1789.821078798283,5280.020122868004,6716.725816257089,8158.088578344356,9827.784679251305,11808.95649250135,14159.13251377792,17200.33534629941,23325.88738310494,1915807.251591499,677470.2212371189,236391.4373936206,79285.08788784871
Bulgaria,2006,0.48512828895613,3.1447484,122.86207,19.653992,1.9416894,16.212065,2.6723843,6.0665174,0.29,11.33,18.35,2.34,4.07,5.21,6.45,7.85,46.02,9.83,12.280000000000001,16.06,35.63,0.5499999999999999,1.5,4.1000000000000005,11.51,17809.04161967352,519.9480228911212,4159.58418312897,7255.439086549707,9269.895243730876,11480.63314927953,13977.36986194006,17500.8532499409,21867.12909970388,28609.19484858343,63450.91734142182,9878346.474107465,2673881.74391153,729691.7131937455,205034.4350405011,0.0,2079.792091564485,6135.414064636984,8321.08598278072,10310.88707038328,12617.09488424466,15534.61145104679,19515.99427016592,24653.4259073043,33717.72526527133,4269675.643482681,1160339.621961578,321257.0633079788,94822.98668150598
Bulgaria,2009,0.47017883646793,2.8923328,107.45454,17.273037,1.8009142,13.542683,2.3949423,5.6547008,0.33,12.26,19.689999999999998,2.6,4.3999999999999995,5.54,6.819999999999999,8.14,44.85,9.76,11.799999999999999,15.15,35.46,0.5599999999999999,1.54,4.2299999999999995,11.87,19484.62754275758,633.3613429527251,5067.301661448111,8579.55329552981,10797.27680412574,13287.98672200038,15859.09956122305,19007.82589162903,23000.30349205853,29520.19966951306,69093.64093231292,10945061.20879645,2997072.175592298,824949.9988259226,231326.3272939128,0.0,2533.58234441967,7474.184342755482,9602.464737824566,11910.45319559996,14326.65001430369,17118.15178103737,20551.78113768506,25289.52670243243,34311.50152428951,4726922.40012018,1297634.801225284,360437.8041014349,104309.4356197023
Bulgaria,2010,0.471711934356797,2.9197683,110.3125,17.590279,1.8149101,13.979305,2.4379423,5.7340593,0.32,12.09,19.45,2.56,4.33,5.48,6.76,8.18,45.25,9.8,11.91,15.36,35.3,0.63,1.66,4.38,11.88,19722.54896419116,632.1285894737946,5056.754770572817,8542.570691161895,10806.31699630456,13327.98272376124,16123.18275093171,19334.36859093683,23487.92597927992,30296.97133384802,69617.15024303205,12496396.2650678,3275093.150078966,864511.2495265421,234350.2715777292,0.0,2528.377385286408,7458.569465355697,9537.539721267562,11911.13805864381,14497.86577526626,17483.86864645342,21038.7187618626,25989.04581542109,35344.95985745956,5177870.745288605,1361854.682792341,364292.8981752681,103515.8163244886
Bulgaria,2011,0.472339201989428,2.9331684,111.09375,17.6446,1.8249487,13.6557,2.3579025,5.7914605,0.32,12.120000000000001,19.48,2.55,4.35,5.510000000000001,6.76,8.23,44.97,9.82,11.83,15.09,35.55,0.7799999999999999,1.94,4.87,12.540000000000001,20153.73873659929,643.2233707841689,5145.649993664581,8761.45291997644,11098.20562559354,13614.52942130819,16592.31393596914,19794.04866596913,23832.00117251029,30419.15090087091,71637.08530456404,15658279.22546396,3905194.95586079,980524.035757384,252740.7619216316,0.0,2572.756510527905,7589.789224557408,9866.273982315688,12170.56417965429,14900.01735461514,17942.58991322432,21390.87533901041,26241.21238816675,35132.78928647474,6160543.744304982,1541686.705709588,392317.3569570121,106304.9895568732
Bulgaria,2012,0.493199300476185,3.3095238,125.1,19.662922,2.0407829,14.876505,2.4717839,6.0185299,0.3,11.34,18.39,2.37,4.05,5.19,6.4799999999999995,7.9,44.080000000000005,9.53,11.68,14.97,37.53,1.01,2.39,5.7,13.96,20851.47720567394,617.1985751178588,4937.725573551641,8452.853632417511,10819.46636674649,13510.29326603418,16468.35372503224,19881.43719036442,24346.74423626815,31216.46845652139,78264.50497990305,20996317.93200957,4981949.508827401,1189232.898000751,290995.8418250197,0.0,2468.931273080205,7283.244526130028,9525.623104304565,11958.94149910456,14859.33648981043,17951.08221496807,21813.84675489233,26838.68690762173,36729.06806908095,7818804.68696876,1861031.083508702,450038.9840188001,115870.7456355474
Bulgaria,2013,0.473553263833423,2.9476697,112.65625,17.742161,1.8364748,13.686646,2.3685217,5.7785602,0.32,12.23,19.63,2.55,4.390000000000001,5.58,6.79,8.14,44.32,9.69,11.63,14.87,36.05,0.7000000000000001,1.82,4.74,12.61,20585.20245422496,656.5097138348641,5251.529820243832,9045.260165347992,11478.85250536552,13970.65820411033,16751.61307996871,19943.62275474603,23936.64824561061,30607.48823792973,74209.70484248316,14398833.75728986,3736795.762652363,974946.5111282674,259528.5765218404,0.0,2625.764910121916,7746.074971164037,10135.83607637515,12645.03729643375,15173.14073650262,18161.19819682133,21581.67818302709,26278.60591036098,35937.91428082511,5913703.351451337,1538792.200541059,405533.570032017,111979.0798751727
Bulgaria,2014,0.495199772109004,3.3289473,126.5,19.44853,2.0703764,14.598485,2.5119445,5.8116269,0.3,11.4,18.33,2.42,4.109999999999999,5.13,6.370000000000001,7.829999999999999,43.72,9.43,11.52,14.95,37.95,0.88,2.18,5.45,13.88,21092.27505189169,637.3335486070566,5098.531416247683,8665.298148619862,10825.63013414114,13441.39604382284,16506.29513766155,19895.68234167651,24289.48968580227,31525.06774408032,80038.437236084,18479568.01450904,4596843.211831697,1148994.591694981,292703.0684207297,0.0,2549.334194428227,7520.48108451976,9643.693493064353,11854.70534383055,14815.77920022155,18027.64990327053,21616.19528043714,26916.07643157681,37216.4166110848,7245316.810761601,1806695.419335709,455984.9649655081,120528.7731419906
Bulgaria,2015,0.505358961376913,3.4645391,130.26666,19.977859,2.1783724,14.884383,2.6900947,5.5330334,0.3,11.28,17.94,2.41,4.09,5.0200000000000005,6.11,7.4399999999999995,42.980000000000004,9.09,11.39,15.06,39.08,0.8500000000000001,2.16,5.5,14.26,21439.08969729747,646.9216312209603,5174.825159332602,8777.067797376225,10767.41677541387,13103.34764537835,15948.26872953235,19484.49057014881,24418.51788326366,32290.05976406106,83779.57009942045,18188420.4070335,4623924.066311625,1180097.78380405,305760.8041873876,0.0,2587.412579666301,7632.935596319974,9768.06462182756,11757.72873682135,14316.24009603717,17376.75606639523,21443.74676599565,27412.87608358579,38512.04051744072,7308302.980041466,1861575.275683345,478730.9103230807,127647.1026471615
Bulgaria,2016,0.529434193753616,4.0,149.57143,22.317461,2.4913743,15.343743,2.6842167,5.7162833,0.27999999999999997,10.47,16.81,2.2399999999999998,3.7800000000000002,4.68,5.82,7.199999999999999,41.31,8.82,10.94,14.360000000000001,41.88,1.28,3.01,7.090000000000001,16.88,22118.06291897062,619.5271094669497,4956.353848344368,8362.725655846816,10360.60812736681,12875.42522438498,15915.39530342754,19514.48757146945,24194.84161314216,31752.85319246492,92627.72668074834,28305680.53215248,6655089.922954479,1568460.193655435,373397.8783980398,0.0,2478.108437867799,7310.502075275269,9219.215378485957,11422.28281794349,14165.57022639011,17484.69048210603,21448.12988947629,26923.19900723285,38023.45922195794,10403792.16659679,2449140.511756847,580259.6650121422,141181.3661197304
Bulgaria,2017,0.548608287578176,4.3641734,164.22223,23.558704,2.742115,15.004907,2.7476108,5.4610739,0.27,10.16,16.17,2.1999999999999997,3.6700000000000004,4.5,5.52,6.77,39.5,8.4,10.47,13.850000000000001,44.34,2.0,4.26,9.1,19.64,23127.1401277796,635.1419868667357,5081.272867542656,8492.164771134516,10417.72570522392,12758.99850693044,15666.24212807481,19423.40078663737,24216.48328532783,32038.03016392417,102542.6259391774,46175832.89214659,9846864.552735144,2104330.186535205,454218.9771206359,0.0,2540.567947466943,7494.86720667976,9287.427737653445,11370.91808965472,13874.22948753621,17159.92842671224,21499.90553559137,26908.54293809445,38120.98371940222,14993442.26187893,3201113.559219217,687898.2198880006,152274.5037587995
Bulgaria,2018,0.547216666320608,4.3408647,157.82143,23.195219,2.7227356,15.250181,2.8139193,5.4195514,0.27999999999999997,10.18,16.23,2.23,3.6700000000000004,4.5,5.56,6.77,39.58,8.36,10.41,14.030000000000001,44.190000000000005,1.82,3.9600000000000004,8.64,19.06,23822.27611728762,662.6734812295165,5301.798767662442,8753.371536059007,10713.72351277601,13242.51181588872,16136.33212137363,19926.09026082346,24803.82183173381,33413.37212858427,105269.0657167453,43292239.78346811,9426373.43685283,2057528.426762391,454147.4774188579,0.0,2650.967870135606,7820.177152508636,9530.280173002748,11690.74913113279,14367.05693389086,17607.82885739031,21777.54901356827,27607.6511332568,40427.73942369869,14416875.24142662,3143316.597222605,690312.4990901815,156565.3077011302
Bahrain,1995,0.650637410955198,8.3910351,319.35294,45.230263,5.0643659,29.16494,4.5152326,6.4592333,0.16999999999999998,6.47,10.72,1.35,2.31,2.98,3.91,4.93,34.99,6.510000000000001,9.09,14.46,54.290000000000006,0.88,2.37,6.710000000000001,20.830000000000002,72844.75923829024,1230.099345164218,9840.794761313748,16849.48772485849,21680.97532472782,28500.4639376942,35912.50371164096,47413.85126900494,66230.19682738296,105336.4049208496,395453.3566930752,64415971.60723358,17291994.41450213,4889518.580083113,1517572.315223634,0.0,4920.397380656874,14515.06384637584,18807.67143342312,24623.13008286189,31781.99383468803,40627.43275742906,54339.59791266862,77949.48177423835,143503.0968551405,42458556.79938896,6914237.706246981,2109193.176302607,649424.1455126877
Bahrain,2005,0.641680670737593,8.248826,329.4375,46.205479,4.8850789,30.224009,4.4405723,6.8063316,0.16,6.39,10.79,1.3,2.1999999999999997,3.0700000000000003,4.05,5.35,36.5,7.109999999999999,9.3,14.75,52.71,0.8200000000000001,2.18,6.21,20.169999999999998,69498.71553694447,1130.346908183074,9041.690999845234,15273.50764711835,21367.62256073271,28154.58320511827,37157.78277547622,49401.31014929231,64603.25626553287,102512.4351152257,366345.7040085392,57278525.89631949,15174072.89996368,4317002.479217269,1401754.314560429,0.0,4520.845499922617,13335.92498532156,17761.35511074047,23788.24555595449,30770.37401182491,43275.20939990682,55672.16035886239,74294.9645041846,136638.069086161,37418204.40259821,5993073.826944605,1910832.744701553,622092.5199126638
Bahrain,2015,0.662817736568158,8.9726248,348.25,48.068966,5.4467254,29.784126,4.5470591,6.5501952,0.16,6.21,10.23,1.29,2.2399999999999998,2.8400000000000003,3.6999999999999997,4.84,34.04,6.47,8.75,13.98,55.720000000000006,1.4000000000000001,3.58,9.19,24.34,62480.26418282548,1005.656361956644,8046.335161272513,14006.0011380862,17760.27084512111,23120.33793442857,30267.81689725143,40423.04868817965,54655.66134071215,87364.7022799532,348153.353314103,87193949.4195523,22377638.7547448,5743873.806850177,1520612.053887511,0.0,4023.167580636256,11867.82933670776,15468.6754586032,20023.13319272598,26352.53374574151,34045.39831510258,46381.63039937397,63574.83032556967,119826.5306579801,57038741.63886358,8304161.59863457,2143991.054957545,553094.1929590541
Burundi,1992,0.53970936914898,4.2611718,165.03847,24.344538,2.6487653,17.98605,3.0854795,5.8292556,0.26,10.07,16.2,2.12,3.62,4.5600000000000005,5.63,6.81,40.9,8.36,10.7,15.03,42.91,0.22,0.8500000000000001,3.26,12.53,2575.395997725316,68.17790584708645,545.4206686368368,931.1893106226144,1175.260091905329,1450.945313156065,1753.085686835631,2151.931513544301,2756.459475869498,3871.612815202802,11049.87662271303,569855.6297773267,218850.9571694943,84048.89884177258,32278.66934204161,0.0,272.7099046284426,804.4943618838977,1080.376954063509,1255.273235215311,1589.695787085261,1880.723088921226,2383.283041853948,3100.671940917629,4904.973808266411,327496.132794764,125773.6819722449,48302.91685255941,18550.55701447992
Burundi,1998,0.608977181100645,6.4974227,252.10001,36.101124,3.9329174,22.550602,3.3764229,6.678844,0.2,7.76,12.82,1.58,2.74,3.65,4.65,5.94,36.77,7.3999999999999995,9.58,13.84,50.42,0.31,1.18,4.55,17.47,2028.95997167571,39.98852467600815,319.9056192682106,556.8774924610619,740.3618439287892,943.1464368086396,1205.438507974294,1501.731517233452,1943.508672032255,2808.842694356867,10229.79769186757,625970.0740600819,240396.8353095501,92321.72495851676,35455.12799566745,0.0,159.9529528640972,471.8613255330803,649.3198480104593,828.5750475065665,1068.300803754193,1327.652363185591,1677.009076623763,2244.980161649523,3607.035366285966,363171.4466814904,139471.9348569296,53562.64299128986,20570.13570814442
Burundi,2006,0.554553378984108,4.5366836,167.18518,24.545082,2.8715012,17.501701,3.3370507,5.2446618,0.27,9.950000000000001,15.72,2.17,3.5999999999999996,4.390000000000001,5.29,6.39,39.14,7.88,10.12,14.75,45.14,0.16999999999999998,0.7100000000000001,3.0300000000000002,12.870000000000001,1833.163713331956,49.75165384569995,398.014376605535,659.522836485358,804.2477198378,969.9777111962688,1171.495291567536,1444.340118848373,1855.226001908394,2703.362828792341,8275.698021312282,308339.4721448176,130888.4554919357,55561.44832307527,23585.53595982847,0.0,199.0071883027675,587.0710909091706,716.471367735399,862.8401017051838,1043.725401739409,1267.015659643438,1585.694370800804,2114.016672691407,3482.964534229338,189759.5381448202,80551.90578921398,34193.85456963034,14515.10785164192
Burundi,2013,0.587368525268076,5.58776,210.39131,30.818628,3.4514978,21.041241,3.5772605,5.8819427,0.22999999999999998,8.66,14.02,1.81,3.1,3.9600000000000004,4.92,6.0,37.6,7.430000000000001,9.68,14.48,48.39,0.26,1.0,3.83,14.74,1828.533947072917,41.47253062236073,331.7825366587567,566.2561923324224,724.1237165140668,899.1524854084013,1096.406538609986,1359.320944090561,1770.839903714897,2648.452317097426,8847.531732760322,473389.8232982851,182127.8225058693,70070.25133370256,26958.2089601445,0.0,165.8914115593703,489.3796426156435,633.3227766721496,795.0338776871471,975.7637731801318,1195.725509301776,1511.130698993658,2034.814640825706,3490.561166541146,273403.5961253421,105186.8800222398,40468.67171334421,15569.55989070671
Benin,2003,0.590870980045707,5.697783,212.30435,30.897058,3.5205479,20.635626,3.50227,5.8920712,0.22999999999999998,8.57,13.87,1.81,3.0700000000000003,3.8899999999999997,4.88,6.01,37.3,7.470000000000001,9.62,14.2,48.83,0.42,1.43,4.84,16.35,5738.669853473953,130.0922104291281,1040.766474397822,1761.790405397959,2231.081243665486,2798.671043514174,3449.112744355606,4283.964350589416,5521.632705220536,8148.134251228545,28021.45310594085,2437128.411504556,822909.359938956,277859.7133287887,93820.80406094376,0.0,520.3820572413373,1535.127635241581,1963.026033807828,2462.040947322137,3066.128250873497,3791.01158710559,4722.580067805785,6382.239481406336,10738.4092117928,1270814.684427965,429097.3298577011,144886.9999104804,48921.86225478912
Benin,2011,0.625388542188162,7.0708447,273.1579,38.601154,4.3613443,26.149248,4.3671036,5.9877787,0.19,7.340000000000001,11.899999999999999,1.54,2.62,3.35,4.18,5.26,36.199999999999996,6.79,9.27,14.879999999999999,51.9,0.21,0.8699999999999999,3.65,15.329999999999998,5944.236398162216,114.7659774962558,918.1259320379288,1560.23477249411,1990.908903256657,2487.5794770636,3128.770782510497,4034.244737460516,5513.173825366418,8842.253733599939,30852.30442438716,1228508.334075084,516189.4513418807,216890.328020456,91132.06116887378,0.0,459.0624940359348,1354.234003418736,1745.965758385969,2200.974390181806,2748.764501944328,3478.282711525793,4584.417419555791,6582.297984140713,12004.13931744091,757350.5390874983,318220.3603690101,133708.4972026059,56181.06980409775
Benin,2015,0.639672440910232,8.0278597,342.1875,45.884354,4.7942204,27.988638,3.8595369,7.2518125,0.16,6.819999999999999,11.42,1.31,2.42,3.29,4.2299999999999995,5.319999999999999,33.83,6.83,8.98,12.7,54.75,0.33,1.25,4.67,17.51,6324.980388203443,103.6479452541168,829.1963055747298,1533.040526285275,2083.103708317713,2672.604376343375,3366.597839245902,4320.77997085395,5679.292972417838,8029.926101498381,34631.61272029406,2106705.273512305,789227.5342442996,295665.5053311048,110764.1263700567,0.0,414.5969728297912,1223.061423835156,1821.702515209489,2362.52426952495,3006.579567994656,3733.514614455845,4975.641792766346,6408.679026751052,11604.00484860007,1207747.556857656,452454.1841230741,169501.3019233004,63499.67169783459
Brunei,2005,0.483091419656557,3.0207469,101.11111,16.1838,1.9569893,12.107421,2.5660517,4.7183075,0.36,12.049999999999999,18.6,2.85,4.44,4.92,6.03,7.79,45.0,9.67,11.99,15.55,36.4,0.53,1.44,4.25,12.44,101339.746645188,3614.92577262066,28919.84704349294,45026.02472060276,49851.11813164494,61119.85824693814,78945.98759861816,97960.24146233678,121507.5907896121,157602.181562389,368850.4258945041,53876975.24624177,14641719.50405586,4303209.315005239,1260859.040530888,0.0,14459.99699883441,42656.82949696804,46167.85866723728,52366.38580611038,68226.70914696285,87427.1539515291,105507.6609816678,135846.0566849887,175073.2696251284,35335625.35782892,6000544.301044044,1888799.524442262,529466.343695964
Brunei,2011,0.462916172760366,2.697639,95.729729,15.227273,1.7648231,11.175724,2.3062527,4.8458371,0.37,13.13,20.07,2.93,5.029999999999999,5.35,6.39,8.23,44.519999999999996,9.85,11.61,14.829999999999998,35.42,0.5599999999999999,1.5,4.33,12.41,94082.414669056,3443.577203537539,27548.61762830032,47367.5925591709,50299.76923062501,60122.33330102372,77391.80023444741,92701.78018660667,109186.5118207989,139538.2803541254,333223.8841719242,52533267.99692579,14122025.02523961,4072661.137891483,1167679.071455948,0.0,13774.30881415016,40634.2991742485,47632.8448466452,50657.45569473163,66748.05622919754,84029.86731339565,96486.73194072748,118674.608186881,153937.8791866707,33992232.00263263,5638156.038079953,1730054.921116535,473890.6256426784
Brunei,2016,0.477724644783084,2.9629629,105.14286,16.5,1.922675,11.767441,2.325814,5.0594931,0.35000000000000003,12.42,19.139999999999997,2.77,4.760000000000001,5.06,6.21,8.19,44.06,9.8,11.39,14.680000000000001,36.8,0.58,1.58,4.64,13.25,89324.62627056961,3094.414081632312,24755.16569888261,42479.60276084948,45220.15118694821,55455.65649158667,73142.17937617494,87502.98230628629,101733.7307907385,131170.4156708226,328692.2582501263,51597558.00251024,14151216.14969179,4147531.645330254,1183774.521478219,0.0,12377.65632652925,36513.99799075575,42762.4895494301,45645.4365719624,62624.66900801117,79779.51168424376,90510.10560744228,110541.2823682923,145653.3375210953,33585659.76237577,5760937.721574497,1774359.988650241,471782.2740812415
Brazil,2002,0.698363969727814,11.454545,,77.69474,6.9120002,141.78035,5.3870082,26.318939,0.0,5.28,8.75,0.95,1.87,2.75,3.19,4.16,30.769999999999996,5.52,7.76,13.33,60.480000000000004,0.08,1.1900000000000002,4.55,21.51,19191.90980370121,1.747223834504819,1817.02318666273,3587.677740794371,5277.825596705366,6113.491396321222,7987.321757910929,10595.65813915978,14898.66723804488,25573.80166136905,116065.6600931535,1492087.445298143,2284017.678701509,873848.2852767904,412830.5083685186,0.0,263.5171947322397,2757.029609626323,4512.899962081384,5520.958513368382,6935.493009539027,9104.783401604616,12258.70162533038,18393.65251438821,37361.55926238367,1483468.076518253,1148019.826948785,627107.8890028548,215959.0611747416
Brazil,2003,0.700930979132034,11.696737,,81.109894,6.9645715,175.70277,5.0847874,34.554596,0.0,5.21,8.75,0.91,1.87,2.7199999999999998,3.25,4.25,30.31,5.59,7.6,12.870000000000001,60.940000000000005,0.08,0.65,4.46,23.26,18853.03798102955,0.0448006111411492,1710.039327257666,3518.326394747871,5129.625175050443,6133.472468890174,8010.662876315468,10533.16128661788,14328.66906249604,24272.7023126078,114893.8553081456,1486124.707958312,1218210.691647458,841367.0805890678,438547.0447769833,0.0,202.2747593022887,2748.696695954069,4452.463937651974,5424.233993914641,6989.522546575254,9130.678154844198,12071.7934756495,17545.39774304169,35540.23521705139,1486050.383744429,1034212.028055923,657279.7565880846,217767.6170458986
Brazil,2004,0.695779965311801,11.360377,,78.688171,6.7123747,145.28304,4.8810749,29.764557,0.0,5.3,8.97,0.9299999999999999,1.9300000000000002,2.74,3.37,4.3999999999999995,30.819999999999997,5.7,7.76,12.97,60.209999999999994,0.09,0.8,5.7299999999999995,23.48,19567.83173178659,1.747223834504819,1816.082373828766,3781.619586424405,5354.613844201295,6596.979591756504,8602.658151934613,11145.94404580651,15182.92711573547,25383.30946279689,117812.5703233804,1671574.91135082,1568545.78109363,1120423.54649806,459399.8028369092,0.0,248.5089899999547,2929.556763130889,4791.066956656779,5905.66136123743,7396.760101848301,9743.59531586626,12655.90384370781,18745.51651429079,36104.14050948503,1671574.866550209,1413000.881650061,715520.2374673006,217413.4234142167
Brazil,2005,0.694742419118252,11.060219,6061.0,74.612244,6.5880437,89.664925,4.6295505,19.367956,0.01,5.48,9.2,0.97,1.95,2.86,3.42,4.43,30.19,5.74,7.51,12.509999999999998,60.61,0.09,0.84,5.71,23.849999999999998,19705.01120310079,16.08341939967257,1901.741142330643,3835.60432284949,5629.107188663116,6743.163985910074,8730.787899798299,11300.81975852147,14807.85639926177,24652.3426914179,119432.4260204109,1734408.978092783,1657720.680760309,1125381.98853794,469880.9954146033,0.0,395.0965896537949,3048.278382654934,4864.450357705981,6072.0956316268,7652.213186575132,9839.42382309718,12811.63076803444,17925.4861279632,35426.30726291945,1734408.978092783,1425117.654939297,757436.5852631826,221833.0485039022
Brazil,2006,0.692342451537239,10.871841,,79.97802,6.4006376,192.30612,4.5460839,42.301487,0.0,5.54,9.41,0.91,1.9800000000000002,2.9899999999999998,3.54,4.3999999999999995,30.349999999999998,5.680000000000001,7.71,12.55,60.23,0.1,0.9400000000000001,5.8500000000000005,23.47,20028.9196216513,0.0,1816.664781773601,3962.614055434648,5987.332875347745,7087.367081307523,8820.165119024892,11379.26562862962,15451.23797585981,25144.02939869201,120640.5193004431,1993256.291521502,1879358.353799024,1171427.608662702,470081.3885482377,0.0,183.8169075121352,3198.405230588925,4959.696456992065,6624.979973719723,7775.728471491281,9992.193907088498,13111.79486268014,18797.08201771426,35349.11580992325,1993256.246720891,1556974.14164076,727315.2975679312,225831.9958549724
Brazil,2007,0.678960839244041,9.7749996,,71.459999,5.812686,257.28906,4.4664831,57.604397,0.0,6.0,10.09,1.0,2.13,3.2300000000000004,3.73,4.6,31.259999999999998,5.91,7.9399999999999995,12.809999999999999,58.650000000000006,0.19,1.46,6.660000000000001,23.89,20872.73913249484,0.0,2093.577359237044,4442.338999534073,6731.919032513645,7795.664743449092,9608.835077553684,12337.99870705021,16566.4147883853,26732.25586425689,122418.3419523573,3912967.810192472,3055416.912034165,1389232.634218903,498556.612188941,0.0,146.7668020984048,3646.500943222699,5557.426210837278,7378.43665189157,8454.412929668551,10758.37395882443,14239.91905182542,19963.15232449609,37761.49431804071,3912967.810192472,2110122.672937582,757295.3737368657,215593.4433872187
Brazil,2008,0.679478423163849,9.5460424,5909.0,60.881355,5.810226,66.533707,4.5692458,14.5612,0.01,6.1899999999999995,10.17,1.17,2.19,3.15,3.65,4.51,30.740000000000002,5.74,7.739999999999999,12.75,59.089999999999996,0.13999999999999999,1.23,6.41,23.419999999999998,21546.1819191686,27.19397096267758,2518.421554688562,4724.44844788989,6781.96131515831,7860.132822881206,9712.503691734304,12375.22801490851,16680.65634679523,27467.56829491657,127313.6599311396,3037748.850217818,2646441.048248231,1380343.162554443,504656.2601964196,0.0,588.1872236721481,3802.362269382757,5914.935087743648,7187.989253930545,8564.71203429806,10755.82032398939,14086.74576233383,20165.29268196496,39134.2746446278,3037748.89501843,2061329.431331533,808774.2327783814,228655.0615654207
Brazil,2009,0.676530183375449,9.4372988,5870.0,63.380531,5.6935015,95.03019,4.4672079,21.272839,0.01,6.22,10.31,1.1199999999999999,2.1999999999999997,3.2399999999999998,3.75,4.5600000000000005,30.990000000000002,5.7700000000000005,7.739999999999999,12.920000000000002,58.699999999999996,0.11,1.01,5.53,22.27,21016.45949303565,11.96176317468684,2351.852882465769,4613.835738982393,6807.945669620176,7877.067453892561,9576.04103019836,12122.46296685014,16268.7595279635,27160.50490615514,123374.0733898315,2333344.002779526,2117418.273259473,1161521.835134504,468119.7489888114,0.0,405.0871259382712,3737.535785061515,5731.073379620372,7224.456951399439,8617.352752388912,10771.7245409445,13907.49851715809,19730.95075695151,38495.5075309773,2332047.876298601,1641391.485207916,745066.5541191666,228499.7826472055
Brazil,2010,0.681059548890612,9.5473518,,63.796459,5.8142719,99.140076,4.505115,22.006115,0.0,6.23,10.23,1.13,2.1999999999999997,3.2300000000000004,3.66,4.47,30.29,5.64,7.5600000000000005,12.61,59.48,0.11,1.04,6.21,23.48,22093.82458975801,9.542530173064783,2507.266202514416,4849.890159085108,7140.948612232338,8088.34713603422,9880.416382291332,12462.00679868891,16711.65836970491,27863.38169434862,131424.743211896,2503931.110619235,2289849.28465253,1372116.381529982,518833.1895889806,0.0,402.9814972146372,3861.767879755921,6048.30650711085,7526.413070490786,8868.056972334782,11067.76697936521,14289.02052163612,20193.51706698388,39951.61699428693,2503256.771820338,1906637.177119204,887238.4263364904,235518.4703916336
