Entity,Year,unvaccinated,vaccinated_with,vaccinated_without
0.5-4,631,0.0,,0.0
12-17,631,0.0244909075,0.0,0.0
18-29,631,0.0256368153,0.0,0.0076132714
30-49,631,0.1126969977,0.0,0.0288279324
5-11,631,0.0119273771,,0.0293232086
50-64,631,1.222623405,0.0,0.2642441287
65-79,631,7.641952618,0.0,0.9114842893
80+,631,24.2163844,0.0,5.533659714
All ages,631,2.103956002,0.0,0.3851617328
0.5-4,638,0.0,,0.0
12-17,638,0.0478557169,0.0,0.0
18-29,638,0.0125996681,0.0,0.0074055072
30-49,638,0.1439645809,0.0,0.0364209121
5-11,638,0.0,,0.0
50-64,638,0.7673534542,0.364381026,0.1504845895
65-79,638,8.33935631,0.4313170698,0.9393922638
80+,638,25.13718207,1.869683089,5.244088264
All ages,638,2.148384687,0.1897081297,0.3588019043
0.5-4,645,0.0,,0.0
12-17,645,0.0,0.0,0.0
18-29,645,0.0378499894,0.0,0.0
30-49,645,0.2218355911,0.0,0.0530615385
5-11,645,0.0,,0.0
50-64,645,0.628871285,0.179215966,0.221301194
65-79,645,7.250649859,0.535716199,0.9908406821
80+,645,24.59685975,0.8374472932,4.986090446
All ages,645,2.00792852,0.126343691,0.3717257228
0.5-4,652,0.0,,0.0
12-17,652,0.0,0.0,0.0
18-29,652,0.0252657387,0.0,0.0149370653
30-49,652,0.1444221898,0.0,0.0206036838
5-11,652,0.0,,0.0
50-64,652,0.6999689494,0.0,0.1748522324
65-79,652,7.253234153,0.3362730322,0.8368403399
80+,652,22.96234058,0.9876811469,5.540684038
All ages,652,1.9242629,0.0775418807,0.3592547277
0.5-4,659,0.0,,0.0
12-17,659,0.0,0.0,0.0
18-29,659,0.0379485759,0.0,0.0
30-49,659,0.1891942095,0.0,0.0333009565
5-11,659,0.0116523376,,0.0
50-64,659,1.028727352,0.0797458977,0.1931695256
65-79,659,7.021734179,0.3408498848,0.9092629987
80+,659,22.60424407,2.580614083,6.06709511
All ages,659,1.962347186,0.1566368945,0.3937023319
0.5-4,666,0.0,,0.0
12-17,666,0.0,0.0,0.0
18-29,666,0.012666283,0.0,0.0075471311
30-49,666,0.1672184905,0.0,0.029447183
5-11,666,0.0,,0.0
50-64,666,0.8433539399,0.0,0.2176085637
65-79,666,8.428718,0.0758392753,1.01010086
80+,666,24.43531848,1.434368513,5.455947343
All ages,666,2.147550278,0.0662756857,0.3848813816
0.5-4,673,0.0,,0.0
12-17,673,0.0,0.0,0.0
18-29,673,0.0253661026,0.0,0.0075898696
30-49,673,0.178658767,0.0,0.0297678609
5-11,673,0.0,0.0,0.0
50-64,673,0.7745701758,0.0486727193,0.1215890055
65-79,673,7.572483204,0.2495384319,0.9246810313
80+,673,24.44155827,2.539290226,5.805490503
All ages,673,1.820351984,0.1237594447,0.3310886834
0.5-4,680,0.0,,0.0
12-17,680,0.0,0.0,0.0
18-29,680,0.0126983192,0.0,0.0152648113
30-49,680,0.0671025285,0.0,0.0214955956
5-11,680,0.0,0.0,0.0
50-64,680,0.8465850546,0.1218061909,0.1672765967
65-79,680,7.730735213,0.2134702389,0.807031949
80+,680,19.88530194,1.525017919,5.177557162
All ages,680,1.645703112,0.0955971385,0.3027962327
0.5-4,687,0.0,,0.0
12-17,687,0.0,0.0,0.0
18-29,687,0.0254277294,0.0,0.0
30-49,687,0.1792058523,0.0,0.0086855034
5-11,687,0.0,0.0,0.0
50-64,687,0.7302448624,0.035274364,0.1759629835
65-79,687,6.717371627,0.4750024047,0.6929733656
80+,687,22.80836476,2.381589362,5.474332472
All ages,687,1.669424523,0.1384842407,0.2965952567
0.5-4,694,0.0,,0.0
12-17,694,0.0,0.0,0.0
18-29,694,0.0,0.0,0.0077099558
30-49,694,0.1233646356,0.0,0.0219249626
5-11,694,0.0,0.0,0.0
50-64,694,0.8729914472,0.0636069599,0.1731665959
65-79,694,8.125218048,0.394359606,1.07410132
80+,694,22.44662562,2.923333389,5.512431258
All ages,694,1.79744763,0.1543988619,0.3412760914
0.5-4,701,0.0,,0.0
12-17,701,0.0,0.0,0.0
18-29,701,0.0127401746,0.0,0.0077448805
30-49,701,0.1122543991,0.035286861,0.0132658549
5-11,701,0.0117076373,0.0,0.0
50-64,701,0.6614274682,0.0585895846,0.198230212
65-79,701,7.97007845,0.3287396758,1.045595029
80+,701,23.72680374,2.948804637,5.913648316
All ages,701,1.793557972,0.1595361163,0.3540015036
