Entity,Year,0 or 1 dose,2 doses,3 doses,4 doses
61-70,541,0.5368925731650354,5.41550458964014,2.8189958032199978,0.7723683671901007
61-70,548,3.7617420089851894,0.0,3.768422877341604,0.22822990968181708
61-70,555,2.688764727708796,4.168229752823976,3.54924578527063,0.4521085211153517
61-70,562,2.691282934574912,2.803437013778893,5.362306286685394,1.0455032903482124
61-70,569,3.2322013445957594,5.668452229118839,0.8674531575294934,1.0356033017992128
61-70,576,3.7733814888685244,4.2920297008455295,1.8009094592769348,0.5142861341111299
61-70,583,2.69678435433589,1.445337341735561,5.154711640744715,0.6566294771186515
61-70,590,1.6190311717468266,5.841548010222709,2.9143190207888092,1.2327988304364979
61-70,597,4.319957664414889,8.836264027569143,5.002876654076093,0.9381858228575264
71-80,282,4.877239872411405,1.990128960356631,0.15029819161215852,
71-80,289,1.9687752249325694,4.178016946036733,0.44236891503125336,
71-80,296,9.910017045229317,2.594370216629913,0.1455767240287485,
71-80,303,5.975143403441683,4.459567332777374,0.2879985254475497,
71-80,310,5.0090664102024665,10.720211794097358,0.7094875513314244,
71-80,317,9.089807296085324,7.318118616248314,0.6860752789239046,
71-80,324,13.211516377198956,13.38586801534137,0.8011975232313898,
71-80,331,15.326453458669663,15.50517808343078,0.5218907056484231,
71-80,338,17.48665356882027,17.673714944186408,1.6657462350931729,
71-80,345,26.94998704327546,11.226620562678223,1.2674030278258335,
71-80,352,11.483093754240915,8.818412846022495,1.6279119274602445,
71-80,359,19.98212125992533,7.557690369822982,0.993872774346156,
71-80,366,16.95831434355425,6.201440506037545,0.8622016936104696,
71-80,373,18.10764462149697,6.382319152428017,0.9809451406430095,
71-80,380,9.821681908461924,12.194851555397884,1.0749284873964635,
71-80,387,13.131688954060975,10.489632746302405,1.5440915337461205,
71-80,394,9.874375994294805,12.221502511518766,2.021852659271443,0.0
71-80,401,20.645666040052593,38.47683053521271,5.833923670847645,10.8837614279495
71-80,408,35.238409866754765,49.5165619869172,10.011417783615123,7.995522507395858
71-80,415,59.642147117296226,56.28442395572292,14.239798201716912,0.0
71-80,422,56.47027559709012,55.32809560694921,12.559433031308872,5.24920605758379
71-80,429,68.82159666104253,59.94262634335707,19.151211225446996,1.6948405663479236
71-80,436,53.41107612191078,32.245298782007126,23.40641335725989,0.2502546340901868
71-80,443,42.371463934078925,34.36682853940979,15.739859472567147,2.4129050938620082
71-80,450,34.63493659572091,28.87099225041787,17.409233966503546,0.8061834268842019
71-80,457,33.584470540821926,23.15493740448588,11.17259304123863,0.9526077637532746
71-80,464,19.06748769025427,9.40144155437167,8.467134972403413,1.279136911505654
71-80,471,14.606249227554127,4.764324736374031,6.248910551778802,1.0655736249216359
71-80,478,10.125670825692202,16.105653084232564,4.131178694134415,1.3849120753946134
71-80,485,5.6317087730759265,6.505228577469141,4.61642809203027,0.17029218733502943
71-80,492,4.511464759820895,4.932020319923718,1.4889538238195388,0.33279752931114237
71-80,499,2.2582029221145814,8.308270052009771,2.3484652779408655,0.6505461334790557
71-80,506,1.1304544426859597,0.0,2.0842538787964684,0.633507811943206
71-80,513,5.6588612107699445,12.024805455826018,2.302036381382971,1.0681608711309687
71-80,520,3.3986631924776254,5.263804326847157,4.124242814795721,1.1767076602197797
71-80,527,4.536381781890764,3.580571817319226,5.708870442894169,1.571648602232884
71-80,534,2.270817721461498,10.966515572452114,7.616339587194394,0.9739008485458964
71-80,541,5.683820436744762,5.571341021783943,9.473477645976141,1.9191121638812125
71-80,548,7.964954201513342,3.755374880297426,8.518250351377826,2.306382574601301
71-80,555,7.972301945241675,22.666742222474074,9.515862210315195,2.426723074496354
71-80,562,10.257929949736143,13.304696557884933,8.306588635076459,2.5458043803914108
71-80,569,10.26612066113817,9.576526019421195,15.633549597436097,3.194492694594519
71-80,576,11.413961557777473,11.553347582462019,6.40989688078393,3.7098426099272737
71-80,583,10.277022860666408,11.636476474923393,9.90507635163021,3.4263951028906914
71-80,590,12.566832701183568,9.768677711784933,5.081515985602372,2.2300638847712873
71-80,597,8.001463124685657,3.9262647480319597,5.199622160789649,3.7894379218199754
80+,282,6.355460929803934,2.799787216171571,0.7086870863039134,
80+,289,9.570497346845459,5.813826733428777,0.0,
80+,296,7.471209161837064,10.47527834311026,1.369178424486387,
80+,303,17.12677021226491,14.5594985402187,2.0299965828390856,
80+,310,19.329274185754326,14.234087476375368,1.667183493549667,
80+,317,9.700366458288425,17.71270000590423,2.5961550943053338,
