country,series_code,indicator_name,year_1993,value_1993,year_2018,value_2018,pipwelfare_1993,pipwelfare_2018,pipreportinglevel_1993,pipreportinglevel_2018,region,population_1993,population_1993_total,weight_1993,weightedvalue_1993,population_2018,population_2018_total,weight_2018,weightedvalue_2018
Laos,gini_pip_disposable_perCapita,gini,1992,0.3430977463722229,2018,0.38802433013916016,consumption,consumption,national,national,S & SE Asia,4685293,4931067831,0.0009501578888339571,0.0003259970303567198,7105008,6706199961,0.0010594685576510205,0.00041109957738603937
Latvia,gini_pip_disposable_perCapita,gini,1993,0.2699313163757324,2018,0.35096150636672974,income,income,national,national,EE & CA,2638889,4931067831,0.00053515568847181,0.00014445527945515705,1935632,6706199961,0.00028863320677234425,0.00010129914503628172
Lesotho,gini_pip_disposable_perCapita,gini,1994,0.6324036717414856,2017,0.4487970173358917,consumption,consumption,national,national,SS Africa,1885486,4931067831,0.00038236870078050243,0.00024181137033261118,2198030,6706199961,0.00032776087989959656,0.00014709810529832637
Lithuania,gini_pip_disposable_perCapita,gini,1993,0.33641135692596436,2018,0.35707807540893555,income,income,national,national,EE & CA,3788532,4931067831,0.0007682984963586886,0.0002584643396842045,2876128,6706199961,0.00042887596801857426,0.0001531422052492167
Luxembourg,gini_pip_disposable_perCapita,gini,1993,0.2704790532588959,2018,0.35368093848228455,income,income,national,national,W. Eur and Offshoots,396705,4931067831,8.045012025712692e-05,2.176007236171201e-05,607920,6706199961,9.065044340093753e-05,3.2061333895878804e-05
Malawi,gini_pip_disposable_perCapita,gini,1997,0.6575556993484497,2019,0.3854317367076874,consumption,consumption,national,national,SS Africa,10257232,4931067831,0.002080123890309551,0.0013677973194239146,18367886,6706199961,0.002738940995917017,0.0010556747847961787
Malaysia,gini_pip_disposable_perCapita,gini,1992,0.4765372574329376,2018,0.41176775097846985,income,income,national,national,S & SE Asia,19050074,4931067831,0.0038632755932170425,0.0018409947558992545,32399270,6706199961,0.004831241267546213,0.001989349351171876
Mali,gini_pip_disposable_perCapita,gini,1994,0.5044123530387878,2018,0.35963359475135803,consumption,consumption,national,national,SS Africa,9506515,4931067831,0.0019278816122211238,0.000972447300400669,19934304,6706199961,0.0029725185821968068,0.0010690175431806478
Mauritania,gini_pip_disposable_perCapita,gini,1993,0.5005155801773071,2019,0.3199683725833893,consumption,consumption,national,national,SS Africa,2237070,4931067831,0.00045366847033339865,0.00022706813763707248,4270717,6706199961,0.0006368311450354022,0.000203765825087394
Mexico,gini_pip_disposable_perCapita,gini,1992,0.5231122374534607,2018,0.45955243706703186,income,income,national,national,LAC,86648440,4931067831,0.017571942420923473,0.009192098116212659,124013864,6706199961,0.018492419659599232,0.00849823652183512
Moldova,gini_pip_disposable_perCapita,gini,1997,0.36942145228385925,2018,0.256616473197937,consumption,consumption,national,national,EE & CA,4493699,4931067831,0.0009113034243312561,0.0003366550344877067,3141839,6706199961,0.00046849766160737957,0.00012022421762316628
Mongolia,gini_pip_disposable_perCapita,gini,1995,0.33195340633392334,2018,0.32740989327430725,consumption,consumption,national,national,East Asia,2270313,4931067831,0.0004604100121534102,0.00015283467184456755,3163994,6706199961,0.000471801320926941,0.00015447242013136693
Morocco,gini_pip_disposable_perCapita,gini,1990,0.3920690417289734,2013,0.3954850733280182,consumption,consumption,national,national,MENA,25806782,4931067831,0.005233507808949871,0.002051896391536075,35927516,6706199961,0.005357358296641462,0.002118755238791715
Mozambique,gini_pip_disposable_perCapita,gini,1996,0.535598635673523,2019,0.5045397877693176,consumption,consumption,national,national,SS Africa,14206253,4931067831,0.0028809688868382554,0.0015430430052084376,29423882,6706199961,0.004387564070727833,0.0022137006450693043
Netherlands,gini_pip_disposable_perCapita,gini,1993,0.304349809885025,2018,0.2812108099460602,income,income,national,national,W. Eur and Offshoots,15251088,4931067831,0.0030928570692379106,0.0009413104610241137,17286042,6706199961,0.0025776210224161553,0.0007248548954476388
Nicaragua,gini_pip_disposable_perCapita,gini,1993,0.5735928416252136,2014,0.4615629315376282,income,income,national,national,LAC,4526690,4931067831,0.0009179938616017793,0.0005265547076706677,6572234,6706199961,0.000980023565986836,0.0004523425500928442
Niger,gini_pip_disposable_perCapita,gini,1992,0.360975444316864,2018,0.3725942373275757,consumption,consumption,national,national,SS Africa,9193081,4931067831,0.0018643185036324437,0.0006729732001968724,22577060,6706199961,0.0033665951106882004,0.0012543739376576152
Nigeria,gini_pip_disposable_perCapita,gini,1992,0.4498405456542969,2018,0.3512774407863617,consumption,consumption,national,national,SS Africa,102775472,4931067831,0.020842437281816412,0.009375773359617754,198387616,6706199961,0.02958271706088783,0.010391741140655717
Norway,gini_pip_disposable_perCapita,gini,1991,0.25227585434913635,2018,0.275608628988266,income,income,national,national,W. Eur and Offshoots,4312138,4931067831,0.00087448361040402,0.00022061109992899144,5312321,6706199961,0.0007921507009772863,0.00021832356864844374
