,id,continent,country,color,type,sex,label,short_label,ages,total,ICD,cancers,ui_upper,ui_lower,asr,crude_rate,cum_risk
76,316,6,316,,1,0,Guam,,[],86,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 86}}",114.1,64.8,35.051071103877,50.952998820971,10.359762503805
77,762,4,762,,1,0,Tajikistan,,[],340,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 340}}",383.8,301.2,5.8862621257914,3.5648224162744,1.6215309301475
78,24,1,24,,1,0,Angola,,[],369,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 369}}",675.2,201.7,2.9198490080813,1.1227316712685,0.8076476338455
79,442,5,442,,1,0,Luxembourg,,[],269,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 269}}",318.4,227.3,21.953078596569,42.972893529464,6.4276529266473
80,170,2,170,,1,0,Colombia,,[],6090,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 6090}}",6349.4,5841.2,9.1815580343284,11.96866121032,3.1584774192047
81,608,4,608,,1,0,Philippines,,[],17063,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 17063}}",18070.7,16111.5,18.842406781193,15.571117953431,5.3927549213038
82,196,5,196,,1,0,Cyprus,,[],449,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 449}}",532.7,378.4,20.07047655809,37.188545927854,5.6647488124175
83,638,1,638,,1,0,"France, La Réunion",,[],300,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 300}}",355.7,253.0,19.948874653925,33.508021820424,5.2339275387719
84,352,5,352,,1,0,Iceland,,[],144,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 144}}",175.7,118.0,20.03144065782,42.197802197802,6.4121619495919
85,795,4,795,,1,0,Turkmenistan,,[],444,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 444}}",501.5,393.1,8.7915756608852,7.3617349287959,1.6278328622487002
86,50,4,50,,1,0,Bangladesh,,[],12003,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 12003}}",14584.2,9878.6,8.7598685436735,7.2882658137107,2.0839038333335
87,474,2,474,,1,0,"France, Martinique",,[],89,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 89}}",114.2,69.4,8.5734595391204,23.716573621308,2.5175358596068
88,226,1,226,,1,0,Equatorial Guinea,,[],18,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 18}}",50.6,6.4,2.7645309574879002,1.2829787916478,0.44897866524369
89,686,1,686,,1,0,Senegal,,[],215,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 215}}",935.2,49.4,2.4909589573848,1.2840474130028001,0.4905869210398
90,380,5,380,,1,0,Italy,,[],33602,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 33602}}",34305.3,32913.1,18.047037214612,55.575560831538,5.656831455001
91,840,3,840,,1,0,United States of America,,[],138225,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 138225}}",140313.0,136168.0,18.919718792833,41.759484024438,5.9967671553793
92,72,1,72,,1,0,Botswana,,[],52,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 52}}",85.2,31.7,3.3031399873591,2.2112369106469,0.8826845764961
93,504,1,504,,1,0,Morocco,,[],6551,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 6551}}",7277.9,5896.7,16.29074501667,17.748309304888,3.3901990058186
94,254,2,254,,1,0,French Guiana,,[],35,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 35}}",53.7,22.8,13.821808601083,11.718148398631,4.4024883722672
95,706,1,706,,1,0,Somalia,,[],252,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 252}}",932.5,68.1,3.5063971711804998,1.5855818761448002,0.92459685520606
96,408,4,408,,1,0,"Korea, Democratic Republic of",,[],11440,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 11440}}",13336.5,9813.2,30.775768170856,44.377524723305,8.8211047790502
97,108,1,108,,1,0,Burundi,,[],165,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 165}}",610.6,44.6,3.4221447794838,1.3876296266831,0.86969356346042
98,548,6,548,,1,0,Vanuatu,,[],15,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 15}}",29.1,7.7,8.5899035387756,4.8836073579684,1.2668930273966001
99,276,5,276,,1,0,Germany,,[],50282,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 50282}}",51410.3,49178.5,23.114217869082,60.013884521671,5.9775872576229
100,748,1,748,,1,0,Eswatini,,[],21,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 21}}",38.5,11.5,3.3033786408806,1.8100889184633,0.94164367547486
101,428,5,428,,1,0,Latvia,,[],856,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 856}}",958.3,764.6,19.686023277606,45.382201906265,4.7231846361622
102,144,4,144,,1,0,Sri Lanka,,[],1909,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 1909}}",2063.0,1766.5,6.2461334456221,8.915040920925101,1.4999290663662
103,591,2,591,,1,0,Panama,,[],302,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 302}}",360.7,252.8,5.6289039152406,6.99921757091,1.8895390195
104,328,2,328,,1,0,Guyana,,[],29,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 29}}",45.9,18.3,3.4270242266543,3.686945289546,0.96699612615965
105,780,2,780,,1,0,Trinidad and Tobago,,[],220,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 220}}",262.5,184.4,10.254837032295,15.720001057527,2.8591998487931
106,36,6,36,,1,0,Australia,,[],8867,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 8867}}",9180.8,8563.9,15.787555786063,34.772711292261,5.2399485507538
107,458,4,458,,1,0,Malaysia,,[],4509,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 4509}}",4741.4,4288.0,13.469227055283,13.93128677818,3.719695741224
108,180,1,180,,1,0,"Congo, Democratic Republic of",,[],843,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 843}}",2370.7,299.8,2.0719848172095,0.94125366770713,0.67369973266337
109,624,1,624,,1,0,Guinea-Bissau,,[],22,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 22}}",95.7,5.1,2.1717127931012,1.1178873149261,0.27475504266127
110,208,5,208,,1,0,Denmark,,[],3927,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 3927}}",4171.5,3696.8,26.99984852016,67.798038155776,8.0112707237392
111,646,1,646,,1,0,Rwanda,,[],313,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 313}}",606.7,161.5,4.4780399743684,2.416576199473,1.0112304613955
112,364,4,364,,1,0,"Iran, Islamic Republic of",,[],9071,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 9071}}",9305.2,8842.7,10.878799168959,10.799715542803,3.8406092377345002
