country_year,gini,wgini,w2,w1,whalf,ede2,ede1,edehalf,a2,a1,ahalf,ge2,ge1,ge0,gem1,p75p50,p25p50,p10p50,p90p50,p75p25,p90p10,p95,p90,p75,p50,p25,p10,p5,max,min,sumw,sd,Var,mean
AR2010,.530047,51947.359,-.0012169495,11.041715,580.69519,821.72675,62424.602,84301.734,.99256605,.43526235,.23734619,1.2964386,.57047606,.57139397,66.759186,1.8097045,.60610807,.30318633,3.7125008,2.9857788,12.244948,376004.19,237170.36,115611.63,63884.258,38720.762,19368.834,12425.386,8344123.5,8.4517689,.99008995,178702.36,31934533632,110537.35
AR2011,.52030295,58353.305,-.000020984151,11.222197,613.15289,47655.016,74771.805,93989.125,.60824889,.38533363,.22735643,1.4682893,.55990517,.48667562,.77632064,1.8164598,.61749107,.31911165,3.5699012,2.9416778,11.186997,375893.19,256443.7,130485.31,71834.961,44357.445,22923.371,14680.258,11044116,4327.9526,.98008996,209297.17,43805306880,121646.16
AR2012,.49586663,60500.348,-.000020265576,11.253298,619.49146,49344.762,77133.891,95942.422,.58882314,.35726374,.20053723,.72825998,.45309508,.44202083,.71602178,1.8291377,.61375159,.3156679,3.6188426,2.9802573,11.464082,404304.53,269646.34,136292.28,74511.766,45731.711,23520.973,14897.451,2604636,4879.0254,.98008996,145416.88,21146066944,120008.62
AR2013,.49907139,62619.348,-.000019643674,11.28596,629.65588,50906.973,79694.883,99116.625,.59276551,.36247426,.20710844,.91449577,.48431081,.45016062,.72779381,1.771691,.63061482,.31306195,3.396368,2.8094661,10.848869,380547.13,263220.72,137307.19,77500.648,48873.055,24262.502,14714.634,3988556.5,5043.7056,.98008996,169739.42,28811470848,125006.53
AR2014,.51328611,58260.605,-.000020717838,11.220834,612.32367,48267.586,74670,93735.07,.59676862,.37620068,.21692951,.96498406,.50880384,.47192657,.73998284,1.8559128,.61649173,.32186005,3.6897681,3.0104425,11.463889,396462.06,263112.81,132342.86,71308.766,43961.266,22951.443,14208.873,5005338.5,5780.9414,.98008996,166963.09,27876673536,119701.95
AR2015,.50815898,59848.277,-.000019185551,11.249337,615.7124,52122.563,76828.961,94775.445,.57164997,.36860952,.22112294,1.4245809,.55803639,.45983079,.66726959,1.698831,.63714916,.32452789,3.1415455,2.6663003,9.6803551,361813.56,235246.84,127212.74,74882.523,47711.332,24301.467,16071.514,5065157.5,6652.2842,.98008996,206219.47,42526466048,121682.16
AR2016,.51873815,58102.48,-.000018986131,11.215808,601.18457,52670.023,74295.656,90355.719,.56373507,.3846103,.2515851,9.8573217,.78332281,.48549956,.64609253,1.5517099,.65650469,.32703328,2.6280122,2.3635929,8.0359173,308133.31,195138.41,115219.48,74253.234,48747.598,24283.279,17005.572,45992192,7136.1309,.98008996,538210.13,289670103040,120729.45
AR2017,.50507849,58975.754,-.000018981134,11.230716,607.11285,52683.891,75411.57,92146.5,.55787951,.36715001,.22671139,1.933503,.60236448,.45752186,.63091344,1.5752261,.65068263,.31465596,2.7200425,2.4208822,8.6444969,323734.47,204005.39,118143.23,75000.813,48801.723,23599.453,15827.508,8122480.5,8381.3867,.98008996,235271.22,55352545280,119161.84
AR2018,.53288388,52927.793,-.000021476355,11.126343,580.73798,46562.836,67937.43,84314.148,.58905804,.40041578,.25588247,2.9010627,.71954113,.51151884,.71671677,1.6136371,.6404599,.31299385,2.8563423,2.5194976,9.1258736,304145.25,191945.95,108436.28,67199.914,43038.852,21033.16,14361.401,9979458,6029.0957,.98008996,274029.06,75091927040,113307.56
AT2004,.41423896,34730.383,-.000045600729,10.641129,446.1676,21929.475,41820,49766.383,.63013846,.29466578,.1606424,.88644403,.38527629,.34908351,.8518573,1.4867089,.68602514,.366934,2.1830738,2.1671345,5.9494996,136879.08,98027.656,66758.438,44903.504,30804.934,16476.623,7804.5449,1592002.4,867.27271,.95008999,79271.477,6283966976,59291.039
