year,count,var
2010-2014,60,E015
2017-2022,90,E015
1981-1984,24,E016
1989-1993,42,E016
1994-1998,54,E016
1999-2004,70,E016
2005-2010,57,E016
2010-2014,60,E016
2017-2022,64,E016
1981-1984,16,E017
1989-1993,40,E017
1999-2004,32,E017
1981-1984,24,E018
1989-1993,40,E018
1994-1998,54,E018
1999-2004,70,E018
2005-2010,82,E018
2010-2014,60,E018
2017-2022,90,E018
1981-1984,24,E019
1989-1993,42,E019
1994-1998,53,E019
1999-2004,70,E019
2005-2010,56,E019
1981-1984,16,E020
1989-1993,40,E020
1999-2004,33,E020
1981-1984,24,E022
1989-1993,42,E022
1994-1998,53,E022
1999-2004,50,E022
2005-2010,55,E022
1981-1984,7,E023
1989-1993,42,E023
1994-1998,52,E023
1999-2004,63,E023
2005-2010,82,E023
2010-2014,60,E023
2017-2022,90,E023
1981-1984,23,E025
1989-1993,41,E025
1994-1998,53,E025
1999-2004,67,E025
2005-2010,80,E025
2010-2014,56,E025
2017-2022,90,E025
2005-2010,50,E025B
2010-2014,55,E025B
1981-1984,23,E026
1989-1993,40,E026
1994-1998,51,E026
1999-2004,67,E026
2005-2010,80,E026
2010-2014,55,E026
2017-2022,90,E026
2005-2010,49,E026B
2010-2014,54,E026B
1981-1984,23,E027
1989-1993,41,E027
1994-1998,52,E027
1999-2004,67,E027
2005-2010,79,E027
2010-2014,55,E027
2017-2022,90,E027
1981-1984,23,E028
1989-1993,40,E028
1994-1998,52,E028
1999-2004,66,E028
2005-2010,46,E028
2010-2014,55,E028
2017-2022,90,E028
1981-1984,23,E029
1989-1993,40,E029
1994-1998,52,E029
1999-2004,65,E029
2005-2010,46,E029
1981-1984,16,E032
1989-1993,41,E032
1999-2004,30,E032
2005-2010,46,E032
1981-1984,23,E033
1989-1993,39,E033
1994-1998,52,E033
1999-2004,66,E033
2005-2010,78,E033
2010-2014,55,E033
2017-2022,79,E033
1981-1984,22,E034
1989-1993,41,E034
1994-1998,53,E034
1999-2004,43,E034
2005-2010,46,E034
2017-2022,64,E034
1989-1993,42,E035
1994-1998,54,E035
1999-2004,62,E035
2005-2010,82,E035
2010-2014,60,E035
2017-2022,90,E035
1989-1993,42,E036
1994-1998,54,E036
1999-2004,58,E036
2005-2010,82,E036
2010-2014,60,E036
2017-2022,90,E036
1989-1993,42,E037
1994-1998,53,E037
1999-2004,71,E037
2005-2010,82,E037
2010-2014,60,E037
2017-2022,90,E037
1989-1993,40,E038
1999-2004,32,E038
2005-2010,46,E038
2017-2022,36,E038
1989-1993,42,E039
1994-1998,52,E039
1999-2004,61,E039
2005-2010,81,E039
2010-2014,60,E039
2017-2022,90,E039
1989-1993,42,E040
1994-1998,52,E040
2005-2010,55,E040
2010-2014,60,E040
2017-2022,64,E040
1989-1993,42,E041
1994-1998,51,E041
2005-2010,55,E041
2010-2014,60,E041
1999-2004,33,E042
2005-2010,46,E042
1989-1993,42,E045
1994-1998,51,E045
1999-2004,10,E045
1989-1993,42,E046
1994-1998,53,E046
1999-2004,16,E046
1989-1993,39,E047
1989-1993,38,E048
1989-1993,38,E049
1989-1993,38,E050
1989-1993,38,E051
1989-1993,38,E052
1989-1993,38,E053
1989-1993,38,E054
1989-1993,38,E055
1989-1993,38,E056
1989-1993,38,E057
1989-1993,38,E058
1989-1993,37,E059
1989-1993,38,E060
1989-1993,38,E061
1981-1984,24,E069_01
1989-1993,42,E069_01
1994-1998,53,E069_01
1999-2004,68,E069_01
2005-2010,80,E069_01
2010-2014,60,E069_01
2017-2022,90,E069_01
1981-1984,22,E069_02
1989-1993,42,E069_02
1994-1998,53,E069_02
1999-2004,67,E069_02
2005-2010,79,E069_02
2010-2014,59,E069_02
2017-2022,87,E069_02
1981-1984,16,E069_03
1989-1993,40,E069_03
1999-2004,33,E069_03
2005-2010,48,E069_03
2017-2022,36,E069_03
1981-1984,24,E069_04
1989-1993,42,E069_04
1994-1998,53,E069_04
1999-2004,68,E069_04
2005-2010,81,E069_04
2010-2014,60,E069_04
2017-2022,90,E069_04
1981-1984,24,E069_05
1989-1993,42,E069_05
1994-1998,52,E069_05
1999-2004,67,E069_05
2005-2010,81,E069_05
2010-2014,58,E069_05
2017-2022,90,E069_05
1981-1984,23,E069_06
1989-1993,42,E069_06
1994-1998,53,E069_06
1999-2004,67,E069_06
2005-2010,80,E069_06
2010-2014,60,E069_06
2017-2022,89,E069_06
1981-1984,24,E069_07
1989-1993,39,E069_07
1994-1998,52,E069_07
1999-2004,67,E069_07
2005-2010,79,E069_07
2010-2014,60,E069_07
2017-2022,90,E069_07
1981-1984,24,E069_08
1989-1993,39,E069_08
1994-1998,52,E069_08
1999-2004,68,E069_08
2005-2010,81,E069_08
2010-2014,59,E069_08
2017-2022,90,E069_08
1989-1993,40,E069_09
1999-2004,33,E069_09
2005-2010,46,E069_09
2017-2022,36,E069_09
1989-1993,7,E069_10
1994-1998,53,E069_10
1999-2004,38,E069_10
2005-2010,58,E069_10
2010-2014,60,E069_10
2017-2022,64,E069_10
1989-1993,8,E069_11
1994-1998,52,E069_11
1999-2004,37,E069_11
2005-2010,80,E069_11
2010-2014,60,E069_11
2017-2022,89,E069_11
1989-1993,11,E069_12
1994-1998,53,E069_12
1999-2004,36,E069_12
2005-2010,80,E069_12
2010-2014,58,E069_12
2017-2022,90,E069_12
1981-1984,23,E069_13
1989-1993,42,E069_13
1994-1998,53,E069_13
1999-2004,53,E069_13
2005-2010,81,E069_13
2010-2014,60,E069_13
2017-2022,90,E069_13
1994-1998,53,E069_14
1999-2004,36,E069_14
2005-2010,81,E069_14
2010-2014,60,E069_14
2017-2022,90,E069_14
1994-1998,52,E069_15
1999-2004,37,E069_15
2005-2010,57,E069_15
2010-2014,60,E069_15
2017-2022,64,E069_15
1999-2004,33,E069_16
2005-2010,46,E069_16
2017-2022,36,E069_16
1981-1984,24,E069_17
1989-1993,42,E069_17
1994-1998,53,E069_17
1999-2004,33,E069_17
2005-2010,78,E069_17
2010-2014,60,E069_17
2017-2022,89,E069_17
1989-1993,27,E069_18
1994-1998,30,E069_18
1999-2004,43,E069_18
2005-2010,56,E069_18
2010-2014,13,E069_18
2017-2022,44,E069_18
1994-1998,47,E069_18A
1999-2004,35,E069_18A
2005-2010,55,E069_18A
2010-2014,59,E069_18A
2017-2022,84,E069_18A
1989-1993,31,E069_19
1999-2004,47,E069_19
2005-2010,47,E069_19
2017-2022,60,E069_19
1994-1998,52,E069_20
1999-2004,69,E069_20
2005-2010,81,E069_20
2010-2014,60,E069_20
2017-2022,89,E069_20
1999-2004,6,E069_21
2005-2010,3,E069_21
2010-2014,6,E069_21
2017-2022,7,E069_21
1994-1998,1,E069_22
1999-2004,3,E069_22
2010-2014,4,E069_22
2017-2022,8,E069_22
1994-1998,2,E069_23
1999-2004,1,E069_23
2005-2010,5,E069_23
2010-2014,6,E069_23
1994-1998,2,E069_24
1999-2004,2,E069_24
2005-2010,4,E069_24
2010-2014,2,E069_24
2017-2022,1,E069_24
1994-1998,1,E069_25
1999-2004,1,E069_25
1994-1998,3,E069_26
1999-2004,2,E069_26
2005-2010,4,E069_26
2010-2014,4,E069_26
2017-2022,9,E069_26
1994-1998,2,E069_27
1999-2004,3,E069_27
2010-2014,2,E069_27
2017-2022,2,E069_27
1994-1998,2,E069_29
1999-2004,2,E069_29
2005-2010,2,E069_29
2010-2014,4,E069_29
2017-2022,3,E069_29
1994-1998,2,E069_30
1999-2004,1,E069_30
2010-2014,1,E069_30
2017-2022,2,E069_30
1994-1998,2,E069_31
1999-2004,1,E069_31
2005-2010,1,E069_31
1999-2004,1,E069_33
2005-2010,1,E069_33
2005-2010,54,E069_40
2010-2014,60,E069_40
2017-2022,64,E069_40
2005-2010,1,E069_41
2010-2014,60,E069_41
2017-2022,64,E069_41
2005-2010,1,E069_42
2010-2014,2,E069_42
2005-2010,2,E069_43
2010-2014,7,E069_43
2017-2022,5,E069_43
2005-2010,1,E069_44
2010-2014,1,E069_44
2005-2010,1,E069_45
2017-2022,63,E069_45
2010-2014,60,E069_54
2017-2022,64,E069_54
2010-2014,2,E069_55
2017-2022,6,E069_55
2010-2014,1,E069_56
2017-2022,1,E069_56
2010-2014,1,E069_59
2017-2022,6,E069_59
1989-1993,41,E104
1989-1993,38,E105
1989-1993,38,E106
1989-1993,41,E107
1989-1993,41,E108
1989-1993,38,E109
1994-1998,10,E110
1999-2004,67,E110
2005-2010,46,E110
1994-1998,49,E111
1999-2004,51,E111
2005-2010,46,E111
2017-2022,89,E111_01
1994-1998,51,E112
1999-2004,57,E112
1994-1998,50,E113
1999-2004,3,E113
1994-1998,53,E114
1999-2004,69,E114
2005-2010,81,E114
2010-2014,59,E114
2017-2022,90,E114
1994-1998,52,E115
1999-2004,69,E115
2005-2010,81,E115
2010-2014,59,E115
2017-2022,90,E115
1994-1998,53,E116
1999-2004,67,E116
2005-2010,81,E116
2010-2014,57,E116
2017-2022,88,E116
1994-1998,52,E117
1999-2004,69,E117
2005-2010,81,E117
2010-2014,59,E117
2017-2022,90,E117
1994-1998,51,E118
1999-2004,9,E118
1994-1998,50,E119
1999-2004,8,E119
1994-1998,50,E120
1999-2004,69,E120
2005-2010,46,E120
1994-1998,50,E121
1999-2004,69,E121
2005-2010,46,E121
1994-1998,51,E122
1999-2004,69,E122
2005-2010,46,E122
1994-1998,50,E123
1999-2004,69,E123
2005-2010,46,E123
1994-1998,10,E124
1999-2004,69,E124
2005-2010,52,E124
2010-2014,59,E124
2017-2022,64,E124
1994-1998,51,E125
1999-2004,38,E125
1989-1993,9,E128
1994-1998,52,E128
1999-2004,39,E128
1999-2004,30,E129
1999-2004,33,E135
2005-2010,50,E135
1999-2004,33,E136
2005-2010,50,E136
1999-2004,33,E137
2005-2010,50,E137
1999-2004,33,E138
2005-2010,50,E138
1999-2004,33,E139
2005-2010,50,E139
1999-2004,19,E140
1999-2004,19,E141
1999-2004,19,E142
1994-1998,50,E143
1999-2004,69,E143
2005-2010,80,E143
2017-2022,63,E143
1981-1984,16,E144
1999-2004,8,E144
1999-2004,62,E150
2005-2010,46,E150
1999-2004,32,E151
2005-2010,46,E151
1999-2004,32,E152
2005-2010,46,E152
1999-2004,33,E153
2005-2010,46,E153
1999-2004,33,E154
2005-2010,46,E154
2017-2022,36,E154
1999-2004,33,E155
2005-2010,46,E155
2017-2022,36,E155
1999-2004,33,E156
2005-2010,46,E156
2017-2022,36,E156
1999-2004,33,E157
2005-2010,46,E157
2017-2022,36,E157
1999-2004,33,E158
2005-2010,46,E158
2017-2022,36,E158
1999-2004,33,E159
2005-2010,45,E159
2017-2022,36,E159
1999-2004,33,E160
2005-2010,46,E160
2017-2022,36,E160
1999-2004,33,E161
2005-2010,46,E161
2017-2022,36,E161
1999-2004,33,E162
2005-2010,46,E162
2017-2022,36,E162
1989-1993,25,E179
1999-2004,33,E179
2005-2010,46,E179
1989-1993,14,E179WVS
1994-1998,51,E179WVS
1999-2004,34,E179WVS
2005-2010,46,E179WVS
2010-2014,53,E179WVS
2017-2022,60,E179WVS
1989-1993,13,E180WVS
1994-1998,47,E180WVS
1999-2004,33,E180WVS
2005-2010,43,E180WVS
2010-2014,2,E180WVS
1989-1993,20,E181
1999-2004,32,E181
2005-2010,46,E181
1981-1984,14,E181A
2017-2022,36,E181A
2005-2010,46,E181C
2017-2022,36,E181C
1994-1998,47,E182
1999-2004,30,E182
2005-2010,42,E182
1981-1984,16,E188
1994-1998,52,E188
1999-2004,16,E188
1999-2004,31,E189
1989-1993,40,E190
1999-2004,33,E190
2005-2010,46,E190
1989-1993,39,E191
1999-2004,33,E191
2005-2010,46,E191
1981-1984,14,E197
2005-2010,45,E197
2005-2010,47,E217
2010-2014,60,E217
2017-2022,63,E217
2005-2010,47,E218
2010-2014,60,E218
2017-2022,63,E218
2005-2010,47,E220
2010-2014,60,E220
2017-2022,63,E220
2005-2010,49,E221B
2010-2014,54,E221B
2005-2010,42,E222
2010-2014,54,E222
2005-2010,38,E222B
2010-2014,52,E222B
2005-2010,53,E224
2010-2014,60,E224
2017-2022,90,E224
2005-2010,53,E225
2010-2014,60,E225
2017-2022,90,E225
2005-2010,53,E226
2010-2014,60,E226
2017-2022,90,E226
2005-2010,53,E227
2010-2014,60,E227
2017-2022,90,E227
2005-2010,52,E228
2010-2014,59,E228
2017-2022,88,E228
2005-2010,53,E229
2010-2014,60,E229
2017-2022,90,E229
2005-2010,53,E233
2010-2014,60,E233
2017-2022,90,E233
2010-2014,60,E233A
2017-2022,90,E233A
2010-2014,60,E233B
2017-2022,90,E233B
2005-2010,49,E234
2010-2014,60,E234
2017-2022,63,E234
2005-2010,54,E235
2010-2014,60,E235
2017-2022,90,E235
2005-2010,52,E236
2010-2014,57,E236
2017-2022,90,E236
2005-2010,46,E238
2010-2014,60,E238
2005-2010,54,E248
2010-2014,2,E248
2010-2014,57,E248B
2017-2022,64,E248B
2005-2010,53,E250
2010-2014,2,E250
2005-2010,54,E254
2010-2014,2,E254
2010-2014,57,E254B
2017-2022,64,E254B
2005-2010,53,E255
2010-2014,60,E255
2010-2014,57,E258B
2017-2022,64,E258B
2010-2014,57,E259B
2017-2022,64,E259B
2010-2014,57,E260B
2017-2022,64,E260B
2010-2014,57,E261B
2017-2022,64,E261B
2010-2014,57,E262B
2017-2022,64,E262B
2010-2014,57,E263
2017-2022,88,E263
2010-2014,59,E264
2017-2022,88,E264
2010-2014,42,E265_01
2017-2022,89,E265_01
2010-2014,42,E265_02
2017-2022,89,E265_02
2010-2014,41,E265_03
2017-2022,85,E265_03
2010-2014,42,E265_04
2017-2022,89,E265_04
2010-2014,42,E265_05
2017-2022,89,E265_05
2010-2014,42,E265_06
2017-2022,89,E265_06
2010-2014,42,E265_07
2017-2022,89,E265_07
2010-2014,42,E265_08
2017-2022,89,E265_08
2010-2014,42,E265_09
2017-2022,63,E265_09
2010-2014,41,E266
2017-2022,63,E266
2017-2022,89,E290
1981-1984,24,F001
1989-1993,43,F001
1994-1998,51,F001
1999-2004,53,F001
2005-2010,58,F001
2010-2014,60,F001
1981-1984,16,F003
1989-1993,38,F003
1989-1993,37,F004
1989-1993,37,F005
1989-1993,37,F006
1989-1993,36,F007
1989-1993,37,F008
1989-1993,36,F009
1989-1993,37,F010
1981-1984,23,F022
1989-1993,43,F022
1994-1998,52,F022
1999-2004,61,F022
1981-1984,16,F024
1989-1993,40,F024
1999-2004,33,F024
2005-2010,46,F024
2017-2022,36,F024
1981-1984,23,F025
1989-1993,42,F025
1994-1998,53,F025
1999-2004,71,F025
2005-2010,82,F025
2010-2014,60,F025
2017-2022,90,F025
2005-2010,46,F025_EVS
2017-2022,36,F025_EVS
1981-1984,7,F025_WVS
1989-1993,16,F025_WVS
1994-1998,53,F025_WVS
1999-2004,40,F025_WVS
2005-2010,58,F025_WVS
2010-2014,60,F025_WVS
2017-2022,64,F025_WVS
1999-2004,32,F026
2005-2010,46,F026
2017-2022,36,F026
1989-1993,39,F027
1999-2004,32,F027
2005-2010,46,F027
1981-1984,24,F028
1989-1993,40,F028
1994-1998,52,F028
1999-2004,70,F028
2005-2010,81,F028
2010-2014,57,F028
2017-2022,90,F028
2010-2014,57,F028B
2017-2022,64,F028B
1989-1993,42,F029
1994-1998,50,F029
1999-2004,32,F030
2005-2010,46,F030
2017-2022,36,F030
1989-1993,39,F031
1999-2004,33,F031
2005-2010,46,F031
1989-1993,39,F032
1999-2004,33,F032
2005-2010,46,F032
1989-1993,39,F033
1999-2004,33,F033
2005-2010,46,F033
1981-1984,23,F034
1989-1993,42,F034
1994-1998,51,F034
1999-2004,68,F034
2005-2010,81,F034
2010-2014,59,F034
2017-2022,90,F034
1981-1984,16,F035
1989-1993,35,F035
1999-2004,67,F035
2005-2010,79,F035
1981-1984,16,F036
1989-1993,35,F036
1999-2004,67,F036
2005-2010,79,F036
1981-1984,16,F037
1989-1993,35,F037
1999-2004,67,F037
2005-2010,79,F037
1989-1993,35,F038
1999-2004,67,F038
2005-2010,79,F038
1989-1993,35,F040
1989-1993,35,F041
1989-1993,35,F042
1989-1993,35,F043
1989-1993,35,F044
1989-1993,35,F045
1989-1993,35,F046
1989-1993,35,F047
1989-1993,34,F048
1989-1993,34,F049
1981-1984,23,F050
1989-1993,37,F050
1994-1998,51,F050
1999-2004,66,F050
2005-2010,46,F050
2010-2014,54,F050
2017-2022,88,F050
1981-1984,23,F051
1989-1993,39,F051
1994-1998,51,F051
1999-2004,66,F051
2005-2010,46,F051
2017-2022,88,F051
1981-1984,23,F052
1989-1993,39,F052
1994-1998,51,F052
1999-2004,35,F052
1981-1984,23,F053
1989-1993,39,F053
1994-1998,51,F053
1999-2004,66,F053
2005-2010,46,F053
2010-2014,54,F053
2017-2022,88,F053
1981-1984,23,F054
1989-1993,39,F054
1994-1998,51,F054
1999-2004,66,F054
2005-2010,46,F054
2017-2022,88,F054
1981-1984,23,F055
1989-1993,39,F055
1994-1998,51,F055
1999-2004,33,F055
2005-2010,46,F055
1981-1984,16,F057
1989-1993,37,F057
1999-2004,32,F057
2005-2010,46,F057
2017-2022,36,F057
1981-1984,23,F059
1989-1993,39,F059
1994-1998,51,F059
1989-1993,37,F060
1981-1984,16,F062
1989-1993,39,F062
1999-2004,32,F062
2005-2010,46,F062
2017-2022,36,F062
1981-1984,23,F063
1989-1993,39,F063
1994-1998,52,F063
1999-2004,70,F063
2005-2010,82,F063
2010-2014,58,F063
2017-2022,89,F063
1981-1984,22,F064
1989-1993,39,F064
1994-1998,51,F064
1999-2004,68,F064
2005-2010,46,F064
1981-1984,16,F065
1989-1993,37,F065
1999-2004,58,F065
2005-2010,78,F065
1999-2004,60,F066
2005-2010,46,F066
2017-2022,36,F066
1989-1993,36,F067
1999-2004,1,F067
1999-2004,33,F099
2005-2010,46,F099
1999-2004,65,F102
2005-2010,78,F102
1999-2004,65,F103
2005-2010,49,F103
1999-2004,64,F104
2005-2010,49,F104
1999-2004,60,F105
2005-2010,77,F105
1981-1984,16,F114
1989-1993,29,F114
1999-2004,33,F114
2005-2010,46,F114
1981-1984,8,F114A
1989-1993,18,F114A
1994-1998,51,F114A
1999-2004,36,F114A
2005-2010,56,F114A
2010-2014,60,F114A
2017-2022,90,F114A
2010-2014,60,F114B
2017-2022,64,F114B
2010-2014,60,F114C
2017-2022,64,F114C
2010-2014,60,F114D
2017-2022,64,F114D
1981-1984,24,F115
1989-1993,42,F115
1994-1998,51,F115
1999-2004,54,F115
2005-2010,79,F115
2010-2014,60,F115
2017-2022,88,F115
1981-1984,23,F116
1989-1993,43,F116
1994-1998,52,F116
1999-2004,68,F116
2005-2010,80,F116
2010-2014,58,F116
2017-2022,90,F116
1981-1984,24,F117
1989-1993,43,F117
1994-1998,52,F117
1999-2004,71,F117
2005-2010,81,F117
2010-2014,60,F117
2017-2022,90,F117
1981-1984,23,F118
1989-1993,43,F118
1994-1998,52,F118
1999-2004,69,F118
2005-2010,78,F118
2010-2014,58,F118
2017-2022,88,F118
1981-1984,24,F119
1989-1993,43,F119
1994-1998,52,F119
1999-2004,54,F119
2005-2010,78,F119
2010-2014,43,F119
2017-2022,85,F119
1981-1984,24,F120
1989-1993,42,F120
1994-1998,52,F120
1999-2004,71,F120
2005-2010,80,F120
2010-2014,59,F120
2017-2022,90,F120
1981-1984,24,F121
1989-1993,43,F121
1994-1998,53,F121
1999-2004,71,F121
2005-2010,81,F121
2010-2014,60,F121
2017-2022,90,F121
1981-1984,24,F122
1989-1993,42,F122
1994-1998,51,F122
1999-2004,68,F122
2005-2010,80,F122
2010-2014,31,F122
2017-2022,90,F122
1981-1984,24,F123
1989-1993,43,F123
1994-1998,52,F123
1999-2004,69,F123
2005-2010,80,F123
2010-2014,60,F123
2017-2022,90,F123
1981-1984,16,F125
1989-1993,40,F125
1999-2004,33,F125
2005-2010,46,F125
1981-1984,16,F126
1989-1993,41,F126
1999-2004,33,F126
2005-2010,46,F126
2017-2022,36,F126
1981-1984,16,F127
1989-1993,41,F127
1999-2004,33,F127
2005-2010,46,F127
1981-1984,16,F128
1989-1993,41,F128
1999-2004,32,F128
2005-2010,46,F128
1989-1993,39,F129
1999-2004,33,F129
1989-1993,41,F130
1999-2004,33,F130
1999-2004,33,F131
2005-2010,46,F131
1999-2004,33,F132
2005-2010,46,F132
2017-2022,86,F132
1981-1984,16,F135
1989-1993,38,F135
1999-2004,15,F135
2010-2014,52,F135A
2017-2022,62,F135A
1981-1984,16,F136
1989-1993,40,F136
1999-2004,12,F136
1999-2004,17,F137
2005-2010,46,F137
1999-2004,16,F138
2005-2010,46,F138
1981-1984,24,F139
1989-1993,43,F139
1994-1998,52,F139
1981-1984,16,F140
1989-1993,38,F140
1981-1984,16,F141
1989-1993,41,F141
1981-1984,16,F142
1989-1993,40,F142
1981-1984,16,F143
1989-1993,41,F143
1981-1984,16,F144
1989-1993,41,F144
2005-2010,46,F144_01
2017-2022,36,F144_01
2005-2010,46,F144_02
2017-2022,90,F144_02
2005-2010,52,F199
2010-2014,60,F199
2017-2022,62,F199
2010-2014,60,F200
2017-2022,62,F200
2010-2014,60,F201
2017-2022,62,F201
2010-2014,60,F202
2017-2022,64,F202
2010-2014,59,F203
2017-2022,63,F203
1981-1984,22,G001
1989-1993,42,G001
1994-1998,52,G001
1999-2004,68,G001
2005-2010,46,G001
1981-1984,1,G001CS
1989-1993,2,G001CS
1994-1998,3,G001CS
1999-2004,4,G001CS
1981-1984,22,G002
1989-1993,41,G002
1994-1998,52,G002
1999-2004,67,G002
2005-2010,46,G002
1981-1984,1,G002CS
1989-1993,2,G002CS
1994-1998,3,G002CS
1999-2004,4,G002CS
1989-1993,6,G003CS
1999-2004,33,G005
2005-2010,48,G005
2017-2022,36,G005
1981-1984,24,G006
1989-1993,43,G006
1994-1998,53,G006
1999-2004,71,G006
2005-2010,81,G006
2010-2014,60,G006
2017-2022,90,G006
1989-1993,40,G007_01
1999-2004,9,G007_01
2005-2010,53,G007_18_B
2010-2014,59,G007_18_B
2017-2022,90,G007_18_B
2005-2010,53,G007_33_B
2010-2014,59,G007_33_B
2017-2022,90,G007_33_B
2005-2010,52,G007_34_B
2010-2014,59,G007_34_B
2017-2022,90,G007_34_B
2005-2010,53,G007_35_B
2010-2014,59,G007_35_B
2017-2022,90,G007_35_B
2005-2010,52,G007_36_B
2010-2014,59,G007_36_B
2017-2022,90,G007_36_B
1989-1993,21,G014
1999-2004,6,G014
1994-1998,44,G016
1999-2004,35,G016
2005-2010,52,G016
2010-2014,58,G016
2017-2022,63,G016
1989-1993,10,G017
1994-1998,48,G017
1989-1993,8,G018
1994-1998,46,G018
2005-2010,48,G019
2010-2014,59,G019
2005-2010,48,G020
2010-2014,59,G020
2005-2010,48,G021
2010-2014,59,G021
2005-2010,5,G022A
2010-2014,4,G022A
2005-2010,3,G022B
2010-2014,2,G022B
2005-2010,17,G022C
2010-2014,12,G022C
2005-2010,2,G022D
2010-2014,1,G022D
2005-2010,6,G022E
2010-2014,5,G022E
2005-2010,2,G022F
2010-2014,2,G022F
2005-2010,7,G022K
2010-2014,6,G022K
2005-2010,1,G022L
2010-2014,2,G022L
2005-2010,1,G022M
2010-2014,4,G022M
2005-2010,3,G022N
2010-2014,7,G022N
2005-2010,48,G023
2010-2014,59,G023
2005-2010,45,G026
2010-2014,55,G026
2017-2022,63,G026
2005-2010,45,G027
2010-2014,55,G027
2017-2022,63,G027
2005-2010,46,G027A
2010-2014,53,G027A
2017-2022,90,G027A
2010-2014,54,G027B
2017-2022,62,G027B
2005-2010,46,G033
2017-2022,36,G033
2005-2010,46,G034
2017-2022,36,G034
2005-2010,46,G035
2017-2022,36,G035
2005-2010,46,G036
2017-2022,36,G036
2005-2010,46,G038
2017-2022,36,G038
2005-2010,46,G040
2017-2022,36,G040
2005-2010,46,G041
2017-2022,36,G041
2005-2010,46,G043
2017-2022,36,G043
2005-2010,46,G051
2017-2022,36,G051
2017-2022,90,G052
2017-2022,90,G062
2017-2022,90,G063
2017-2022,89,G255
2017-2022,88,G256
2017-2022,90,G257
2010-2014,60,H001
2017-2022,64,H001
2010-2014,60,H002_01
2017-2022,63,H002_01
2010-2014,59,H002_02
2017-2022,63,H002_02
2010-2014,60,H002_03
2017-2022,62,H002_03
2010-2014,60,H002_04
2017-2022,63,H002_04
2010-2014,59,H002_05
2017-2022,63,H002_05
2010-2014,60,H003_01
2017-2022,61,H003_01
2010-2014,60,H003_02
2017-2022,61,H003_02
2010-2014,59,H003_03
2017-2022,58,H003_03
2010-2014,60,H004
2017-2022,62,H004
2010-2014,60,H005
2017-2022,62,H005
2010-2014,60,H006_01
2017-2022,64,H006_01
2010-2014,60,H006_02
2017-2022,64,H006_02
2010-2014,60,H006_03
2017-2022,63,H006_03
2010-2014,60,H006_04
2017-2022,63,H006_04
2010-2014,57,H006_05
2017-2022,61,H006_05
2010-2014,60,H008_01
2017-2022,64,H008_01
2010-2014,60,H008_02
2017-2022,64,H008_02
2010-2014,60,H008_03
2017-2022,64,H008_03
2010-2014,60,H008_04
2017-2022,64,H008_04
2017-2022,89,H009
2017-2022,89,H010
2017-2022,89,H011
2010-2014,60,I001
2017-2022,63,I001
2010-2014,60,I002
2017-2022,63,I002
2005-2010,46,V001
2017-2022,89,V001
2005-2010,46,V001A
2017-2022,88,V001A
1981-1984,24,V001A_01
1989-1993,43,V001A_01
1994-1998,55,V001A_01
1999-2004,71,V001A_01
2005-2010,82,V001A_01
2010-2014,60,V001A_01
2017-2022,90,V001A_01
2005-2010,46,V002
2017-2022,89,V002
2005-2010,46,V002A
2017-2022,88,V002A
1981-1984,24,V002A_01
1989-1993,43,V002A_01
1994-1998,55,V002A_01
1999-2004,71,V002A_01
2005-2010,82,V002A_01
2010-2014,60,V002A_01
2017-2022,90,V002A_01
2005-2010,46,V004AF
2017-2022,35,V004AF
2017-2022,88,V004AF_01
2017-2022,88,V004AM_01
2005-2010,46,V004DF
2017-2022,34,V004DF
2005-2010,46,V004EF
2017-2022,35,V004EF
2005-2010,46,V004RF
2017-2022,88,V004RF
2017-2022,88,V004RM
2005-2010,46,V005F
2017-2022,36,V005F
2005-2010,46,V011
2017-2022,36,V011
2005-2010,46,V012
2017-2022,36,V012
2005-2010,46,V013
2017-2022,36,V013
2005-2010,46,V014
2017-2022,36,V014
2005-2010,46,V015
2017-2022,36,V015
2005-2010,46,V016
2017-2022,36,V016
2005-2010,46,V017
2017-2022,36,V017
2005-2010,45,V018
2017-2022,36,V018
2017-2022,88,V097EF
2005-2010,46,W001
2017-2022,36,W001
2005-2010,46,W001A
2017-2022,36,W001A
1981-1984,24,W001A_01
1989-1993,43,W001A_01
1994-1998,55,W001A_01
1999-2004,71,W001A_01
2005-2010,82,W001A_01
2010-2014,60,W001A_01
2017-2022,90,W001A_01
2005-2010,46,W002A
2017-2022,35,W002A
2017-2022,88,W002A_01
2005-2010,46,W002D
2017-2022,62,W002D
2005-2010,46,W002E
2017-2022,35,W002E
2005-2010,46,W002R
2017-2022,88,W002R
2005-2010,46,W003
2017-2022,87,W003
2005-2010,46,W004
2017-2022,36,W004
2005-2010,46,W005_2
2017-2022,36,W005_2_01
2005-2010,46,W006A
2017-2022,36,W006A
2005-2010,46,W006B
2017-2022,36,W006B
2005-2010,46,W006C
2017-2022,36,W006C
2005-2010,46,W006D
2017-2022,36,W006D
2005-2010,46,W007
2017-2022,36,W007
2005-2010,46,W008
2017-2022,36,W008
2005-2010,46,W009
2017-2022,36,W009
1981-1984,21,X001
1989-1993,43,X001
1994-1998,55,X001
1999-2004,71,X001
2005-2010,82,X001
2010-2014,60,X001
2017-2022,90,X001
1981-1984,21,X002
1989-1993,42,X002
1994-1998,54,X002
1999-2004,71,X002
2005-2010,82,X002
2010-2014,59,X002
2017-2022,90,X002
2005-2010,46,X002_02
2017-2022,36,X002_02
