Entity,Year,‘cost of basic needs’ approach - share of population below poverty line,$1.90 - share of population below poverty line,$5 - share of population below poverty line,$10 - share of population below poverty line,$30 - share of population below poverty line,‘cost of basic needs’ approach - share of population above poverty line,$1.90 - share of population above poverty line,$5 - share of population above poverty line,$10 - share of population above poverty line,$30 - share of population above poverty line,$1.90-$5 - share of population between poverty lines,$5-$10 - share of population between poverty lines,$10-$30 - share of population between poverty lines
World,1875,68.9437947885654,73.1786997386522,92.21758085944771,97.7386824941592,99.83351340479871,31.0562052114346,26.8213002613478,7.7824191405522924,2.2613175058407933,0.16648659520129172,19.03888112079551,5.521101634711499,2.0948309106395016
East Asia,1876,78.9925246912619,94.5256012911803,99.67004716022349,99.9715063893341,99.9997360533446,21.007475308738094,5.474398708819706,0.32995283977651013,0.028493610665904612,0.0002639466553944203,5.144445869043196,0.3014592291106055,0.02822966401051019
Eastern Europe and former USSR,1876,62.4777873890199,83.41837660554951,90.929176898278,98.23015478094051,99.938528309133,37.5222126109801,16.58162339445049,9.070823101721999,1.7698452190594907,0.06147169086699478,7.51080029272849,7.300977882662508,1.7083735281924959
Latin America and Caribbean,1876,77.85528623705929,73.8503997549673,93.791847102518,98.55668534386321,99.91756795834,22.14471376294071,26.1496002450327,6.208152897481995,1.443314656136792,0.08243204165999884,19.941447347550707,4.764838241345203,1.3608826144767932
Middle East and North Africa,1876,65.9529319328526,73.5477814108955,95.2382243815701,99.0784119865161,99.9648440159057,34.04706806714741,26.452218589104504,4.761775618429894,0.9215880134838983,0.03515598409430254,21.69044297067461,3.8401876049459958,0.8864320293895958
South and South-East Asia,1876,72.8569692383405,72.1932976973814,97.43619964747559,99.8016599384992,99.99892070264809,27.143030761659503,27.806702302618604,2.56380035252441,0.19834006150080086,0.0010792973519073712,25.242901950094193,2.3654602910236093,0.19726076414889349
Sub-Saharan Africa,1876,75.3078556249389,84.4815183531949,98.6115231023533,99.85701261051379,99.99335266591301,24.692144375061105,15.5184816468051,1.3884768976466972,0.14298738948620837,0.006647334086991918,14.130004749158402,1.2454895081604889,0.13634005539921645
Western Europe,1876,54.582773058501,34.3173279340563,73.9891202018782,92.05473540614891,99.4638853895702,45.417226941499,65.6826720659437,26.010879798121806,7.945264593851093,0.5361146104298058,39.67179226782189,18.065615204270713,7.409149983421287
Western Offshoots,1876,26.1406423986376,26.8431147791533,66.8971644996834,87.6301725126089,98.900186404227,73.8593576013624,73.1568852208467,33.1028355003166,12.369827487391106,1.099813595773,40.0540497205301,20.733008012925495,11.270013891618106
World,1876,68.7681332780664,73.1261679410944,92.2694668059971,97.8022792776951,99.8471466611087,31.2318667219336,26.873832058905606,7.730533194002902,2.1977207223048936,0.1528533388913047,19.143298864902704,5.5328124716980085,2.044867383413589
East Asia,1877,78.8794313287222,94.6004769053921,99.6638447526763,99.9696638893533,99.9997099019976,21.120568671277795,5.3995230946079005,0.3361552473237026,0.03033611064670083,0.00029009800239521155,5.063367847284198,0.3058191366770018,0.03004601264430562
Eastern Europe and former USSR,1877,61.51113797561,82.997782811719,90.6826527879525,98.1898688692701,99.93660888475439,38.48886202439,17.002217188280994,9.317347212047494,1.8101311307299,0.06339111524560792,7.6848699762335,7.507216081317594,1.746740015484292
Latin America and Caribbean,1877,78.127476879562,74.184723412708,93.8684634128588,98.5278105985601,99.9079781831109,21.872523120438004,25.815276587292004,6.131536587141198,1.4721894014399055,0.09202181688910116,19.683740000150806,4.659347185701293,1.3801675845508043
Middle East and North Africa,1877,65.6825362242524,73.2427544670163,95.16541849474059,99.06234267597,99.96402755952441,34.3174637757476,26.757245532983703,4.834581505259408,0.937657324029999,0.03597244047558945,21.922664027724295,3.8969241812294086,0.9016848835544096
South and South-East Asia,1877,72.6894608358619,72.0229930598163,97.4884072414666,99.809572468106,99.99893428836411,27.310539164138106,27.9770069401837,2.5115927585333964,0.1904275318940023,0.0010657116358885332,25.465414181650303,2.321165226639394,0.18936182025811377
Sub-Saharan Africa,1877,77.9387804910499,86.3995658157416,98.8120291645319,99.862068525168,99.9931842733905,22.061219508950103,13.600434184258404,1.187970835468093,0.1379314748320013,0.0068157266095028035,12.412463348790311,1.0500393606360916,0.1311157482224985
Western Europe,1877,53.8874424533527,33.730052568972205,73.4989217533674,91.92157343353131,99.4859962900627,46.1125575466473,66.26994743102779,26.501078246632602,8.078426566468693,0.5140037099372989,39.76886918439519,18.42265168016391,7.564422856531394
Western Offshoots,1877,25.5546586859549,26.2404329582835,66.5740326268441,87.6399264540969,98.93807705965911,74.4453413140451,73.75956704171651,33.4259673731559,12.360073545903106,1.0619229403408923,40.3335996685606,21.065893827252793,11.298150605562213
World,1877,68.4476761639071,72.9150897330633,92.1369094452443,97.7641211260051,99.8512795369286,31.552323836092896,27.084910266936703,7.863090554755701,2.2358788739949063,0.14872046307139897,19.221819712181002,5.627211680760794,2.0871584109235073
East Asia,1878,78.79267853469621,94.7694798998947,99.6776427182861,99.97085729188761,99.9997225885569,21.207321465303792,5.230520100105295,0.32235728171390576,0.029142708112388505,0.000277411443093456,4.908162818391389,0.29321457360151726,0.02886529666929505
Eastern Europe and former USSR,1878,60.407337367596305,81.5725248278211,90.3634668220208,98.1431510097385,99.93473854981501,39.592662632403695,18.4274751721789,9.636533177979203,1.856848990261497,0.06526145018499108,8.790941994199699,7.779684187717706,1.791587540076506
Latin America and Caribbean,1878,78.0930667248842,74.2613000956111,94.2937904221439,98.6878989503664,99.9218765327341,21.906933275115804,25.738699904388895,5.7062095778561,1.312101049633597,0.0781234672658968,20.032490326532795,4.394108528222503,1.2339775823677002
Middle East and North Africa,1878,65.41142474270329,72.9374077956933,95.0925849844229,99.0462900471063,99.9632130627015,34.58857525729671,27.062592204306696,4.907415015577101,0.9537099528937034,0.03678693729850124,22.155177188729596,3.9537050626833974,0.9169230155952022
South and South-East Asia,1878,72.53912516516769,71.8705912205279,97.5437327510428,99.81800167573161,99.9989794124036,27.46087483483231,28.1294087794721,2.4562672489572037,0.1819983242683918,0.0010205875964004463,25.673141530514897,2.274268924688812,0.18097773667199135
Sub-Saharan Africa,1878,78.9000074308154,87.01866728193029,98.8557994752245,99.86016545710869,99.9930210871082,21.099992569184593,12.981332718069709,1.1442005247754992,0.13983454289130748,0.006978912891796085,11.83713219329421,1.0043659818841917,0.1328556299995114
Western Europe,1878,53.649314711333496,33.403846803864,73.2237514343548,91.7935084874087,99.4953048112183,46.350685288666504,66.596153196136,26.776248565645204,8.206491512591299,0.504695188781696,39.8199046304908,18.569757053053905,7.701796323809603
Western Offshoots,1878,23.7508889156014,24.3620791478953,64.3849949652796,86.4359453776389,98.79614042514639,76.2491110843986,75.6379208521047,35.6150050347204,13.564054622361098,1.2038595748536096,40.0229158173843,22.0509504123593,12.360195047507489
World,1878,68.1046998955406,72.58954626341439,91.971019096044,97.6775084492071,99.8455490021257,31.895300104459395,27.41045373658561,8.028980903955997,2.322491550792904,0.1544509978743065,19.381472832629612,5.706489353163093,2.1680405529185975
East Asia,1879,78.65139997078,94.7600332861945,99.6523642020002,99.9660040238922,99.9996516196895,21.348600029219995,5.239966713805501,0.34763579799979993,0.03399597610780347,0.00034838031049844176,4.892330915805701,0.31363982189199646,0.03364759579730503
Eastern Europe and former USSR,1879,59.4926797966228,80.2969114014647,90.0829714253815,98.1016032267524,99.9328336580771,40.5073202033772,19.703088598535302,9.917028574618499,1.8983967732475975,0.06716634192289916,9.786060023916804,8.018631801370901,1.8312304313246983
Latin America and Caribbean,1879,77.7678758249244,74.3948299478113,94.5108094477856,98.74856057513661,99.9244936780238,22.232124175075597,25.605170052188697,5.489190552214396,1.251439424863392,0.07550632197620644,20.1159794999743,4.237751127351004,1.1759331028871856
Middle East and North Africa,1879,65.1404758089258,72.6315781571407,95.01954167813071,99.0301868562979,99.9623976285305,34.8595241910742,27.368421842859306,4.980458321869293,0.9698131437020976,0.03760237146950374,22.387963520990013,4.010645178167195,0.9322107722325939
South and South-East Asia,1879,72.3691806428298,71.691960681469,97.5937615793378,99.8255387373474,99.9990084853567,27.630819357170196,28.308039318531,2.4062384206622056,0.1744612626525992,0.0009915146433030486,25.901800897868796,2.2317771580096064,0.17346974800929615
Sub-Saharan Africa,1879,73.7318876902444,82.9567002585475,98.3672545367942,99.8415940074936,99.99285499749429,26.268112309755594,17.0432997414525,1.6327454632057936,0.15840599250640253,0.007145002505708931,15.410554278246707,1.474339470699391,0.1512609900006936
Western Europe,1879,54.654323913242095,34.1395388108165,74.1263711800398,92.3337773148709,99.5543440156872,45.345676086757905,65.8604611891835,25.873628819960203,7.6662226851290995,0.4456559843127934,39.9868323692233,18.207406134831103,7.220566700816306
Western Offshoots,1879,19.874346015201898,20.2737935339612,59.3994903715529,83.5467923724586,98.4006445188079,80.1256539847981,79.7262064660388,40.6005096284471,16.453207627541403,1.5993554811921058,39.125696837591704,24.147302000905697,14.853852146349297
World,1879,67.7313697697639,72.1868937820644,91.8395222365866,97.6187529540777,99.83561927854781,32.2686302302361,27.813106217935598,8.160477763413397,2.3812470459222936,0.16438072145218996,19.6526284545222,5.779230717491103,2.2168663244701037
East Asia,1880,78.5233871112832,94.7993052157862,99.6365876046251,99.9624784185135,99.99959164377779,21.4766128887168,5.200694784213795,0.363412395374894,0.03752158148650153,0.0004083562222092496,4.837282388838901,0.32589081388839247,0.03711322526429228
Eastern Europe and former USSR,1880,55.619669206566904,76.2688686639052,89.3508265225619,98.0300600864835,99.9309103412494,44.380330793433096,23.731131336094805,10.649173477438097,1.969939913516498,0.06908965875059891,13.081957858656708,8.6792335639216,1.9008502547658992
Latin America and Caribbean,1880,78.1551526049553,75.54810892533939,94.8625414608944,98.8333902063461,99.930395145857,21.844847395044695,24.451891074660608,5.1374585391055945,1.1666097936539046,0.06960485414299455,19.314432535555014,3.97084874545169,1.09700493951091
Middle East and North Africa,1880,64.8696695125695,72.3257977635668,94.9463597003344,99.0140554771788,99.961581772844,35.1303304874305,27.674202236433203,5.053640299665602,0.9859445228211996,0.03841822715600074,22.6205619367676,4.067695776844403,0.9475262956651989
South and South-East Asia,1880,72.0137096411053,71.4915391917898,97.64285006765519,99.8329304656835,99.9990216501916,27.986290358894706,28.508460808210202,2.357149932344811,0.16706953431649652,0.0009783498084061648,26.15131087586539,2.1900803980283143,0.16609118450809035
Sub-Saharan Africa,1880,66.1294689491766,76.6847899007261,97.4046011680321,99.7641120158526,99.99269086679739,33.8705310508234,23.315210099273898,2.5953988319678984,0.23588798414739642,0.007309133202610951,20.719811267306,2.359510847820502,0.22857885094478547
Western Europe,1880,52.9595037953861,32.5455173780858,72.9563941763973,91.84807760474631,99.50843564011281,47.0404962046139,67.4544826219142,27.043605823602704,8.151922395253692,0.4915643598871924,40.4108767983115,18.891683428349012,7.6603580353664995
Western Offshoots,1880,18.424238136145803,18.6743197427992,57.32257231685251,82.3277567395408,98.23861013224871,81.5757618638542,81.3256802572008,42.67742768314749,17.672243260459197,1.7613898677512907,38.64825257405331,25.005184422688295,15.910853392707907
World,1880,66.6356757913939,71.223271432648,91.4646936517876,97.4566188586534,99.8181863681816,33.36432420860611,28.776728567351995,8.535306348212401,2.5433811413466003,0.18181363181840027,20.241422219139594,5.991925206865801,2.3615675095282
East Asia,1881,78.46392080435271,95.0584644137043,99.6717089751293,99.9671457467028,99.9996640860885,21.53607919564729,4.9415355862957,0.32829102487069406,0.03285425329720226,0.0003359139114991194,4.613244561425006,0.2954367715734918,0.03251833938570314
Eastern Europe and former USSR,1881,58.476598997665995,78.1647254215241,89.4155418950838,98.0041567730559,99.9290619076399,41.523401002334005,21.835274578475904,10.584458104916195,1.9958432269441033,0.07093809236009463,11.25081647355971,8.588614877972091,1.9249051345840087
Latin America and Caribbean,1881,77.8479421680512,75.4641290012506,94.9026171828013,98.8590435973105,99.9341593064146,22.152057831948795,24.535870998749402,5.097382817198707,1.140956402689497,0.06584069358540035,19.438488181550696,3.9564264145092096,1.0751157091040966
Middle East and North Africa,1881,64.5983147016445,72.019942957542,94.8732157556115,98.997954185312,99.9607683331963,35.4016852983555,27.980057042458,5.126784244388503,1.0020458146880031,0.03923166680370116,22.853272798069497,4.1247384297005,0.962814147884302
South and South-East Asia,1881,71.75187657888699,71.280749558447,97.6906490459269,99.84027358616599,99.9990371296826,28.248123421113007,28.719250441553,2.3093509540730963,0.15972641383400799,0.0009628703173945041,26.409899487479905,2.1496245402390883,0.15876354351661348
Sub-Saharan Africa,1881,68.8459437503961,78.86529845278541,97.7596841539679,99.7863969784595,99.9925274017549,31.154056249603897,21.13470154721459,2.2403158460321038,0.21360302154049293,0.007472598245101381,18.894385701182486,2.026712824491611,0.20613042329539155
Western Europe,1881,51.81671567194191,31.408619604967097,71.8992628428889,91.4020354599446,99.4893951295196,48.18328432805809,68.5913803950329,28.100737157111098,8.5979645400554,0.5106048704804067,40.4906432379218,19.502772617055697,8.087359669574994
Western Offshoots,1881,15.647575633917398,15.842188954674599,53.253748606159505,79.748908446775,97.8406714095932,84.3524243660826,84.1578110453254,46.746251393840495,20.251091553224995,2.159328590406801,37.41155965148491,26.4951598406155,18.091762962818194
World,1881,66.5277253618398,71.1121766318817,91.0727184157752,97.2373957690066,99.79343130235961,33.4722746381602,28.887823368118305,8.9272815842248,2.7626042309934036,0.20656869764039243,19.960541783893504,6.164677353231397,2.556035533353011
East Asia,1882,78.3517712245199,95.14323832213721,99.6668381027495,99.9654051375792,99.9996289983715,21.648228775480106,4.856761677862792,0.3331618972505055,0.03459486242080345,0.00037100162849412754,4.523599780612287,0.29856703482970204,0.034223860792309324
Eastern Europe and former USSR,1882,54.6715693865497,73.4359759280644,88.6826090835373,97.9418671025304,99.9274901666377,45.3284306134503,26.564024071935606,11.3173909164627,2.058132897469605,0.07250983336230377,15.246633155472907,9.259258018993094,1.9856230641073012
Latin America and Caribbean,1882,76.84122572357161,74.4749558497241,94.2628145198443,98.53581167848769,99.8999761077374,23.15877427642839,25.525044150275903,5.737185480155702,1.4641883215123102,0.10002389226259822,19.7878586701202,4.272997158643392,1.364164429249712
Middle East and North Africa,1882,64.328329489624,71.7142210804428,94.7999170028276,98.9818033061838,99.9599533493189,35.671670510376,28.285778919557202,5.200082997172402,1.0181966938161935,0.04004665068110569,23.0856959223848,4.181886303356208,0.9781500431350878
South and South-East Asia,1882,71.6376694441323,71.12148732879861,97.74002727405609,99.8475026538963,99.9990481099199,28.3623305558677,28.878512671201392,2.2599727259439106,0.1524973461037007,0.0009518900801026575,26.61853994525748,2.10747537984021,0.15154545602359804
Sub-Saharan Africa,1882,71.435288884034,80.882481615339,98.04535130781919,99.8004098372409,99.992369521165,28.564711115966006,19.117518384660997,1.954648692180811,0.19959016275909391,0.007630478834997234,17.162869692480186,1.7550585294217171,0.19195968392409668
Western Europe,1882,50.829014052952104,30.4939449752195,71.1470005498362,91.043005871781,99.4733163106447,49.170985947047896,69.5060550247805,28.852999450163793,8.956994128218994,0.5266836893552949,40.65305557461671,19.8960053219448,8.4303104388637
Western Offshoots,1882,14.847795278972,14.983387650126701,51.9822687082783,78.9779003020427,97.7482690995501,85.152204721028,85.0166123498733,48.0177312917217,21.0220996979573,2.2517309004498998,36.998881058151596,26.9956315937644,18.770368797507402
World,1882,65.8088359439552,70.3298565093143,90.8081151740498,97.1070884083295,99.7828878082592,34.1911640560448,29.670143490685703,9.191884825950197,2.8929115916704973,0.21711219174079588,20.478258664735506,6.2989732342797,2.6757993999297014
East Asia,1883,78.2944597595066,95.30319729330891,99.7041350404663,99.9717220937774,99.9997168606662,21.705540240493406,4.696802706691088,0.2958649595337022,0.028277906222598403,0.000283139333802751,4.400937747157386,0.2675870533111038,0.027994766888795652
Eastern Europe and former USSR,1883,54.8237594205906,72.8312903444138,88.4579797163554,97.9076436978373,99.9259574697151,45.1762405794094,27.1687096555862,11.542020283644604,2.092356302162699,0.07404253028489904,15.626689371941595,9.449663981481905,2.0183137718778
Latin America and Caribbean,1883,76.7301264247162,74.5731203126834,93.97470061368661,98.3467754273196,99.8782924804097,23.269873575283796,25.4268796873166,6.025299386313392,1.6532245726804007,0.12170751959030213,19.401580301003207,4.372074813632992,1.5315170530900986
Middle East and North Africa,1883,64.05884299499999,71.40821323400701,94.7263502266041,98.9655946020883,99.9591363599441,35.94115700500001,28.591786765992993,5.273649773395903,1.0344053979116978,0.04086364005590326,23.31813699259709,4.239244375484205,0.9935417578557946
South and South-East Asia,1883,71.4900373630623,70.94233866235909,97.7891055278368,99.8549386758023,99.9990734220961,28.5099626369377,29.05766133764091,2.2108944721632042,0.14506132419769813,0.0009265779038969413,26.846766865477704,2.065833147965506,0.14413474629380119
Sub-Saharan Africa,1883,83.85940412659,90.1529587561503,99.0103312334665,99.850074352176,99.9922092022,16.140595873410007,9.847041243849702,0.989668766533498,0.14992564782400564,0.007790797799998472,8.857372477316204,0.8397431187094924,0.14213485002400716
Western Europe,1883,50.45998060183759,30.284580519905802,70.6526146643637,90.8186156821274,99.4766713553467,49.54001939816241,69.7154194800942,29.347385335636304,9.181384317872599,0.5233286446533043,40.368034144457894,20.166001017763705,8.658055673219295
Western Offshoots,1883,14.3240453941125,14.4223221954557,51.1324614927024,78.4976983764575,97.7148676726635,85.6759546058875,85.5776778045443,48.8675385072976,21.502301623542493,2.2851323273364983,36.7101392972467,27.36523688375511,19.217169296205995
World,1883,65.87432193741711,70.3307199679535,90.6681428096194,97.0239777942639,99.779181769599,34.12567806258289,29.6692800320465,9.331857190380603,2.9760222057361005,0.2208182304009938,20.337422841665898,6.355834984644503,2.7552039753351067
East Asia,1884,78.2321676528303,95.4422604854435,99.736820926281,99.97729460087011,99.9997922026756,21.7678323471697,4.557739514556502,0.2631790737190016,0.022705399129890225,0.00020779732440701082,4.2945604408375,0.2404736745891114,0.022497601805483214
Eastern Europe and former USSR,1884,56.10883471123,73.25856020384029,88.39316302806711,97.8899978289564,99.9245835108781,43.89116528877,26.74143979615971,11.606836971932893,2.110002171043604,0.07541648912190624,15.134602824226818,9.496834800889289,2.0345856819216976
Latin America and Caribbean,1884,75.5335004824162,72.93147699867309,93.6466746250319,98.2520245472229,99.87113668312459,24.4664995175838,27.06852300132691,6.353325374968094,1.7479754527770979,0.1288633168754103,20.715197626358815,4.605349922190996,1.6191121359016876
Middle East and North Africa,1884,63.7868204699956,71.10113819011809,94.6527557016395,98.9494137099301,99.9583224288646,36.2131795300044,28.898861809881907,5.3472442983604935,1.0505862900699015,0.04167757113539494,23.551617511521414,4.296658008290592,1.0089087189345065
South and South-East Asia,1884,71.2334356396213,70.7576125956304,97.8399683155291,99.8627740503143,99.99911338978819,28.766564360378695,29.242387404369595,2.160031684470894,0.1372259496856998,0.0008866102118076924,27.0823557198987,2.0228057347851944,0.1363393394738921
Sub-Saharan Africa,1884,87.83523285186689,92.80360044218709,99.1677333958079,99.8498458111822,99.99204972262939,12.164767148133109,7.19639955781291,0.8322666041920996,0.15015418881779397,0.007950277370611047,6.36413295362081,0.6821124153743057,0.14220391144718292
Western Europe,1884,50.1057350620126,29.7126804470558,70.3136570682064,90.85882848075481,99.5157375662957,49.8942649379874,70.2873195529442,29.686342931793604,9.14117151924519,0.484262433704302,40.60097662115059,20.545171412548413,8.656909085540889
Western Offshoots,1884,14.4481091745263,14.5806196363327,51.883291114368205,79.3144383550004,97.9208513892429,85.5518908254737,85.4193803636673,48.116708885631795,20.685561644999595,2.079148610757102,37.302671478035506,27.4311472406322,18.606413034242493
World,1884,65.8548528433423,70.2073814563734,90.6215743022411,97.0572911496161,99.7948684117748,34.1451471566577,29.792618543626602,9.3784256977589,2.9427088503838945,0.20513158822519983,20.414192845867703,6.435716847375005,2.7375772621586947
East Asia,1885,78.14047897464,95.4768369828472,99.7514780494725,99.9808644458833,99.9998521568174,21.859521025359996,4.523163017152797,0.24852195052750403,0.019135554116701314,0.00014784318260296914,4.274641066625293,0.22938639641080272,0.018987710934098345
Eastern Europe and former USSR,1885,53.2873503320756,69.8312656335612,87.943528160018,97.8586406592211,99.9232291410293,46.7126496679244,30.168734366438798,12.056471839981995,2.141359340778905,0.07677085897070413,18.112262526456803,9.91511249920309,2.064588481808201
Latin America and Caribbean,1885,76.1433875270569,73.8260479181581,93.33689190647641,97.97543332131539,99.8294361625152,23.856612472943098,26.173952081841904,6.66310809352359,2.0245666786846073,0.1705638374848064,19.510843988318314,4.638541414838983,1.8540028411998009
Middle East and North Africa,1885,63.517632757366506,70.79527477791659,94.5791892264621,98.9332079780826,99.9575070719456,36.482367242633494,29.20472522208341,5.4208107735378945,1.0667920219173936,0.042492928054400636,23.783914448545517,4.354018751620501,1.024299093862993
South and South-East Asia,1885,69.8225400309521,69.32231990134609,97.71380504473301,99.8597598942594,99.9991223781158,30.177459969047902,30.67768009865391,2.2861949552669927,0.14024010574060242,0.0008776218842001526,28.391485143386916,2.1459548495263903,0.13936248385640226
Sub-Saharan Africa,1885,93.7172709779538,96.5125101422795,99.331796786682,99.8486751156599,99.9918913615442,6.2827290220461975,3.4874898577205045,0.6682032133179945,0.15132488434009872,0.008108638455794903,2.81928664440251,0.5168783289778958,0.14321624588430382
Western Europe,1885,49.490969669926,28.966661520839597,69.8520824936273,90.7729265320284,99.52823810714601,50.509030330074,71.0333384791604,30.147917506372707,9.227073467971607,0.4717618928539906,40.8854209727877,20.9208440384011,8.755311575117616
Western Offshoots,1885,15.218958975443101,15.3893271616615,53.364334950430106,80.4435481178997,98.1505874956884,84.7810410245569,84.6106728383385,46.635665049569894,19.556451882100305,1.8494125043116014,37.97500778876861,27.07921316746959,17.707039377788703
World,1885,65.1753772613353,69.42458515858509,90.5269257443575,97.0755745693246,99.8061341474961,34.8246227386647,30.57541484141491,9.473074255642501,2.9244254306753987,0.19386585250390453,21.10234058577241,6.548648824967103,2.730559578171494
East Asia,1886,78.0126985656143,95.3713268043967,99.7444996024045,99.983050514179,99.9999293745409,21.9873014343857,4.628673195603298,0.2555003975954975,0.01694948582100153,7.062545910230256e-05,4.373172798007801,0.23855091177449594,0.01687886036189923
Eastern Europe and former USSR,1886,53.6527443234481,69.9683777465236,87.66512043133599,97.8438557049126,99.92195149059569,46.3472556765519,30.0316222534764,12.334879568664007,2.156144295087401,0.07804850940431152,17.696742684812392,10.178735273576606,2.0780957856830895
Latin America and Caribbean,1886,75.27819107471579,72.8093630372224,93.2557886053669,98.01346384685739,99.8423468315197,24.721808925284208,27.190636962777603,6.744211394633098,1.986536153142609,0.15765316848029443,20.446425568144505,4.757675241490489,1.8288829846623145
Middle East and North Africa,1886,63.2465316800793,70.4881632926233,94.5053749286357,98.9169712263113,99.95669244843191,36.7534683199207,29.511836707376702,5.494625071364297,1.0830287736886959,0.043307551568091185,24.017211636012405,4.411596297675601,1.0397212221206047
South and South-East Asia,1886,71.3724552099375,70.8562544644442,98.0150413668414,99.8849881727768,99.9992078216368,28.6275447900625,29.143745535555794,1.9849586331585982,0.11501182722319925,0.0007921783631985591,27.158786902397196,1.869946805935399,0.11421964886000069
Sub-Saharan Africa,1886,92.71654912902821,95.3411690214094,99.2765276065553,99.8444899935625,99.9917337510886,7.283450870971791,4.658830978590601,0.7234723934446947,0.15551000643749546,0.008266248911397156,3.935358585145906,0.5679623870071993,0.1472437575260983
Western Europe,1886,48.8983708663662,28.435483149728903,69.3121273537027,90.51241746955641,99.5136991107882,51.1016291336338,71.5645168502711,30.687872646297293,9.48758253044359,0.4863008892118046,40.876644203973804,21.200290115853704,9.001281641231785
Western Offshoots,1886,14.3320136058569,14.478055947446,52.0045883843662,79.6311105885905,98.0624695196294,85.6679863941431,85.521944052554,47.9954116156338,20.368889411409498,1.9375304803705973,37.5265324369202,27.6265222042243,18.4313589310389
World,1886,65.3214643856083,69.5287728142749,90.3879416165861,96.97947924411659,99.7978942637078,34.678535614391706,30.4712271857251,9.612058383413896,3.0205207558834104,0.20210573629219653,20.859168802311203,6.591537627530485,2.818415019591214
East Asia,1887,77.9238037471887,95.3521754413483,99.76159871134081,99.9846996043945,99.9999296223282,22.0761962528113,4.647824558651706,0.2384012886591904,0.015300395605493122,7.037767180406718e-05,4.409423269992516,0.2231008930536973,0.015230017933689055
Eastern Europe and former USSR,1887,49.7256953295648,66.6814074234375,87.820561969103,97.85923981567271,99.9207858036674,50.2743046704352,33.318592576562494,12.179438030897003,2.1407601843272914,0.0792141963326003,21.13915454566549,10.038677846569712,2.061545987994691
Latin America and Caribbean,1887,75.52695205602559,73.3339968958856,93.2756218324934,98.0122155543479,99.845349639117,24.473047943974407,26.666003104114395,6.7243781675066,1.987784445652096,0.15465036088299655,19.941624936607795,4.736593721854504,1.8331340847690996
Middle East and North Africa,1887,62.9768329814979,70.1821030758452,94.4316444145033,98.90073746390891,99.9558767773336,37.0231670185021,29.817896924154795,5.568355585496704,1.0992625360910893,0.0441232226663999,24.24954133865809,4.469093049405615,1.0551393134246894
South and South-East Asia,1887,69.1499371838857,68.62335588125241,97.785177258032,99.8763620476894,99.9991723670234,30.850062816114303,31.376644118747592,2.214822741968007,0.12363795231060237,0.0008276329765948276,29.161821376779585,2.0911847896574045,0.12281031933400754
Sub-Saharan Africa,1887,88.84356187137949,93.85010217257759,99.2025964971776,99.8392674623296,99.9915821776012,11.156438128620508,6.149897827422407,0.7974035028224051,0.1607325376703983,0.008417822398797625,5.352494324600002,0.6366709651520068,0.15231471527160068
Western Europe,1887,47.7701579932911,27.184776435531898,68.4661268446102,90.427199798024,99.545383509103,52.2298420067089,72.8152235644681,31.5338731553898,9.572800201975994,0.45461649089699563,41.2813504090783,21.961072953413804,9.118183711078998
Western Offshoots,1887,12.892962086166401,12.981713051254202,49.413221116795704,77.8511706772413,97.802073811193,87.1070379138336,87.0182869487458,50.586778883204296,22.1488293227587,2.1979261888070027,36.4315080655415,28.437949560445595,19.950903133951698
World,1887,63.903175089042996,68.219490196424,90.0062145440742,96.8505637883052,99.78780515800621,36.096824910957004,31.780509803575995,9.993785455925803,3.1494362116948054,0.21219484199379224,21.786724347650193,6.844349244230997,2.937241369701013
East Asia,1888,77.2827937739625,95.5435528931525,99.8355932579014,99.99140454756021,99.9999474740066,22.717206226037504,4.456447106847506,0.16440674209860617,0.008595452439791984,5.252599339655717e-05,4.2920403647489,0.1558112896588142,0.008542926446395427
Eastern Europe and former USSR,1888,50.3120640427557,67.0572985108208,87.4662167885635,97.83269440933991,99.9195744253736,49.6879359572443,32.9427014891792,12.5337832114365,2.167305590660092,0.08042557462640332,20.4089182777427,10.366477620776408,2.086880016033689
Latin America and Caribbean,1888,75.15969261628031,72.7946105306209,92.72226741448239,97.6765060815687,99.7976642147268,24.84030738371969,27.2053894693791,7.277732585517612,2.3234939184312964,0.20233578527320617,19.927656883861488,4.954238667086315,2.12115813315809
Middle East and North Africa,1888,62.70617268501349,69.8752051292283,94.3577286398756,98.8844843000843,99.9550629671958,37.29382731498651,30.124794870771694,5.642271360124397,1.1155156999157043,0.04493703280419936,24.482523510647297,4.526755660208693,1.070578667111505
South and South-East Asia,1888,68.73431450776259,68.18646950039539,97.8114855300813,99.8851029081163,99.99921570254871,31.26568549223741,31.81353049960461,2.188514469918701,0.11489709188370512,0.0007842974512897172,29.62501602968591,2.073617378034996,0.1141127944324154
Sub-Saharan Africa,1888,82.4450891464259,89.1498569069152,99.09664142001921,99.8318880792647,99.9914270079837,17.5549108535741,10.850143093084796,0.9033585799807895,0.16811192073529924,0.008572992016297576,9.946784513104006,0.7352466592454903,0.15953892871900166
Western Europe,1888,46.8849716490881,26.7851506879138,67.72622655880241,89.9488290045414,99.52168507346269,53.1150283509119,73.2148493120862,32.27377344119759,10.051170995458605,0.47831492653730834,40.94107587088861,22.222602445738985,9.572856068921297
